LID,Glottocode,Language,WordOrderAPLex,WordOrderAPVLexFlexible,VFinalLex,VFinalOrFreeLex,VInitialLex,VMedialLex,WordOrderAPVBasicLex,WordOrderSVBasicLex,WordOrderAPBasicLex,WordOrderAVBasicLex,WordOrderPVBasicLex,PositionVBasicLex,PositionVBasicLexIsFinal,PositionVBasicLexIsFinalFree,PositionVBasicLexIsInitial,PositionVBasicLexIsMedial,WordOrderAPVSecondaryLex,WordOrderSVSecondaryLex,WordOrderAPSecondaryLex,WordOrderAVSecondaryLex,WordOrderPVSecondaryLex,PositionVSecondaryLex,PositionVSecondaryLexIsFinal,PositionVSecondaryLexIsFinalFree,PositionVSecondaryLexIsInitial,PositionVSecondaryLexIsMedial
78,finn1318,Finnish,AO,rigid,non_final,other,other,medial,AVO,,AO,dep-head,head-dep,V=2,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,
57,chuv1255,Chuvash,,,,,,,,,,,,,,,,,,,,,,,,,,
387,tuvi1240,Tuva,AO,rigid,final,final_or_free,other,other,AOV,,AO,dep-head,dep-head,V=3,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,
124,kara1465,Karachay-Balkar,,,,,,,,,,,,,,,,,,,,,,,,,,
188,halh1238,Mongolian (Khalkha),AO,rigid,final,final_or_free,other,other,AOV,,AO,dep-head,dep-head,V=3,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,
201,nana1257,Nanai,AO,rigid,final,final_or_free,other,other,AOV,,AO,dep-head,dep-head,V=3,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,
423,nort2745,Yukagir (Tundra),AO,rigid,final,final_or_free,other,other,AOV,,AO,dep-head,dep-head,V=3,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,
129,kett1243,Ket,AO,rigid,final,final_or_free,other,other,AOV,,AO,dep-head,dep-head,V=3,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,
12,ainu1240,Ainu,AO,rigid,final,final_or_free,other,other,AOV,,AO,dep-head,dep-head,V=3,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,
118,nucl1643,Japanese,AO,rigid,final,final_or_free,other,other,AOV,,AO,dep-head,dep-head,V=3,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,
141,kore1280,Korean,AO,rigid,final,final_or_free,other,other,AOV,,AO,dep-head,dep-head,V=3,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,
56,chuk1273,Chukchi,,free,,final_or_free,other,other,free,,,,,free,,TRUE,FALSE,FALSE,,,,,,,,,,
116,itel1242,Itelmen,AO,rigid,final,final_or_free,other,other,AOV,,AO,dep-head,dep-head,V=3,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,
18,aleu1260,Aleut,AO,rigid,final,final_or_free,other,other,AOV,,AO,dep-head,dep-head,V=3,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,
203,nauk1242,Naukan,,,,,,,,,,,,,,,,,,,,,,,,,,
40,buru1296,Burushaski,AO,rigid,final,final_or_free,other,other,AOV,,AO,dep-head,dep-head,V=3,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,
197,naha1261,Nahali,AO,rigid,final,final_or_free,other,other,AOV,,AO,dep-head,dep-head,V=3,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,
142,kota1263,Kota,AO,rigid,final,final_or_free,other,other,AOV,,AO,dep-head,dep-head,V=3,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,
171,mand1415,Mandarin,AO,rigid,non_final,other,other,medial,AVO,,AO,dep-head,head-dep,V=2,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,
221,diga1241,Mishmi,AO,rigid,final,final_or_free,other,other,AOV,,AO,dep-head,dep-head,V=3,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,
223,sout2729,Pumi,AO,rigid,final,final_or_free,other,other,AOV,,AO,dep-head,dep-head,V=3,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,
225,lahu1253,Lahu,AO,rigid,final,final_or_free,other,other,AOV,,AO,dep-head,dep-head,V=3,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,
226,sgaw1245,Karen (Sgaw),AO,rigid,non_final,other,other,medial,AVO,,AO,dep-head,head-dep,V=2,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,
228,pare1266,Gorum,AO,rigid,final,final_or_free,other,other,AOV,,AO,dep-head,dep-head,V=3,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,
371,temi1246,Temiar,AO,rigid,non_final,other,other,medial,AVO,,AO,dep-head,head-dep,V=2,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,
44,carn1240,Car,,flexible,non_final,other,initial,other,Vxx,,,head-dep,head-dep,V=1,FALSE,FALSE,TRUE,FALSE,,,,,,,,,,
1,grea1241,Great Andamanese,AO,rigid,final,final_or_free,other,other,AOV,dep-head,AO,dep-head,dep-head,V=3,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,
2,onge1236,Onge,,,,,,,,,,,,,,,,,,,,,,,,,,
374,thai1261,Thai,AO,rigid,non_final,other,other,medial,AVO,,AO,dep-head,head-dep,V=2,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,
182,caom1238,Cao Miao,AO,rigid,non_final,other,other,medial,AVO,,AO,dep-head,head-dep,V=2,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,
327,paiw1248,Paiwan,,flexible,non_final,other,initial,other,Vxx,,,head-dep,head-dep,V=1,FALSE,FALSE,TRUE,FALSE,,,,,,,,,,
48,cham1312,Chamorro,AO,rigid,non_final,other,initial,other,VAO,,AO,head-dep,head-dep,V=1,FALSE,FALSE,TRUE,FALSE,,,,,,,,,,
362,taga1270,Tagalog,AO,rigid,non_final,other,initial,other,VAO,,AO,head-dep,head-dep,V=1,FALSE,FALSE,TRUE,FALSE,,,,,,,,,,
384,tuka1249,Tukang Besi,OA,rigid,non_final,other,initial,other,VOA,,OA,head-dep,head-dep,V=1,FALSE,FALSE,TRUE,FALSE,,,,,,,,,,
39,buru1303,Buru,AO,rigid,non_final,other,other,medial,AVO,,AO,dep-head,head-dep,V=2,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,
157,lama1277,Lamaholot,,,,,,,,,,,,,,,,,,,,,,,,,,
381,kuan1248,Tolai,,,,,,,,,,,,,,,,,,,,,,,,,,
70,dehu1237,Drehu,mixed,flexible,mixed,mixed,mixed,mixed,VOA,head-dep,OA,head-dep,head-dep,V=1,FALSE,FALSE,TRUE,FALSE,VAO,dep-head,AO,head-dep,head-dep,V=1,FALSE,FALSE,TRUE,FALSE
368,tawa1275,Tawala,AO,rigid,final,final_or_free,other,other,AOV,,AO,dep-head,dep-head,V=3,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,
334,pohn1238,Ponapean,,,,,,,,,,,,,,,,,,,,,,,,,,
