LID,Glottocode,Language,VerbInflectionExponenceType,VerbInflectionMaxCategoryCount,VerbInflectionMaxCategorySansAgreementCount,VerbInflectionMaxFormativeCount,VerbInflectionMaxFormativeSansAgreementCount,VerbHasBipartiteStem,VerbIsSyntacticallyCoherent,VerbSyntacticCoherencyNotes,VerbIsProsodicallyCoherent,VerbProsodicCoherencyNotes,VerbIsPhonologicallyCoherent,VerbPhonologicalCoherencyNotes,VerbIncorporation,VerbHasAnyIncorporation,VerbHasNounIncorporation,VerbHasVerbIncorporation,VerbHasNounOrVerbIncorporation,IsVerbInflectionSurveyComplete,VerbInflectionCategory,VerbInflectionMacrocategory,VerbInflectionMarkerPosition,VerbInflectionMarkerPositionBinned4,VerbInflectionMarkerPositionBinned5,VerbInflectionMarkerHasPreposedExponent,VerbInflectionMarkerHasPostposedExponent,VerbInflectionMarkerHasMultipleExponents,IsVerbAgreementSurveyComplete,VerbAgreementMicrorelation,VerbAgreementMarkerPosition,VerbAgreementMarkerPositionBinned4,VerbAgreementMarkerPositionBinned5,VerbAgreementMarkerHasPreposedExponent,VerbAgreementMarkerHasPostposedExponent,VerbAgreementMarkerHasMultipleExponents
404,warl1254,Warlpiri,distributive,4,2,6,,FALSE,FALSE,AGR and part of TAM are Wackernagel clitics; rest is flexive on the verb,FALSE,,,,,FALSE,FALSE,FALSE,FALSE,TRUE,TAM,TAM+,,,,,,,TRUE,U-default,Wackernagel,,,,,
404,warl1254,Warlpiri,distributive,4,2,6,,FALSE,FALSE,AGR and part of TAM are Wackernagel clitics; rest is flexive on the verb,FALSE,,,,,FALSE,FALSE,FALSE,FALSE,TRUE,Polarity,operators,,,,,,,TRUE,A-default,Wackernagel,,,,,
404,warl1254,Warlpiri,distributive,4,2,6,,FALSE,FALSE,AGR and part of TAM are Wackernagel clitics; rest is flexive on the verb,FALSE,,,,,FALSE,FALSE,FALSE,FALSE,TRUE,Polarity,operators,,,,,,,TRUE,U-default,Wackernagel,,,,,
77,fiji1243,Fijian (Boumaa),distributive,7,5,9,,FALSE,FALSE,AdvP can intervene between V and post-head modifiers (lex. extenders) [p.104],FALSE,"except monomoraic formatives, all formatives and semiwords (preverbs) are PrWds [p. 27ff]",FALSE,,AdvP,TRUE,FALSE,FALSE,FALSE,TRUE,TAM,TAM+,,,,,,,TRUE,A-default,prae,prae,prae,TRUE,FALSE,FALSE
77,fiji1243,Fijian (Boumaa),distributive,7,5,9,,FALSE,FALSE,AdvP can intervene between V and post-head modifiers (lex. extenders) [p.104],FALSE,"except monomoraic formatives, all formatives and semiwords (preverbs) are PrWds [p. 27ff]",FALSE,,AdvP,TRUE,FALSE,FALSE,FALSE,TRUE,TAM,TAM+,,,,,,,TRUE,U-default,,,,,,
77,fiji1243,Fijian (Boumaa),distributive,7,5,9,,FALSE,FALSE,AdvP can intervene between V and post-head modifiers (lex. extenders) [p.104],FALSE,"except monomoraic formatives, all formatives and semiwords (preverbs) are PrWds [p. 27ff]",FALSE,,AdvP,TRUE,FALSE,FALSE,FALSE,TRUE,Connective,inter-clausal,,,,,,,TRUE,A-default,prae,prae,prae,TRUE,FALSE,FALSE
77,fiji1243,Fijian (Boumaa),distributive,7,5,9,,FALSE,FALSE,AdvP can intervene between V and post-head modifiers (lex. extenders) [p.104],FALSE,"except monomoraic formatives, all formatives and semiwords (preverbs) are PrWds [p. 27ff]",FALSE,,AdvP,TRUE,FALSE,FALSE,FALSE,TRUE,Connective,inter-clausal,,,,,,,TRUE,U-default,,,,,,
77,fiji1243,Fijian (Boumaa),distributive,7,5,9,,FALSE,FALSE,AdvP can intervene between V and post-head modifiers (lex. extenders) [p.104],FALSE,"except monomoraic formatives, all formatives and semiwords (preverbs) are PrWds [p. 27ff]",FALSE,,AdvP,TRUE,FALSE,FALSE,FALSE,TRUE,Voice,valence,,,,,,,TRUE,A-default,prae,prae,prae,TRUE,FALSE,FALSE
77,fiji1243,Fijian (Boumaa),distributive,7,5,9,,FALSE,FALSE,AdvP can intervene between V and post-head modifiers (lex. extenders) [p.104],FALSE,"except monomoraic formatives, all formatives and semiwords (preverbs) are PrWds [p. 27ff]",FALSE,,AdvP,TRUE,FALSE,FALSE,FALSE,TRUE,Voice,valence,,,,,,,TRUE,U-default,,,,,,
77,fiji1243,Fijian (Boumaa),distributive,7,5,9,,FALSE,FALSE,AdvP can intervene between V and post-head modifiers (lex. extenders) [p.104],FALSE,"except monomoraic formatives, all formatives and semiwords (preverbs) are PrWds [p. 27ff]",FALSE,,AdvP,TRUE,FALSE,FALSE,FALSE,TRUE,Causative,valence,,,,,,,TRUE,A-default,prae,prae,prae,TRUE,FALSE,FALSE
