LID,Glottocode,Language,Macrorelation,LocusOfMarking,LocusOfMarkingBinned5,LocusOfMarkingBinned6
535,nucl1305,Kannada,POSS,D,D,D
535,nucl1305,Kannada,S,H+D,2,2
540,khas1269,Khasi,A,H,H,H
540,khas1269,Khasi,ATTR,D,D,D
540,khas1269,Khasi,P,D,D,D
540,khas1269,Khasi,POSS,D,D,D
540,khas1269,Khasi,S,H,H,H
550,lavu1241,Lavukaleve,A,H,H,H
550,lavu1241,Lavukaleve,ATTR,D,D,D
550,lavu1241,Lavukaleve,P,H,H,H
550,lavu1241,Lavukaleve,POSS,H,H,H
550,lavu1241,Lavukaleve,S,H,H,H
553,luva1239,Luvale,A,H,H,H
553,luva1239,Luvale,ATTR,D,D,D
553,luva1239,Luvale,P,h,H,H
553,luva1239,Luvale,POSS,D,D,D
553,luva1239,Luvale,S,H,H,H
555,maka1318,Makah,A,H,H,H
555,maka1318,Makah,P,H,H,H
555,maka1318,Makah,POSS,H,H,H
555,maka1318,Makah,S,H,H,H
558,mund1320,Mundari,A,H+D,2,2
558,mund1320,Mundari,P,H+D,2,2
558,mund1320,Mundari,POSS,D,D,D
558,mund1320,Mundari,S,H+D,2,2
564,rapa1244,Rapanui,A,d,D,D
564,rapa1244,Rapanui,ATTR,Ø,Ø,Ø
564,rapa1244,Rapanui,P,h+d,2,2
564,rapa1244,Rapanui,POSS,D,D,D
564,rapa1244,Rapanui,S,h+d,2,2
566,seme1247,Semelai,A,H+D,2,2
566,seme1247,Semelai,P,d,D,D
566,seme1247,Semelai,POSS,Ø,Ø,Ø
566,seme1247,Semelai,S,Ø,Ø,Ø
567,ship1254,Shipibo-Konibo,A,h+D,D,2
567,ship1254,Shipibo-Konibo,P,D,D,D
567,ship1254,Shipibo-Konibo,POSS,D,D,D
567,ship1254,Shipibo-Konibo,S,h+D,D,2
568,sout2982,Pomo (Southeastern),A,D,D,D
568,sout2982,Pomo (Southeastern),ATTR,,,
568,sout2982,Pomo (Southeastern),P,D,D,D
568,sout2982,Pomo (Southeastern),POSS,D,D,D
568,sout2982,Pomo (Southeastern),S,D,D,D
569,stan1288,Spanish,A,H+d,H,2
569,stan1288,Spanish,ATTR,d,D,D
569,stan1288,Spanish,P,h+d,2,2
569,stan1288,Spanish,POSS,Dd,D,D
569,stan1288,Spanish,S,H+d,H,2
571,cent2194,Tamazight (Ayt Ndhir),A,H+D,2,2
571,cent2194,Tamazight (Ayt Ndhir),P,D,D,D
571,cent2194,Tamazight (Ayt Ndhir),POSS,D,D,D
571,cent2194,Tamazight (Ayt Ndhir),S,H+D,2,2
576,wari1268,Wari,A,H,H,H
576,wari1268,Wari,ATTR,H’,H,H
576,wari1268,Wari,P,H,H,H
576,wari1268,Wari,POSS,H,H,H
576,wari1268,Wari,S,H,H,H
577,wich1260,Wichita,A,H,H,H
577,wich1260,Wichita,ATTR,,,
577,wich1260,Wichita,P,H,H,H
577,wich1260,Wichita,POSS,HH,H,H
577,wich1260,Wichita,S,H,H,H
580,yidi1250,Yidiny,A,D,D,D
580,yidi1250,Yidiny,P,D,D,D
580,yidi1250,Yidiny,POSS,D,D,D
580,yidi1250,Yidiny,S,D,D,D
581,zulu1248,Zulu,A,H,H,H
581,zulu1248,Zulu,ATTR,D,D,D
581,zulu1248,Zulu,P,H,H,H
581,zulu1248,Zulu,POSS,DD,D,D
581,zulu1248,Zulu,S,H,H,H
583,hebr1245,Hebrew (Modern),A,H,H,H
583,hebr1245,Hebrew (Modern),ATTR,D,D,D
583,hebr1245,Hebrew (Modern),P,D on H,FloatingorClitic,D on H
583,hebr1245,Hebrew (Modern),POSS,D,D,D
583,hebr1245,Hebrew (Modern),S,H,H,H
595,nort2699,Kolami,A,H+D,2,2
595,nort2699,Kolami,P,D,D,D
595,nort2699,Kolami,POSS,D,D,D
595,nort2699,Kolami,S,H+D,2,2
599,chay1248,Chayahuita,A,H+D,2,2
599,chay1248,Chayahuita,P,H+D,2,2
599,chay1248,Chayahuita,POSS,Ø,Ø,Ø
599,chay1248,Chayahuita,S,H,H,H
606,naro1249,Nharo,POSS,D,D,D
608,mari1278,Mari,A,H+D,2,2
608,mari1278,Mari,ATTR,Ø,Ø,Ø
608,mari1278,Mari,P,D,D,D
608,mari1278,Mari,POSS,H+D,2,2
608,mari1278,Mari,S,H+D,2,2
629,chan1310,Chantyal,A,D,D,D
629,chan1310,Chantyal,P,d,D,D
629,chan1310,Chantyal,S,D,D,D
632,wayu1241,Hayu,A,D,D,D
632,wayu1241,Hayu,P,H+D,2,2
632,wayu1241,Hayu,POSS,H+D,2,2
632,wayu1241,Hayu,S,H+D,2,2
634,saur1249,Malto,A,H+D,2,2
634,saur1249,Malto,ATTR,Ø,Ø,Ø
634,saur1249,Malto,P,D,D,D
634,saur1249,Malto,POSS,D,D,D
634,saur1249,Malto,S,H+D,2,2
635,sant1410,Santali,A,H,H,H
635,sant1410,Santali,ATTR,Ø,Ø,Ø
635,sant1410,Santali,P,H,H,H
635,sant1410,Santali,POSS,D,D,D
635,sant1410,Santali,S,H,H,H
642,egyp1253,Arabic (Egyptian),A,H,H,H
642,egyp1253,Arabic (Egyptian),P,Ø,Ø,Ø
642,egyp1253,Arabic (Egyptian),POSS,Ø,Ø,Ø
642,egyp1253,Arabic (Egyptian),S,H,H,H
643,sout2778,Kisi,A,P,,
643,sout2778,Kisi,ATTR,D,D,D
643,sout2778,Kisi,P,P,,
643,sout2778,Kisi,POSS,D,D,D
643,sout2778,Kisi,S,P,,
644,kari1255,Kiriri (Kipea),A,H+D,2,2
644,kari1255,Kiriri (Kipea),P,D,D,D
644,kari1255,Kiriri (Kipea),POSS,H+D,2,2
644,kari1255,Kiriri (Kipea),S,H,H,H
645,hata1243,Hatam,A,H,H,H
645,hata1243,Hatam,P,Ø,Ø,Ø
645,hata1243,Hatam,POSS,H,H,H
645,hata1243,Hatam,S,H,H,H
646,xokl1240,Xokleng,A,H+D,2,2
646,xokl1240,Xokleng,P,D,D,D
646,xokl1240,Xokleng,POSS,H,H,H
646,xokl1240,Xokleng,S,H+D,2,2
648,boro1282,Bororo,A,F,FloatingorClitic,F
648,boro1282,Bororo,P,H,H,H
648,boro1282,Bororo,POSS,H,H,H
648,boro1282,Bororo,S,H,H,H
649,jeri1242,Jeli,A,Ø,Ø,Ø
649,jeri1242,Jeli,P,Ø,Ø,Ø
649,jeri1242,Jeli,POSS,D,D,D
649,jeri1242,Jeli,S,Ø,Ø,Ø
654,nisg1240,Nisgha,A,H,H,H
654,nisg1240,Nisgha,P,H,H,H
654,nisg1240,Nisgha,POSS,H,H,H
654,nisg1240,Nisgha,S,H,H,H
656,koro1312,Korowai,A,H,H,H
656,koro1312,Korowai,ATTR,Ø,Ø,Ø
656,koro1312,Korowai,P,Ø,Ø,Ø
656,koro1312,Korowai,POSS,Ø,Ø,Ø
656,koro1312,Korowai,S,H,H,H
660,band1339,Bandjalang,A,D,D,D
660,band1339,Bandjalang,ATTR,Ø,Ø,Ø
660,band1339,Bandjalang,P,D,D,D
660,band1339,Bandjalang,POSS,D,D,D
660,band1339,Bandjalang,S,D,D,D
662,apat1240,Apatani,A,D,D,D
662,apat1240,Apatani,P,D,D,D
662,apat1240,Apatani,S,D,D,D
663,drun1238,Drung,A,h+D,D,2
663,drun1238,Drung,P,h+D,D,2
667,thul1246,Thulung (Mukli),A,H+D,2,2
667,thul1246,Thulung (Mukli),ATTR,Ø,Ø,Ø
667,thul1246,Thulung (Mukli),P,H+D,2,2
667,thul1246,Thulung (Mukli),POSS,D,D,D
667,thul1246,Thulung (Mukli),S,H+D,2,2
668,yecu1235,Totonac (Misantla),A,H,H,H
668,yecu1235,Totonac (Misantla),ATTR,Ø,Ø,Ø
668,yecu1235,Totonac (Misantla),P,H,H,H
668,yecu1235,Totonac (Misantla),POSS,H,H,H
668,yecu1235,Totonac (Misantla),S,H,H,H
669,gras1249,Koiari,A,H,H,H
669,gras1249,Koiari,ATTR,Ø,Ø,Ø
669,gras1249,Koiari,P,H,H,H
669,gras1249,Koiari,POSS,H,H,H
669,gras1249,Koiari,S,H,H,H
685,klam1254,Klamath,A,D,D,D
685,klam1254,Klamath,P,D,D,D
685,klam1254,Klamath,POSS,D,D,D
685,klam1254,Klamath,S,D,D,D
686,daha1245,Dahalo,A,H+D,2,2
686,daha1245,Dahalo,P,D,D,D
686,daha1245,Dahalo,POSS,D,D,D
686,daha1245,Dahalo,S,H+D,2,2
687,hopi1249,Hopi,A,D,D,D
687,hopi1249,Hopi,P,H+D,2,2
687,hopi1249,Hopi,POSS,H+D,2,2
687,hopi1249,Hopi,S,H+D,2,2
692,nucl1327,Limilngan,A,H,H,H
692,nucl1327,Limilngan,ATTR,D,D,D
692,nucl1327,Limilngan,P,H,H,H
692,nucl1327,Limilngan,POSS,Ø,Ø,Ø
692,nucl1327,Limilngan,S,H,H,H
722,nort2722,Qiang (Northern),A,h+d,2,2
722,nort2722,Qiang (Northern),P,h+d,2,2
722,nort2722,Qiang (Northern),S,h,H,H
885,yane1238,Amuesha,A,H,H,H
885,yane1238,Amuesha,P,H,H,H
885,yane1238,Amuesha,POSS,H,H,H
885,yane1238,Amuesha,S,H,H,H
917,arch1244,Archi,A,D,D,D
917,arch1244,Archi,P,H+D,2,2
917,arch1244,Archi,POSS,D,D,D
917,arch1244,Archi,S,H+D,2,2
942,avar1256,Avar,A,D,D,D
942,avar1256,Avar,P,H+D,2,2
942,avar1256,Avar,POSS,D,D,D
942,avar1256,Avar,S,H+D,2,2
1108,cadd1256,Caddo,A,H,H,H
1108,cadd1256,Caddo,P,H,H,H
1108,cadd1256,Caddo,POSS,HH,H,H
1108,cadd1256,Caddo,S,H,H,H
1527,mali1284,Mali,A,H,H,H
1527,mali1284,Mali,ATTR,D,D,D
1527,mali1284,Mali,P,H,H,H
1527,mali1284,Mali,POSS,D on H,FloatingorClitic,D on H
1527,mali1284,Mali,S,H,H,H
1542,hinu1240,Hinuq,A,D,D,D
1542,hinu1240,Hinuq,P,H+D,2,2
1542,hinu1240,Hinuq,POSS,D,D,D
1542,hinu1240,Hinuq,S,H+D,2,2
1621,hupa1239,Hupa,A,H,H,H
1621,hupa1239,Hupa,P,H,H,H
1621,hupa1239,Hupa,POSS,H,H,H
1621,hupa1239,Hupa,S,H,H,H
1623,halk1245,Halkomelem,A,H,H,H
1623,halk1245,Halkomelem,P,H,H,H
1623,halk1245,Halkomelem,POSS,H/F,2,
1692,hupd1244,Hup,A,D,D,D
1692,hupd1244,Hup,P,D,D,D
1692,hupd1244,Hup,POSS,D,D,D
1692,hupd1244,Hup,S,D,D,D
1706,kadi1248,Kadiwéu,A,H,H,H
1706,kadi1248,Kadiwéu,P,H+D,2,2
1706,kadi1248,Kadiwéu,S,H+D,2,2
1750,khar1287,Kharia,A,H+D,2,2
1750,khar1287,Kharia,P,D,D,D
1750,khar1287,Kharia,POSS,D,D,D
1750,khar1287,Kharia,S,H+D,2,2
1807,kara1474,Karata,A,D,D,D
1807,kara1474,Karata,P,H+D,2,2
1807,kara1474,Karata,POSS,D,D,D
1807,kara1474,Karata,S,H+D,2,2
1936,macu1259,Macushi,A,H+D,2,2
1936,macu1259,Macushi,P,H+D,2,2
1936,macu1259,Macushi,POSS,H,H,H
1936,macu1259,Macushi,S,H+D,2,2
2015,manc1252,Manchu,A,D,D,D
2015,manc1252,Manchu,P,D,D,D
2015,manc1252,Manchu,POSS,D,D,D
2015,manc1252,Manchu,S,D,D,D
2142,sout2689,Nicobarese,A,H,H,H
2142,sout2689,Nicobarese,P,H+D,2,2
2142,sout2689,Nicobarese,POSS,Ø,Ø,Ø
2142,sout2689,Nicobarese,S,H,H,H
2308,olut1240,Olutec,A,H,H,H
2308,olut1240,Olutec,P,H,H,H
2308,olut1240,Olutec,POSS,H,H,H
2308,olut1240,Olutec,S,H,H,H
2412,seri1257,Seri,A,H,H,H
2412,seri1257,Seri,P,H,H,H
2412,seri1257,Seri,POSS,H,H,H
2412,seri1257,Seri,S,H,H,H
2450,kamb1299,Kambera,A,H,H,H
2450,kamb1299,Kambera,P,H,H,H
2450,kamb1299,Kambera,POSS,H,H,H
2450,kamb1299,Kambera,S,H,H,H
2471,croa1245,Serbian-Croatian,A,H+D,2,2
2471,croa1245,Serbian-Croatian,P,D,D,D
2471,croa1245,Serbian-Croatian,POSS,D,D,D
2471,croa1245,Serbian-Croatian,S,H+D,2,2
2564,thom1243,Thompson,P,H,H,H
2564,thom1243,Thompson,POSS,H,H,H
2577,tsak1249,Tsakhur,A,D,D,D
2577,tsak1249,Tsakhur,P,H+D,2,2
2577,tsak1249,Tsakhur,POSS,D,D,D
2577,tsak1249,Tsakhur,S,H+D,2,2
2641,turk1308,Turkana,A,H+D,2,2
2641,turk1308,Turkana,P,H+D,2,2
2641,turk1308,Turkana,POSS,D,D,D
2641,turk1308,Turkana,S,H+D,2,2
2826,darg1241,Dargi (standard),A,H+D,2,2
2826,darg1241,Dargi (standard),P,H+D,2,2
2826,darg1241,Dargi (standard),POSS,D,D,D
2826,darg1241,Dargi (standard),S,H+D,2,2
2873,bant1281,Bantawa,A,H+D,2,2
2873,bant1281,Bantawa,P,H+D,2,2
2873,bant1281,Bantawa,POSS,H+D,2,2
2873,bant1281,Bantawa,S,H+D,2,2
2949,darg1241,Dargi (Icari),A,H+D,2,2
2949,darg1241,Dargi (Icari),P,H+D,2,2
2949,darg1241,Dargi (Icari),POSS,D,D,D
2949,darg1241,Dargi (Icari),S,H+D,2,2
2984,mian1256,Mian,A,H,H,H
2984,mian1256,Mian,POSS,D,D,D
2984,mian1256,Mian,S,H,H,H
2994,sanf1258,Huave (San Francisco del Mar),A,H,H,H
2994,sanf1258,Huave (San Francisco del Mar),P,Ø,Ø,Ø
2994,sanf1258,Huave (San Francisco del Mar),POSS,H,H,H
2994,sanf1258,Huave (San Francisco del Mar),S,H,H,H
3101,assy1241,Neo-Aramaic (Barwar),A,H,H,H
3101,assy1241,Neo-Aramaic (Barwar),P,H,H,H
3101,assy1241,Neo-Aramaic (Barwar),POSS,H+D,2,2
3101,assy1241,Neo-Aramaic (Barwar),S,H,H,H
3232,isco1239,Iskonawa,A,h+D,D,2
3232,isco1239,Iskonawa,P,D,D,D
3232,isco1239,Iskonawa,POSS,D,D,D
3232,isco1239,Iskonawa,S,h+D,D,2
3235,uduk1239,Uduk,A,H+D,2,2
3235,uduk1239,Uduk,P,D,D,D
3235,uduk1239,Uduk,POSS,D,D,D
3235,uduk1239,Uduk,S,H+D,2,2
3239,atin1240,Laz (Pazar),A,H+D,2,2
3239,atin1240,Laz (Pazar),P,H+D,2,2
3239,atin1240,Laz (Pazar),POSS,D,D,D
3239,atin1240,Laz (Pazar),S,H+D,2,2
3240,ashe1272,Ashéninka Perené,A,H,H,H
3240,ashe1272,Ashéninka Perené,P,H,H,H
3240,ashe1272,Ashéninka Perené,POSS,H,H,H
3240,ashe1272,Ashéninka Perené,S,H,H,H
