LID,Glottocode,Language,Macrorelation,LocusOfMarking,LocusOfMarkingBinned5,LocusOfMarkingBinned6
74,stan1293,English,P,d,D,D
74,stan1293,English,POSS,D,D,D
74,stan1293,English,S,H+d,H,2
75,ewee1241,Ewe,A,Ø,Ø,Ø
75,ewee1241,Ewe,ATTR,Ø,Ø,Ø
75,ewee1241,Ewe,P,Ø,Ø,Ø
75,ewee1241,Ewe,POSS,D,D,D
75,ewee1241,Ewe,S,Ø,Ø,Ø
77,fiji1243,Fijian (Boumaa),A,H,H,H
77,fiji1243,Fijian (Boumaa),ATTR,Ø,Ø,Ø
77,fiji1243,Fijian (Boumaa),P,H,H,H
77,fiji1243,Fijian (Boumaa),POSS,H,H,H
77,fiji1243,Fijian (Boumaa),S,H,H,H
78,finn1318,Finnish,A,H+D,2,2
78,finn1318,Finnish,ATTR,D,D,D
78,finn1318,Finnish,P,D,D,D
78,finn1318,Finnish,POSS,h+D,D,2
78,finn1318,Finnish,S,H+D,2,2
79,stan1290,French (colloquial),A,H,H,H
79,stan1290,French (colloquial),ATTR,d,D,D
79,stan1290,French (colloquial),P,d on h,FloatingorClitic,D on H
79,stan1290,French (colloquial),POSS,D,D,D
79,stan1290,French (colloquial),S,H,H,H
80,adam1253,Fula,A,Ø,Ø,Ø
80,adam1253,Fula,P,Ø,Ø,Ø
80,adam1253,Fula,POSS,Ø,Ø,Ø
80,adam1253,Fula,S,Ø,Ø,Ø
81,furr1244,Fur,A,H+D,2,2
81,furr1244,Fur,P,D,D,D
81,furr1244,Fur,POSS,D,D,D
81,furr1244,Fur,S,H+D,2,2
84,gara1269,Garrwa,A,D,D,D
84,gara1269,Garrwa,ATTR,D,D,D
84,gara1269,Garrwa,P,D,D,D
84,gara1269,Garrwa,POSS,D,D,D
84,gara1269,Garrwa,S,D,D,D
86,nucl1302,Georgian,A,H+D,2,2
86,nucl1302,Georgian,ATTR,D,D,D
86,nucl1302,Georgian,P,H+D,2,2
86,nucl1302,Georgian,POSS,D,D,D
86,nucl1302,Georgian,S,H+D,2,2
87,stan1295,German,A,H+D,2,2
87,stan1295,German,ATTR,D,D,D
87,stan1295,German,P,D,D,D
87,stan1295,German,POSS,Dd,D,D
87,stan1295,German,S,H+D,2,2
89,para1311,Guaraní (Paraguayan),A,H,H,H
89,para1311,Guaraní (Paraguayan),ATTR,Ø,Ø,Ø
89,para1311,Guaraní (Paraguayan),P,H,H,H
89,para1311,Guaraní (Paraguayan),POSS,h,H,H
89,para1311,Guaraní (Paraguayan),S,H,H,H
91,gumu1244,Gumuz,A,H,H,H
91,gumu1244,Gumuz,P,D,D,D
91,gumu1244,Gumuz,POSS,Ø,Ø,Ø
91,gumu1244,Gumuz,S,H,H,H
92,puel1244,Gününa-Küne,A,H,H,H
92,puel1244,Gününa-Küne,P,Ø,Ø,Ø
92,puel1244,Gününa-Küne,POSS,H,H,H
92,puel1244,Gününa-Küne,S,H,H,H
93,gunw1252,Gunwinggu,A,H,H,H
93,gunw1252,Gunwinggu,ATTR,D,D,D
93,gunw1252,Gunwinggu,P,H,H,H
93,gunw1252,Gunwinggu,POSS,D,D,D
93,gunw1252,Gunwinggu,S,H,H,H
95,sout2956,Haida,A,Ø,Ø,Ø
95,sout2956,Haida,P,Ø,Ø,Ø
95,sout2956,Haida,POSS,H,H,H
95,sout2956,Haida,S,Ø,Ø,Ø
98,haus1257,Hausa,A,H,H,H
98,haus1257,Hausa,ATTR,DD,D,D
98,haus1257,Hausa,P,H+d,H,2
98,haus1257,Hausa,POSS,DD,D,D
98,haus1257,Hausa,S,H,H,H
99,hind1269,Hindi,A,h+D,D,2
99,hind1269,Hindi,ATTR,d,D,D
99,hind1269,Hindi,P,h+D,D,2
99,hind1269,Hindi,POSS,DD,D,D
99,hind1269,Hindi,S,H+D,2,2
101,hixk1239,Hixkaryana,A,H,H,H
101,hixk1239,Hixkaryana,ATTR,Ø,Ø,Ø
101,hixk1239,Hixkaryana,P,H,H,H
101,hixk1239,Hixkaryana,POSS,H,H,H
101,hixk1239,Hixkaryana,S,H,H,H
103,yaga1260,Hua,A,H+D,2,2
103,yaga1260,Hua,P,H+D,2,2
103,yaga1260,Hua,POSS,H+D,2,2
103,yaga1260,Hua,S,H+D,2,2
104,hual1241,Quechua (Huallaga),A,H+D,2,2
104,hual1241,Quechua (Huallaga),P,H+D,2,2
104,hual1241,Quechua (Huallaga),POSS,H+D,2,2
104,hual1241,Quechua (Huallaga),S,H+D,2,2
106,sand1278,Huave,A,H,H,H
106,sand1278,Huave,ATTR,Ø,Ø,Ø
106,sand1278,Huave,P,h,H,H
106,sand1278,Huave,POSS,H,H,H
106,sand1278,Huave,S,H,H,H
107,hung1274,Hungarian,A,H+D,2,2
107,hung1274,Hungarian,P,h+D,D,2
107,hung1274,Hungarian,POSS,H,H,H
107,hung1274,Hungarian,S,H+D,2,2
109,iauu1242,Iau,A,Ø,Ø,Ø
109,iauu1242,Iau,P,Ø,Ø,Ø
109,iauu1242,Iau,POSS,H,H,H
109,iauu1242,Iau,S,Ø,Ø,Ø
110,icel1247,Icelandic,A,H+D,2,2
110,icel1247,Icelandic,P,D,D,D
110,icel1247,Icelandic,POSS,D,D,D
110,icel1247,Icelandic,S,H+D,2,2
111,ikkk1242,Ik,A,H+D,2,2
111,ikkk1242,Ik,P,D,D,D
111,ikkk1242,Ik,POSS,D,D,D
111,ikkk1242,Ik,S,H+D,2,2
112,imon1245,Imonda,A,H,H,H
112,imon1245,Imonda,ATTR,d,D,D
112,imon1245,Imonda,P,H+d,H,2
112,imon1245,Imonda,POSS,h+D,D,2
112,imon1245,Imonda,S,H,H,H
113,ines1240,Ineseño,A,H,H,H
113,ines1240,Ineseño,P,H,H,H
113,ines1240,Ineseño,POSS,H,H,H
113,ines1240,Ineseño,S,H,H,H
114,ingu1240,Ingush,A,D,D,D
114,ingu1240,Ingush,P,h+D,D,2
114,ingu1240,Ingush,S,h+D,D,2
116,itel1242,Itelmen,A,H+D,2,2
116,itel1242,Itelmen,P,H+D,2,2
118,nucl1643,Japanese,A,D,D,D
118,nucl1643,Japanese,ATTR,Ø,Ø,Ø
118,nucl1643,Japanese,P,D,D,D
118,nucl1643,Japanese,POSS,D,D,D
118,nucl1643,Japanese,S,D,D,D
119,jaqa1244,Jaqaru,A,H+D,2,2
119,jaqa1244,Jaqaru,P,H+D,2,2
119,jaqa1244,Jaqaru,POSS,H+D,2,2
119,jaqa1244,Jaqaru,S,H+D,2,2
123,kanu1279,Kanuri,A,H+D,2,2
123,kanu1279,Kanuri,P,H+d,H,2
123,kanu1279,Kanuri,POSS,D,D,D
123,kanu1279,Kanuri,S,H+D,2,2
125,karo1304,Karok,A,H,H,H
125,karo1304,Karok,ATTR,,,
125,karo1304,Karok,P,H,H,H
125,karo1304,Karok,POSS,H,H,H
125,karo1304,Karok,S,H,H,H
