LID,Glottocode,Language,MarkerID,MarkerLabel,MarkerExemplar,MarkerForm,MarkerClausalDomain,MarkerMorphemeType,MarkerIsGrammaticalWord,MarkerIsPersonPortmanteau,MarkerHostRestriction,MarkerIsHostRestricted,MarkerFusion,MarkerFusionBinned6,MarkerFusionIsIsolating,MarkerFusionIsNonlinear,MarkerFusionIsReduplicative,MarkerFusionIsTonal,MarkerIsFlexive,MarkerHasLexicalFlexivity,MarkerStemFlexivity,MarkerFormativeFlexivity,MarkerLocus,MarkerLocusBinned6,MarkerLocusBinned5,MarkerPosition,MarkerPositionBinned4,MarkerPositionBinned5,MarkerHasPreposedExponent,MarkerHasPreposedDefaultExponent,MarkerHasPostposedExponent,MarkerHasMultipleExponents,MarkerHasMultipleDefaultExponents,MarkerBehavior,MarkerBehaviorBinned4,MarkerBehaviorIsSpreading,MarkerPlacement,MarkerSource,MarkerSlot,MarkerIsInOppositionToZero,MarkerHostCategory,MarkerHostProjectionType,MarkerHostSyntacticDomain,MarkerHostClausalDomain,MarkerExpressedMicrorelation,MarkerExpressedMacrorelation,MarkerExpressedCategoriesCount,MarkerExpressesMultipleCategories,MarkerExpressedCategory,MarkerExpressedMacrocategory
1103,biri1256,Biri,1758,ERG,,"-ŋgu, -du, -dyu",argument,formative,FALSE,FALSE,restricted,TRUE,concatenative,concatenative,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,none,none,D,D,D,post,post,post,FALSE,FALSE,TRUE,FALSE,FALSE,,,,,assign,,,N,terminal,nominal,argument,,,1,FALSE,Role,role
1103,biri1256,Biri,1760,ACC,,-na,argument,formative,FALSE,FALSE,restricted,TRUE,concatenative,concatenative,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,none,none,D,D,D,post,post,post,FALSE,FALSE,TRUE,FALSE,FALSE,,,,,assign,,,Pro,terminal,nominal,argument,,,1,FALSE,Role,role
1103,biri1256,Biri,1761,DAT,,-gu,,formative,FALSE,FALSE,,,concatenative,concatenative,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,none,none,D,D,D,post,post,post,FALSE,FALSE,TRUE,FALSE,FALSE,,,,,assign,,,,,,,,,1,FALSE,Role,role
1103,biri1256,Biri,1762,S/A-AGR,,diverse,predicate,formative,FALSE,FALSE,restricted,TRUE,concatenative,concatenative,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,none,none,H,H,H,post,post,post,FALSE,FALSE,TRUE,FALSE,FALSE,,,,,agree,,,V,terminal,verbal,predicate,,,3,TRUE,Person,person
1103,biri1256,Biri,1762,S/A-AGR,,diverse,predicate,formative,FALSE,FALSE,restricted,TRUE,concatenative,concatenative,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,none,none,H,H,H,post,post,post,FALSE,FALSE,TRUE,FALSE,FALSE,,,,,agree,,,V,terminal,verbal,predicate,,,3,TRUE,Role,role
1103,biri1256,Biri,1762,S/A-AGR,,diverse,predicate,formative,FALSE,FALSE,restricted,TRUE,concatenative,concatenative,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,none,none,H,H,H,post,post,post,FALSE,FALSE,TRUE,FALSE,FALSE,,,,,agree,,,V,terminal,verbal,predicate,,,3,TRUE,Number,number
1103,biri1256,Biri,1763,O-AGR,,diverse,predicate,formative,FALSE,FALSE,restricted,TRUE,concatenative,concatenative,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,none,none,H,H,H,post,post,post,FALSE,FALSE,TRUE,FALSE,FALSE,,,,,agree,,,V,terminal,verbal,predicate,,,3,TRUE,Person,person
1103,biri1256,Biri,1763,O-AGR,,diverse,predicate,formative,FALSE,FALSE,restricted,TRUE,concatenative,concatenative,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,none,none,H,H,H,post,post,post,FALSE,FALSE,TRUE,FALSE,FALSE,,,,,agree,,,V,terminal,verbal,predicate,,,3,TRUE,Role,role
1103,biri1256,Biri,1763,O-AGR,,diverse,predicate,formative,FALSE,FALSE,restricted,TRUE,concatenative,concatenative,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,none,none,H,H,H,post,post,post,FALSE,FALSE,TRUE,FALSE,FALSE,,,,,agree,,,V,terminal,verbal,predicate,,,3,TRUE,Number,number
1103,biri1256,Biri,1764,G-AGR,,diverse,predicate,formative,FALSE,FALSE,restricted,TRUE,concatenative,concatenative,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,none,none,H,H,H,post,post,post,FALSE,FALSE,TRUE,FALSE,FALSE,,,,,assign,,,V,terminal,verbal,predicate,,,3,TRUE,Person,person
1103,biri1256,Biri,1764,G-AGR,,diverse,predicate,formative,FALSE,FALSE,restricted,TRUE,concatenative,concatenative,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,none,none,H,H,H,post,post,post,FALSE,FALSE,TRUE,FALSE,FALSE,,,,,assign,,,V,terminal,verbal,predicate,,,3,TRUE,Role,role
1103,biri1256,Biri,1764,G-AGR,,diverse,predicate,formative,FALSE,FALSE,restricted,TRUE,concatenative,concatenative,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,none,none,H,H,H,post,post,post,FALSE,FALSE,TRUE,FALSE,FALSE,,,,,assign,,,V,terminal,verbal,predicate,,,3,TRUE,Number,number
660,band1339,Bandjalang,1765,DAT,,-gu,argument,formative,FALSE,FALSE,restricted,TRUE,concatenative,concatenative,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,none,none,D,D,D,post,post,post,FALSE,FALSE,TRUE,FALSE,FALSE,spreading,spreading,TRUE,,,,,N_or_Pro,terminal,nominal,argument,,,1,FALSE,Role,role
1826,kalk1246,Kalkatungu,1766,ERG,Case,"-t̪u, -ŋku",argument,formative,FALSE,FALSE,restricted,TRUE,concatenative,concatenative,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,D,D,D,post,post,post,FALSE,FALSE,TRUE,FALSE,FALSE,,,,,,,,N_or_Pro,terminal,nominal,argument,,,1,FALSE,Role,role
1826,kalk1246,Kalkatungu,1767,ABS,,zero,,,FALSE,FALSE,restricted,TRUE,,,,,,,FALSE,FALSE,,,D,D,D,post,post,post,FALSE,FALSE,TRUE,FALSE,FALSE,,,,,assign,,,n/a,,,,,,1,FALSE,Role,role
1262,jaru1254,Djaru,1768,ERG,,"–ŋgu, -gu, -lu,  -gulu, -u",,formative,FALSE,FALSE,,,concatenative,concatenative,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,none,none,D,D,D,,,,,,,,,,,,,assign,,,,,,,,,1,FALSE,Role,role
1262,jaru1254,Djaru,1769,ABS,,zero,,formative,FALSE,FALSE,,,concatenative,concatenative,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,none,none,D,D,D,,,,,,,,,,,,,assign,,,,,,,,,1,FALSE,Role,role
1262,jaru1254,Djaru,1770,DAT,,-gu/-wu,,formative,FALSE,FALSE,,,concatenative,concatenative,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,none,none,D,D,D,,,,,,,,,,,,,assign,,,,,,,,,1,FALSE,Role,role
1333,djin1253,Djinang,1771,NOM,,zero,argument,formative,FALSE,FALSE,semi-restricted,FALSE,concatenative,concatenative,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,D,D,D,,,,,,,,,,,,,assign,,,Pro,terminal,nominal,argument,,,1,FALSE,Role,role
1333,djin1253,Djinang,1771,NOM,,zero,argument,formative,FALSE,FALSE,semi-restricted,FALSE,concatenative,concatenative,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,D,D,D,,,,,,,,,,,,,assign,,,N-pers,terminal,nominal,argument,,,1,FALSE,Role,role
1333,djin1253,Djinang,1772,ACC,,,argument,formative,FALSE,FALSE,restricted,TRUE,concatenative,concatenative,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,D,D,D,,,,,,,,,,,,,assign,,,N_or_Pro,terminal,nominal,argument,,,1,FALSE,Role,role
1333,djin1253,Djinang,1773,ERG,,"-dji, -ri, -Ii",,formative,FALSE,FALSE,,,concatenative,concatenative,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,D,D,D,post,post,post,FALSE,FALSE,TRUE,FALSE,FALSE,,,,,assign,,,,,,,,,1,FALSE,Role,role
808,wath1238,Wathawurrung,1774,ABS,,zero,argument,formative,FALSE,FALSE,restricted,TRUE,concatenative,concatenative,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,D,D,D,,,,,,,,,,,,,assign,,,N,terminal,nominal,argument,,,1,FALSE,Role,role
808,wath1238,Wathawurrung,1775,ERG,,-a,argument,formative,FALSE,FALSE,restricted,TRUE,concatenative,concatenative,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,D,D,D,post,post,post,FALSE,FALSE,TRUE,FALSE,FALSE,,,,,assign,,,N,terminal,nominal,argument,,,1,FALSE,Role,role
2770,ying1247,Yingkarta,1776,NOM,,zero,,formative,FALSE,FALSE,,,concatenative,concatenative,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,D,D,D,,,,,,,,,,,,,assign,,,,,,,,,0,FALSE,,
2770,ying1247,Yingkarta,1777,ERG,,-ngku/-lu/-Su,argument,formative,FALSE,FALSE,restricted,TRUE,concatenative,concatenative,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,D,D,D,post,post,post,FALSE,FALSE,TRUE,FALSE,FALSE,,,,,assign,,,not_1sgPro,terminal,nominal,argument,,,1,FALSE,Role,role
2770,ying1247,Yingkarta,1778,ACC,,-nha,argument,formative,FALSE,FALSE,restricted,TRUE,concatenative,concatenative,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,D,D,D,post,post,post,FALSE,FALSE,TRUE,FALSE,FALSE,,,,,assign,,,Pro,terminal,nominal,argument,,,1,FALSE,Role,role
2770,ying1247,Yingkarta,1779,DAT,,-ngu,argument,formative,FALSE,FALSE,restricted,TRUE,concatenative,concatenative,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,D,D,D,post,post,post,FALSE,FALSE,TRUE,FALSE,FALSE,,,,,assign,,,N_or_Pro,terminal,nominal,argument,,,1,FALSE,Role,role
193,east2379,Mparntwe Arrernte,1780,ABS,,zero,,,FALSE,FALSE,restricted,TRUE,,,,,,,FALSE,FALSE,,,D,D,D,,,,,,,,,,,,,assign,,,n/a,,,,,,1,FALSE,Role,role
