PoS,ProjectionType,SyntacticDomain,SemanticDomain,ClausalDomain,Definition
1exclPro,terminal,nominal,SAP,argument,1st person (plural) exclusive pronoun
Pro-high,terminal,nominal,non-SAP,argument,pronoun with a higher discourse rank than ‘Pro-low’ (where rank is determined by discourse factors with language-specific weights)
Pro-low,terminal,nominal,non-SAP,argument,pronoun with a lower discourse rank than ‘Pro-high’ (where rank is determined by discourse factors with language-specific weights)
N1-sg-inanim340,terminal,nominal,noun-like,argument,"Russian inanimate noun of declension class 1 (e.g. zavod  `factory’, mesto `place’)"
N1-sg-anim340,terminal,nominal,noun-like,argument,Russian animate noun of declension class 1 (e.g. student `student’)
N2-sg340,terminal,nominal,noun-like,argument,"Russian noun of declension class 2 (e.g. komnata `room’, sestra ‘sister’)"
N3-sg340,terminal,nominal,noun-like,argument,Russian noun of declension class 3 (e.g. doč’  `daughter’)
N-pl-anim,terminal,nominal,noun-like,argument,animate noun in plural
N-pl-inanim,terminal,nominal,noun-like,argument,inanimate noun in plural
AdjP,phrasal,,other,argument,adjective phrase
Adv,terminal,,other,,Adverb
PP,phrasal,,other,,Adpositional phrase
3Pro-anim,terminal,nominal,non-SAP,argument,pronoun referring to an animate entity
3Pro-inanim,terminal,nominal,non-SAP,argument,pronoun referring to an inanimate entity
anim,,nominal,general,argument,animate referent
3Pro-high,terminal,nominal,non-SAP,argument,3rd person pronoun (no number distinction) with a higher discourse rank than ‘3Pro-low’ (where rank is determined by discourse factors with language-specific weights)
3Pro-low,terminal,nominal,non-SAP,argument,3rd person pronoun (no number distinction) with a lower discourse rank than ‘3Pro-high’ (where rank is determined by discourse factors with language-specific weights)
N-du,,nominal,noun-like,argument,noun in dual number
N-sg-anim,terminal,nominal,noun-like,argument,animate noun in singular
N-du-anim,terminal,nominal,noun-like,argument,animate noun in dual
3sgPro-anim,terminal,nominal,non-SAP,argument,3rd person singular pronouns with animate reference
3duPro-anim,terminal,nominal,non-SAP,argument,3rd person dual pronoun with animate reference
3plPro-anim,terminal,nominal,non-SAP,argument,3rd person plural pronoun with animate reference
1pl,terminal,nominal,SAP,argument,1st person plural
2sg,,nominal,SAP,,2nd person singular
2pl,,nominal,SAP,,2nd person plural
3sg,,nominal,non-SAP,,3rd person singular
3pl,,nominal,non-SAP,,3rd person plural
1du.incl,terminal,nominal,SAP,argument,1st person dual inclusive
1pl.incl,terminal,nominal,SAP,argument,1st person plural inclusive
1du.excl,terminal,nominal,SAP,argument,1st person dual exclusive
1pl.excl,terminal,nominal,SAP,argument,1st person plural exclusive
2du,,nominal,SAP,,2nd person dual
3du,,nominal,non-SAP,,3rd person dual
3,,nominal,non-SAP,,3rd person
3sg-anim-high,,nominal,non-SAP,,3rd person singular animate argument with a higher discourse rank than ‘3sg-anim-low’ (where rank is determined by discourse factors with language-specific weights)
3pl-anim-high,,nominal,non-SAP,,3rd person plural animate argument with a higher discourse rank than ‘3pl-anim-low’ (where rank is determined by discourse factors with language-specific weights)
3sg-anim-low,,nominal,non-SAP,,3rd person singular animate argument with a lower discourse rank than ‘3sg-anim-high’ (where rank is determined by discourse factors with language-specific weights)
3pl-anim-low,,nominal,non-SAP,,3rd person plural animate argument with a lower discourse rank than ‘3pl-anim-high’ (where rank is determined by discourse factors with language-specific weights)
indef,,nominal,general,,indefinite referent
N-anim-high,,nominal,noun-like,argument,animate noun with a higher discourse rank than ‘N-anim-low’ (where rank is determined by discourse factors with language-specific weights)
N-anim-low,,nominal,noun-like,argument,animate noun with a lower discourse rank than ‘N-anim-high’ (where rank is determined by discourse factors with language-specific weights)
3anim-high,,nominal,non-SAP,argument,"3rd person high-indexability animate referent, i.e. with a higher discourse rank than ‘low-indexability’ (where rank is determined by discourse factors with language-specific weights)"
3anim-low,,nominal,non-SAP,argument,"3rd person low-indexability animate referent, i.e. with a lower discourse rank than ‘high-indexability’ (where rank is determined by discourse factors with language-specific weights)"
3inanim,,nominal,non-SAP,,inanimate referent (of the 3rd person)
N-anim-sg-high,,nominal,noun-like,argument,animate singular noun with a higher discourse rank than ‘N-anim-low’ (where rank is determined by discourse factors with language-specific weights)
N-anim-sg-low,,nominal,noun-like,argument,animate singular noun with a lower discourse rank than ‘N-anim-high’ (where rank is determined by discourse factors with language-specific weights)
