LID,Glottocode,Language,HasCase,IsCaseCodedForDefaultPredicates,IsCaseCodedForDitransitivePredicates,IsCaseCodedForOtherPredicates,HasAgreement,IsAgreementCodedForDefaultPredicates,IsAgreementCodedForDitransitivePredicates,IsAgreementCodedForOtherPredicates,IsAgreementMarkersCodedForDefaultPredicates,IsAgreementMarkersCodedForDitransitivePredicates,IsAgreementMarkersCodedForOtherPredicates,PersonNumberCategory
50,chic1272,Chichimec,TRUE,TRUE,,,TRUE,TRUE,TRUE,,TRUE,TRUE,,1pl.incl
50,chic1272,Chichimec,TRUE,TRUE,,,TRUE,TRUE,TRUE,,TRUE,TRUE,,1du.excl
50,chic1272,Chichimec,TRUE,TRUE,,,TRUE,TRUE,TRUE,,TRUE,TRUE,,1pl.excl
51,chim1301,Chimariko,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,,,,,
53,chit1248,Chitimacha,TRUE,TRUE,,,TRUE,FALSE,,,,,,
54,choc1276,Choctaw,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1sg
54,choc1276,Choctaw,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2sg
54,choc1276,Choctaw,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1pl
54,choc1276,Choctaw,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2pl
54,choc1276,Choctaw,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,3sg
54,choc1276,Choctaw,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,3pl
1163,lowl1260,Chontal (Huamelultec Oaxaca),TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
56,chuk1273,Chukchi,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,TRUE,,,
57,chuv1255,Chuvash,TRUE,TRUE,,,TRUE,TRUE,,,TRUE,,,1sg
57,chuv1255,Chuvash,TRUE,TRUE,,,TRUE,TRUE,,,TRUE,,,2sg
57,chuv1255,Chuvash,TRUE,TRUE,,,TRUE,TRUE,,,TRUE,,,3sg
57,chuv1255,Chuvash,TRUE,TRUE,,,TRUE,TRUE,,,TRUE,,,1pl
57,chuv1255,Chuvash,TRUE,TRUE,,,TRUE,TRUE,,,TRUE,,,2pl
57,chuv1255,Chuvash,TRUE,TRUE,,,TRUE,TRUE,,,TRUE,,,3pl
59,plai1258,Cree (Plains),TRUE,TRUE,,,TRUE,TRUE,,,TRUE,,,3sg-anim-fobv
59,plai1258,Cree (Plains),TRUE,TRUE,,,TRUE,TRUE,,,TRUE,,,3pl-inanim-high
59,plai1258,Cree (Plains),TRUE,TRUE,,,TRUE,TRUE,,,TRUE,,,3sg-inanim-low
59,plai1258,Cree (Plains),TRUE,TRUE,,,TRUE,TRUE,,,TRUE,,,3sg-anim-low
59,plai1258,Cree (Plains),TRUE,TRUE,,,TRUE,TRUE,,,TRUE,,,3pl-anim-high
59,plai1258,Cree (Plains),TRUE,TRUE,,,TRUE,TRUE,,,TRUE,,,3pl-inanim-low
59,plai1258,Cree (Plains),TRUE,TRUE,,,TRUE,TRUE,,,TRUE,,,3pl-anim-fobv
59,plai1258,Cree (Plains),TRUE,TRUE,,,TRUE,TRUE,,,TRUE,,,3sg-anim-high
59,plai1258,Cree (Plains),TRUE,TRUE,,,TRUE,TRUE,,,TRUE,,,3sg-inanim-high
59,plai1258,Cree (Plains),TRUE,TRUE,,,TRUE,TRUE,,,TRUE,,,3pl-anim-low
59,plai1258,Cree (Plains),TRUE,TRUE,,,TRUE,TRUE,,,TRUE,,,1sg
59,plai1258,Cree (Plains),TRUE,TRUE,,,TRUE,TRUE,,,TRUE,,,1pl.incl
59,plai1258,Cree (Plains),TRUE,TRUE,,,TRUE,TRUE,,,TRUE,,,1pl.excl
