LID,Glottocode,Language,SelectorID,MarkerID,SelectorType,SelectorLabel,ReferentialCondition,CoargumentAtr,CoargumentP,PredicateClassID,MarkerSlot,ClauseRankCondition,CategoryCondition,SyntacticDomainCondition,PolarityCondition,SelectedRoles
17,tosk1239,Albanian,4716,,case marker or adposition,DAT case,N-def,,,3,,main,,,,G
17,tosk1239,Albanian,4716,,case marker or adposition,DAT case,N-indef,,,3,,main,,,,G
20,amel1241,Amele,323,697,case marker or adposition,NOM case,,,,1,,main,,,,S
20,amel1241,Amele,323,697,case marker or adposition,NOM case,,,,2,,main,,,,Atr
20,amel1241,Amele,323,697,case marker or adposition,NOM case,,,,2,,main,,,,P
21,amha1245,Amharic,327,3198,agreement (grammatical),S/A/P agreement,,,,1,,main,21_IPFV,,,S
21,amha1245,Amharic,327,3198,agreement (grammatical),S/A/P agreement,,,,1,,main,21_PFV,,,S
21,amha1245,Amharic,327,3198,agreement (grammatical),S/A/P agreement,,,,2,,main,21_IPFV,,,Atr
21,amha1245,Amharic,327,3198,agreement (grammatical),S/A/P agreement,,,,2,,main,21_IPFV,,,P
21,amha1245,Amharic,327,3198,agreement (grammatical),S/A/P agreement,,,,2,,main,21_PFV,,,Atr
21,amha1245,Amharic,327,3198,agreement (grammatical),S/A/P agreement,,,,2,,main,21_PFV,,,P
21,amha1245,Amharic,2882,3192,agreement (marker),-ňň '1sP' agreement,1sg,,,2,2,main,21_IPFV,,,P
21,amha1245,Amharic,2882,3192,agreement (marker),-ňň '1sP' agreement,1sg,,,2,2,main,21_PFV,,,P
21,amha1245,Amharic,2993,3193,agreement (marker),"-h, -š  '2sP' agreement",2sg,,,2,2,main,21_IPFV,,,P
21,amha1245,Amharic,2993,3193,agreement (marker),"-h, -š  '2sP' agreement",2sg,,,2,2,main,21_PFV,,,P
21,amha1245,Amharic,2994,3194,agreement (marker),"-w, -t  '3sP-high' agreement",3sg-high,,,2,2,main,21_IPFV,,,P
21,amha1245,Amharic,2994,3194,agreement (marker),"-w, -t  '3sP-high' agreement",3sg-high,,,2,2,main,21_PFV,,,P
21,amha1245,Amharic,2995,3195,agreement (marker),"-w, -t  '3pP-high' agreement",3pl-high,,,2,2,main,21_IPFV,,,P
21,amha1245,Amharic,2995,3195,agreement (marker),"-w, -t  '3pP-high' agreement",3pl-high,,,2,2,main,21_PFV,,,P
21,amha1245,Amharic,2996,3197,agreement (marker),-ččəhu ‘2pP’ agreement,2pl,,,2,2,main,21_IPFV,,,P
21,amha1245,Amharic,2996,3197,agreement (marker),-ččəhu ‘2pP’ agreement,2pl,,,2,2,main,21_PFV,,,P
21,amha1245,Amharic,2997,3196,agreement (marker),-n ‘1pP’ agreement,1pl,,,2,2,main,21_IPFV,,,P
21,amha1245,Amharic,2997,3196,agreement (marker),-n ‘1pP’ agreement,1pl,,,2,2,main,21_PFV,,,P
21,amha1245,Amharic,3998,4125,agreement (marker),ə- ‘1sS/A’ (IMPF) S/A agreement,1sg,,,1,-1,main,21_IPFV,,,S
21,amha1245,Amharic,3998,4125,agreement (marker),ə- ‘1sS/A’ (IMPF) S/A agreement,1sg,,,2,-1,main,21_IPFV,,,Atr
21,amha1245,Amharic,3999,4127,agreement (marker),tə- ‘2S/A’ (IMPF) S/A agreement,2pl,,,1,-1,main,21_IPFV,,,S
21,amha1245,Amharic,3999,4127,agreement (marker),tə- ‘2S/A’ (IMPF) S/A agreement,2pl,,,2,-1,main,21_IPFV,,,Atr
