LID,Glottocode,Language,HasClusivity,ClusivityType,HasClusivityAsPerson,HasClusivityWithMinimalNumberSystem
101,hixk1239,Hixkaryana,TRUE,plain i/e type,FALSE,FALSE
180,wich1263,Mataco,FALSE,no i/e,FALSE,FALSE
200,sout2994,Nambikwara,TRUE,plain i/e type,FALSE,FALSE
333,pira1253,Pirahã,FALSE,no i/e,FALSE,FALSE
329,paum1247,Paumarí,FALSE,no i/e,FALSE,FALSE
348,sanu1240,Sanuma,TRUE,excl as person type,TRUE,FALSE
444,west2515,Futuna (West),TRUE,plain i/e type,,
440,naas1242,Nasioi,FALSE,no i/e,FALSE,FALSE
437,nort2921,Ku Waru,FALSE,no i/e,FALSE,FALSE
35,belh1239,Belhare,TRUE,excl as person type,TRUE,FALSE
473,remb1249,Rembarrnga,TRUE,min/aug type,TRUE,TRUE
474,high1276,Sierra Popoluca,TRUE,excl as person type,TRUE,FALSE
475,trio1238,Trió,TRUE,excl as person type,TRUE,FALSE
476,gali1262,Kalihna,TRUE,excl as person type,TRUE,FALSE
477,maca1260,Maká,TRUE,excl as person type,TRUE,FALSE
479,hoch1243,Hocak,TRUE,min/aug type,TRUE,TRUE
212,nucl1633,Nimboran,TRUE,min/aug type,TRUE,TRUE
112,imon1245,Imonda,TRUE,min/aug type,TRUE,TRUE
480,aman1265,Amanab,TRUE,excl as person type,TRUE,FALSE
481,svan1243,Svan,TRUE,plain i/e type,FALSE,FALSE
482,warr1258,Warrwa,TRUE,excl as person type,TRUE,FALSE
321,ojib1241,Ojibwa,TRUE,excl as person type,TRUE,FALSE
483,lena1238,Lenakel,TRUE,excl as person type,TRUE,FALSE
484,mara1404,Maranao,TRUE,min/aug type,TRUE,TRUE
485,nyul1247,Nyulnyul,TRUE,min/aug type,TRUE,TRUE
486,moun1252,Koiali (Mountain),TRUE,min/aug type,TRUE,TRUE
487,nang1262,Nagu,TRUE,min/aug type,TRUE,TRUE
177,marg1265,Margi,TRUE,min/aug type,TRUE,TRUE
488,veng1238,Babungo,TRUE,min/aug type,TRUE,TRUE
489,diii1241,Dii,TRUE,min/aug type,TRUE,TRUE
490,dann1241,Dan,TRUE,min/aug type,TRUE,TRUE
491,mala1537,Malagasy,TRUE,plain i/e type,FALSE,FALSE
99,hind1269,Hindi,FALSE,no i/e,FALSE,FALSE
454,rama1270,Rama,FALSE,no i/e,FALSE,FALSE
492,copa1236,Zoque (Copainalá),TRUE,excl as person type,TRUE,FALSE
493,bara1380,Barasano,TRUE,min/aug type,TRUE,TRUE
494,viet1252,Vietnamese,TRUE,min/aug type,TRUE,TRUE
128,kaya1319,Kayardild,TRUE,plain i/e type,FALSE,FALSE
495,kron1241,Krongo,TRUE,plain i/e type,FALSE,FALSE
77,fiji1243,Fijian (Boumaa),TRUE,plain i/e type,FALSE,FALSE
496,indo1316,Indonesian,TRUE,plain i/e type,FALSE,FALSE
460,popt1235,Jacaltec,FALSE,no i/e,FALSE,FALSE
497,supy1237,Supyire,FALSE,no i/e,FALSE,FALSE
466,sang1328,Sango,FALSE,no i/e,FALSE,FALSE
465,mari1440,Maricopa,FALSE,no i/e,FALSE,FALSE
498,mezq1235,Otomi (Mezquital),TRUE,excl as person type,TRUE,FALSE
159,lang1324,Lango,FALSE,no i/e,FALSE,FALSE
