LID,Glottocode,Language,HasGender,GenderCount,GenderCountBinned4
77,fiji1243,Fijian (Boumaa),FALSE,,
645,hata1243,Hatam,FALSE,,
112,imon1245,Imonda,FALSE,,
498,mezq1235,Otomi (Mezquital),FALSE,,
391,urad1238,Uradhi,FALSE,,
515,bagi1246,Bagirmi,FALSE,,
654,nisg1240,Nisgha,FALSE,,
326,paez1247,Paez,FALSE,,
492,copa1236,Zoque (Copainalá),FALSE,,
2987,jams1239,Dogon (Jamsay),FALSE,,
502,nucl1301,Turkish,FALSE,,
666,coah1252,Coahuiltec,FALSE,,
518,brah1256,Brahui,FALSE,,
538,east2342,Kayah Li (Eastern),FALSE,,
646,xokl1240,Xokleng,FALSE,,
454,rama1270,Rama,FALSE,,
383,trum1247,Trumaí,FALSE,,
1625,sanm1287,Huave (San Mateo del Mar),FALSE,,
582,abip1241,Abipon,FALSE,,
26,casu1237,Asmat,FALSE,,
414,yagu1244,Yagua,FALSE,,
655,gunw1252,Mayali,TRUE,4,more
66,dhuw1249,Djapu,FALSE,,
82,gaga1251,Gaagudju,TRUE,4,more
207,nara1262,Nera,FALSE,,
397,waor1240,Waorani,FALSE,,
526,epen1239,Epena Pedee,FALSE,,
493,bara1380,Barasano,TRUE,2,2
656,koro1312,Korowai,FALSE,,
528,garo1247,Garo,FALSE,,
501,mani1292,Meithei,FALSE,,
223,sout2729,Pumi,FALSE,,
664,west2420,Kham,FALSE,,
663,drun1238,Drung,FALSE,,
540,khas1269,Khasi,TRUE,2,2
503,yaqu1251,Yaqui,FALSE,,
660,band1339,Bandjalang,TRUE,4,more
565,onaa1245,Selknam,TRUE,3,3
192,movi1243,Movima,TRUE,3,3
212,nucl1633,Nimboran,,2,2
106,sand1278,Huave,FALSE,,
2260,ixte1237,Otomí (Ixtenco),FALSE,,
578,muru1274,Witoto,FALSE,,
2797,sout2750,Yukagir (Kolyma),FALSE,,
3101,assy1241,Neo-Aramaic (Barwar),TRUE,2,2
