ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Source,LanguageAlternativeNames,Stock,StockAlternativeName,MacroQuasiStock,QuasiStock,MajorBranch,SubBranch,SubSubBranch,LowestSubBranch,Genesis,LocalRegion,IsNearProtoHomeland,Modality,Subsistence,OriginContinent,Continent,Area,Macrocontinent
1454,Dyula,,9.83,-4.67,dyul1238,dyu,6455; 5396; 5568; 6417; 6006; 6273; 6678; 6456; 6416,Dyula,Mande,,Niger-Kordofanian,Macro-Niger-Congo,West Mande,,,,,,,,,Africa,Africa,African Savannah,Africa
1455,Havasupai,,35.75,-112.5,hava1248,yuf,,Havasupai,Yuman,Yuman-Cochimí,,,,,,,,,,,not hg,North America,W N America,Basin and Plains,Americas
1456,Hualapai,,35.5,-113.75,hava1248,yuf,,Hualapai,Yuman,Yuman-Cochimí,,,,,,,,,,,not hg,North America,W N America,Basin and Plains,Americas
1457,Yavapai,,34,-113.33,hava1248,yuf,,Yavapai,Yuman,Yuman-Cochimí,,,,,,,,,,,not hg,North America,W N America,Basin and Plains,Americas
1458,Binga,,8,25,yulu1243,yul,,Binga,Bongo-Bagirmi,,,Central Sudanic,,,,,,,,,,Africa,Africa,African Savannah,Africa
1459,Djabugay,,-16.75,145.58,dyaa1242,dyy,,Djabugay,Pama-Nyungan,,,Macro-Pama-Nyungan,Yidinyic,,,,,,,,,Australia,Australia,N Australia,Pacific
1460,Zoque (Ostuacan),,17.42,-93.3,copa1236,zoc,,Zoque (Ostuacan),Mixe-Zoque,,,,,,,,,,,,,North America,C America,Mesoamerica,Americas
1461,Zulu (Northern),,-28,31,zulu1248,zul,,Zulu (Northern),Benue-Congo,,Niger-Kordofanian,Niger-Congo,Bantoid,Bantu (narrow),,,,,,,,Africa,Africa,S Africa,Africa
1462,Zulu (Southern),,-31,30,zulu1248,zul,,Zulu (Southern),Benue-Congo,,Niger-Kordofanian,Niger-Congo,Bantoid,Bantu (narrow),,,,,,,,Africa,Africa,S Africa,Africa
1463,Bini,,6.42,5.83,bini1246,bin,2166; 5708; 5890; 5995; 2515; 5710; 4048; 5565; 5677; 5709; 6019; 5676; 5355; 5721,Bini,Benue-Congo,,Niger-Kordofanian,Niger-Congo,Edoid,,,,,,,,,Africa,Africa,African Savannah,Africa
1464,Eipo,,-4.33,140.08,eipo1242,eip,,"Eipo, Eipomek",Mek,,Trans New Guinea,,Eastern Mek,,,,,,,,,Pacific,NG and Oceania,Interior New Guinea,Pacific
1465,Ekoti,,-16.5,39.5,koti1238,eko,2490,Ekoti,Benue-Congo,,Niger-Kordofanian,Niger-Congo,Bantoid,Bantu (narrow),,,,,,,,Africa,Africa,S Africa,Africa
1466,Kayah Li (Western),,19,97.3,west2409,kyu,2668; 3192,"Kayah Li, Red Karen, Kayah Li (Western)",Sino-Tibetan,,,,Karenic,,,,,,,,,Eurasia,S/SE Asia,Southeast Asia,Eurasia
1467,Tuvaluan,,-8.5,179.17,tuva1244,tvl,3993,"Tuvaluan, Nanumea, Tuvalu, Ellicean",Austronesian,,,,Malayo-Polynesian,Oceanic,Central Pacific,Eastern Fijian-Polynesian linkage,,,,,,Eurasia,NG and Oceania,Oceania,Pacific
1468,Ora (Nigeria),,7.08,5.92,emai1241,ema,,"Ora (Nigeria), Ivhimion, Emai, Iuleha",Benue-Congo,,Niger-Kordofanian,Niger-Congo,Edoid,,,,,,,,,Africa,Africa,African Savannah,Africa
1469,Embaloh,,1.17,112.33,emba1238,emb,6297,Embaloh,Austronesian,,,,Malayo-Polynesian,Western Malayo-Polynesian non-clade,,,,,,,,Eurasia,S/SE Asia,Southeast Asia,Eurasia
1470,Mussau,,-1.45,149.62,muss1246,emi,2605,Mussau,Austronesian,,,,Malayo-Polynesian,Oceanic,Mussau-Tench,,,,,,,Eurasia,NG and Oceania,N Coast New Guinea,Pacific
1471,Italian (Bologna),,44.5,11.33,ital1282,ita,,Italian (Bologna),Indo-European,,,Indo-Uralic,Italic-Celtic,Italic,,,,,,,,Eurasia,W and SW Eurasia,Europe,Eurasia
1472,Embera,,6.83,-77.17,nort2972,emp,,Embera,Chocó,,,,,,,,,,,,,South America,S America,Andean,Americas
1473,Engenni,,5.17,6.38,enge1239,enn,5918,Engenni,Benue-Congo,,Niger-Kordofanian,Niger-Congo,Edoid,,,,,,,,,Africa,Africa,African Savannah,Africa
1474,Enggano,,-5.42,102.25,engg1245,eno,,Enggano,Austronesian,,,,Malayo-Polynesian,Western Malayo-Polynesian non-clade,,,,,,,,Eurasia,S/SE Asia,Southeast Asia,Eurasia
1475,Enga,,-5.5,143.67,enga1252,enq,4193,Enga,Engan-Kewa,,Trans New Guinea,East New Guinea Highlands,Engan,,,,,,,,,Pacific,NG and Oceania,Interior New Guinea,Pacific
1476,Erromangan,,-18.83,169.17,siee1239,erg,2742; 2637; 2354; 4049,"Sie, Sye, Erromangan, Eromangan",Austronesian,,,,Malayo-Polynesian,Oceanic,Southern Oceanic linkage,Southern Melanesian,,,,,,Eurasia,NG and Oceania,Oceania,Pacific
1477,Ese Ejja,,-11,-66,esee1248,ese,2369,Ese Ejja,Pano-Tacanan,,,,Tacanan,,,,,,,,hg,South America,S America,NE South America,Americas
1478,Iñupiaq,,67,-161,nort2945,esk,7220; 2571; 3457,Iñupiaq,Eskimo-Aleut,,,,Eskimoan,,,,,,,,hg,North America,W N America,Alaska-Oregon,Americas
1479,Esselen,,36.25,-121.75,esse1238,esq,,Esselen,Esselen,,,,,,,,,,,,hg,North America,W N America,California,Americas
1480,Estonian,,59,26,esto1258,ekk,13634; 2115; 3880; 2712; 6254; 2714; 2622; 13506; 2716; 6525; 13605; 2715,Estonian,Uralic,,,Indo-Uralic,Finno-Ugric,Finno-Permian,Finno-Volgaic,Finno-Saamic,,,,,,Eurasia,N-C Asia,Inner Asia,Eurasia
1482,Edolo,,-6.17,142.67,edol1239,etr,,Edolo,Bosavi,,Trans New Guinea,,,,,,,,,,not hg,Pacific,NG and Oceania,Interior New Guinea,Pacific
1483,Etsako,,7.25,6.5,yekh1238,ets,,Etsako,Benue-Congo,,Niger-Kordofanian,Niger-Congo,Edoid,,,,,,,,,Africa,Africa,African Savannah,Africa
1484,Ejagham,,5.42,8.67,ejag1239,etu,6041; 6031; 5988; 2977; 3806,Ejagham,Benue-Congo,,Niger-Kordofanian,Niger-Congo,Bantoid,,,,,,,,,Africa,Africa,African Savannah,Africa
1485,Ewondo,,4,12,ewon1239,ewo,5935; 5926,Ewondo,Benue-Congo,,Niger-Kordofanian,Niger-Congo,Bantoid,Bantu (narrow),,,,,,,,Africa,Africa,African Savannah,Africa
1486,Fasu,,-6.58,143.33,fasu1242,faa,,Fasu,West Kutubu,,Trans New Guinea,Kutubu,,,,,,,,,,Pacific,NG and Oceania,Interior New Guinea,Pacific
1487,Palor,,14.83,-16.75,palo1243,fap,,Palor,North Atlantic,,Niger-Kordofanian,Macro-Niger-Congo,,,,,,,,,,Africa,Africa,African Savannah,Africa
1488,Sign Language Québec,,48,-75,queb1245,fcs,,"Langue des Signes Québecoise,Sign Language Québec",Sign Language Québec,,,,,,,,,,,signed,,North America,E N America,E North America,Americas
1489,Nobiin,,21,31,nobi1240,fia,,Nobiin,Nubian,,Core Nilo-Saharan,Eastern Sudanic,,,,,,,,,,Africa,Africa,N Africa,Africa
1490,Kalispel,,48,-117,kali1308,fla,,Kalispel,Salishan,,,,Interior Salish,Southern Interior Salish,,,,,,,hg,North America,W N America,Basin and Plains,Americas
1491,Fe'fe',,5.25,10.17,fefe1239,fmp,5797; 5454; 5835; 5992,Fe'fe' Bamileke,Benue-Congo,,Niger-Kordofanian,Niger-Congo,Bantoid,Grassfields Bantu,,,,,,,,Africa,Africa,African Savannah,Africa
1492,Fongbe,,6.42,2.17,fonn1241,fon,5968; 5977; 5980; 2167; 13308; 5981; 5983; 2163; 5984; 6816; 6694; 5978; 5979; 5976; 5982; 2164,Fongbe,Kwa,,Niger-Kordofanian,Niger-Congo,Gbe,,,,,,,,,Africa,Africa,African Savannah,Africa
1493,Foe,,-6.5,143.5,foii1241,foi,,Foe,East Kutubu,,Trans New Guinea,Kutubu,,,,,,,,,,Pacific,NG and Oceania,Interior New Guinea,Pacific
