LID,Glottocode,Language,MarkerPositionBinned4ForTAMPlus,MarkerPositionBinned4ForOperators,MarkerPositionBinned4ForValence,MarkerPositionBinned4ForInterClausal,MarkerPositionBinned4ForOther,MarkerPositionBinned4ForPragmatic,MarkerPositionBinned4ForNumber,MarkerPositionBinned4ForEvidential,MarkerPositionBinned4ForNPRelated,MarkerPositionBinned4ForClassification,MarkerPositionBinned4ForEventSpecs,MarkerPositionBinned4ForRole
3312,west2368,Balochi (Western),multiple,prae,,,,,,,,,,
2716,uppe1395,Sorbian (Upper),multiple,prae,,,,,,,,,,
2916,wakh1245,Wakhi,post,prae,post,,,,,,,,,
2893,lati1261,Latin,post,,,,,,,,,,,
1395,vlax1238,Romani (Vlax),post,,,,,,,,,,,
3213,oldi1245,Irish (Old),multiple,prae,,split,,,,,,,,
1440,dutc1256,Dutch,post,,,,,,,,,,,
710,faro1244,Faroese,post,,,,,,,,,,,
1399,dara1250,Darai,multiple,,post,,,,,post,,,,
2987,jams1239,Dogon (Jamsay),multiple,post,,,,,,,,,,
3239,atin1240,Laz (Pazar),multiple,,multiple,,,prae,post,,,,,
1964,male1284,Maale,post,post,post,,,,,post,,,,
1203,cupe1243,Cupeño,post,,,,,,multiple,post,,,,
689,lowl1265,Rarámuri,post,,post,,,,split,post,,,post,
3313,tang1334,Tangut,prae,prae,,,,prae,,,,,,
2020,karb1241,Mikir,multiple,post,prae,,,,,,prae,,,
2180,rong1266,Rongmei Naga,post,post,prae,,,,,,,,,
3315,anuu1241,Hkongso,prae,split,prae,,,,,,,,,
688,cora1260,Cora,multiple,,multiple,,,,multiple,,,,in/simul,
368,tawa1275,Tawala,prae,,,,,post,,,post,,,
68,djin1251,Djingili,post,,prae,,prae,post,,,,,,
2196,narp1239,Nar-Phu,post,prae,,,,,,,,,,
2871,nort2732,Northern Tujia,,split,,,,post,,,,,,
1765,pwoe1235,Karen (Pwo),prae,,,,,,,,,,,
1889,lisu1250,Lisu,,prae,,,,,,,,,,
2873,bant1281,Bantawa,post,in/simul,,,,,,,,,,
3032,aton1241,Atong,post,post,,,,,,,,,,
1004,gahr1239,Bunan,post,prae,post,,,,,post,,,,
1130,chep1245,Chepang,post,,,,,,,,,,,
3326,situ1238,Jiǎomùzú,prae,,,,,prae,,,,,,
2217,nung1282,Anong,multiple,,,,,prae,,,,,,prae
767,galo1242,Gallong,post,post,,,,,,post,,,,
2563,than1259,Thangmi,,,,,,,,,,,,
3298,mong1332,Mongsen Khari,post,prae,,,,,,,,,,
1317,dhim1246,Dhimal,post,prae,,,,,,,,,,
3318,kurt1248,Kurtokha,post,post,,,,,,post,,,,
735,raji1240,Raji,post,post,,,,,,,,,,
2186,tang1336,Naga (Tangkhul),post,post,,,,,,,,,,
1376,tase1235,Jugli,split,post,,,,,,,,,,
2662,yaku1245,Yakut,post,post,post,,,post,post,,,,,
18,aleu1260,Aleut,post,,post,,,post,post,post,,,,
2657,udih1248,Udihe,post,,post,,,,,,,,,
730,thak1245,Thakali,post,,,,,,,,,,,
1480,esto1258,Estonian,post,post,post,,,,,post,,,,
3301,yong1270,Yongning Na,,prae,,,,,,,,,,
1388,darm1243,Darmiya,post,prae,post,,,,,,,,,
709,kild1236,Saami (Kildin),post,prae,post,,,,,,,,,
3006,shek1245,Sheko,post,,post,,,post,,,,,,
3173,sida1246,Sidaama,post,prae,post,,,post,,,,,,
2936,phal1254,Palula,post,,,,,,,,,,,
701,sout2674,Saami (South),post,,post,,,,,,,,,
703,pite1240,Saami (Pite),,post,post,,,,,,,,,
628,byan1241,Byangsi,post,post,post,,,,,post,,,,
838,amdo1237,Amdo,multiple,prae,,,,in/simul,,,,,,
1775,kulu1253,Kulung,post,prae,,,,,,,,,,
1778,khal1275,Khaling,post,prae,,,,,,,,,,
3272,zaiw1241,Zaiwa,post,prae,,,,,,,,,,
786,rong1264,Rongpo,post,prae,post,,,,,,,,,
1914,lush1249,Mizo (Lushai),post,post,,,,multiple,,,,,,
2824,clas1254,Tibetan (Classical),multiple,split,,,,in/simul,,,,,,
667,thul1246,Thulung (Mukli),post,prae,,,,,,,post,,,
3331,guan1266,Khroskyabs,prae,prae,,,,prae,,,,,,
2862,chhi1245,Chintang,post,post,post,,,,,,,,,
