LID,Glottocode,Language,MarkerHasPostposedExponentForTAM,MarkerHasPostposedExponentForPolarity,MarkerHasPostposedExponentForVoice,MarkerHasPostposedExponentForMood,MarkerHasPostposedExponentForValence,MarkerHasPostposedExponentForAktionsart,MarkerHasPostposedExponentForConnective,MarkerHasPostposedExponentForSemistem,MarkerHasPostposedExponentForReferential,MarkerHasPostposedExponentForCausative,MarkerHasPostposedExponentForAspect,MarkerHasPostposedExponentForTM,MarkerHasPostposedExponentForDeixis,MarkerHasPostposedExponentForMSE,MarkerHasPostposedExponentForQuantificational,MarkerHasPostposedExponentForMA,MarkerHasPostposedExponentForTense,MarkerHasPostposedExponentForTA,MarkerHasPostposedExponentForPotentialis,MarkerHasPostposedExponentForApplicative,MarkerHasPostposedExponentForNumber,MarkerHasPostposedExponentForReflexiveAndReciprocal,MarkerHasPostposedExponentForVersion,MarkerHasPostposedExponentForIllocution,MarkerHasPostposedExponentForMTN,MarkerHasPostposedExponentForStatus,MarkerHasPostposedExponentForEvidential,MarkerHasPostposedExponentForConstruct,MarkerHasPostposedExponentForNominalizer,MarkerHasPostposedExponentForHonorificity,MarkerHasPostposedExponentForFocus,MarkerHasPostposedExponentForSwitchReference,MarkerHasPostposedExponentForSymmetricalVoice,MarkerHasPostposedExponentForRECIP,MarkerHasPostposedExponentForTE,MarkerHasPostposedExponentForReflexive,MarkerHasPostposedExponentForClassifier,MarkerHasPostposedExponentForME,MarkerHasPostposedExponentForRepetition,MarkerHasPostposedExponentForSpatial,MarkerHasPostposedExponentForMotion,MarkerHasPostposedExponentForModality,MarkerHasPostposedExponentForDirection,MarkerHasPostposedExponentForPosterior,MarkerHasPostposedExponentForControl,MarkerHasPostposedExponentForQuotative,MarkerHasPostposedExponentForReversative,MarkerHasPostposedExponentForAffect,MarkerHasPostposedExponentForAE,MarkerHasPostposedExponentForTAME,MarkerHasPostposedExponentForConditional,MarkerHasPostposedExponentForPossessor,MarkerHasPostposedExponentForTAE,MarkerHasPostposedExponentForTN
515,bagi1246,Bagirmi,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
378,tiwi1244,Tiwi,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,mart1255,Martuthunira,TRUE,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
497,supy1237,Supyire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
501,mani1292,Meithei,,TRUE,,TRUE,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,
576,wari1268,Wari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
463,nucl1310,Burmese,,FALSE,,TRUE,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
569,stan1288,Spanish,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,stan1290,French (colloquial),TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
498,mezq1235,Otomi (Mezquital),,FALSE,FALSE,,,,,,,,FALSE,,,,,,FALSE,,,,TRUE,FALSE,,,,,,,,,TRUE,,,,,,,,FALSE,,,,,,,,,,,,,,,
411,wasc1239,Wishram,,,,,,,,,,TRUE,TRUE,,FALSE,,TRUE,,TRUE,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,east2652,Oromo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
526,epen1239,Epena Pedee,,TRUE,,TRUE,,,,,,,TRUE,,TRUE,,,,TRUE,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356,sout2985,Miwok (Southern Sierra),,,TRUE,,,TRUE,,,,,TRUE,,,,,,TRUE,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,,,
527,even1259,Evenki,,,TRUE,,,,,,,TRUE,TRUE,TRUE,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,nene1249,Nenets (Tundra),,,,,,,,,TRUE,TRUE,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,abkh1244,Abkhaz,TRUE,,,,,TRUE,,FALSE,,FALSE,,,FALSE,,TRUE,,TRUE,,,FALSE,,,,TRUE,,,,,,,,,,,,FALSE,,,,TRUE,,,,,,,,,,,,,,
433,gily1242,Nivkh,,TRUE,,TRUE,TRUE,,,,,,,,,,,,,TRUE,,,TRUE,,,TRUE,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,
193,east2379,Mparntwe Arrernte,,TRUE,,,,,,,,,TRUE,,,,,,,TRUE,,,,TRUE,,,,,,,,,,TRUE,,,,,,,TRUE,,TRUE,TRUE,,,,,,,,,,,,
25,nucl1235,Armenian (Eastern),,FALSE,TRUE,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,diga1241,Mishmi,,TRUE,,,,,,,,,,,,,,TRUE,TRUE,,,,TRUE,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
528,garo1247,Garo,,TRUE,,,,,,,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,darg1241,Dargi (Kubachi),TRUE,,TRUE,,,,,FALSE,,,,,FALSE,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,
355,soma1255,Somali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420,yima1243,Yimas,,,FALSE,,,,,,,,TRUE,,FALSE,,,,TRUE,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,
481,svan1243,Svan,TRUE,,TRUE,,,,,,,,TRUE,,FALSE,,,,,,,,TRUE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406,wash1253,Washo,TRUE,TRUE,,,,,,,,TRUE,TRUE,,TRUE,,,,,,,,FALSE,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,osse1243,Ossetic,,FALSE,,TRUE,TRUE,,,,,,FALSE,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,kwak1269,Kwakwala,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
668,yecu1235,Totonac (Misantla),,,,,,,,,,,TRUE,,,,,,TRUE,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,nepa1254,Nepali,TRUE,TRUE,TRUE,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
225,lahu1253,Lahu,,FALSE,,,,,,,,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,
722,nort2722,Qiang (Northern),,FALSE,,,,,,,,,TRUE,,,,,FALSE,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
629,chan1310,Chantyal,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
663,drun1238,Drung,,FALSE,FALSE,TRUE,,,,,,,,,TRUE,,,,,TRUE,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
725,ital1282,Italian,TRUE,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,furr1244,Fur,,FALSE,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,tosk1239,Albanian,,,,,,,,,,,FALSE,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
690,mana1288,Manange,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,
664,west2420,Kham,,FALSE,,TRUE,,,,,,,,TRUE,,,,TRUE,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
