LID,Glottocode,Language,HasHeadMarkingForA,HasHeadMarkingForP,HasHeadMarkingForPOSS,HasHeadMarkingForS,HasHeadMarkingForATTR,HasDependentMarkingForA,HasDependentMarkingForP,HasDependentMarkingForPOSS,HasDependentMarkingForS,HasDependentMarkingForATTR,HasHeadMarkingForSAndA,HasHeadMarkingForSOrA,HasHeadMarkingForAAndP,HasHeadMarkingForAOrP,HasDependentMarkingForSAndA,HasDependentMarkingForSOrA,HasDependentMarkingForAAndP,HasDependentMarkingForAOrP,LocusOfMarkingForUStim,LocusOfMarkingForADefault,LocusOfMarkingForSDefault,LocusOfMarkingForAct,LocusOfMarkingForUDefault,LocusOfMarkingForSDefaultIfOther,LocusOfMarkingForAExp,LocusOfMarkingForAAnim,LocusOfMarkingForTDefault,LocusOfMarkingForBDefault,LocusOfMarkingForGDefault,LocusOfMarkingForPat,LocusOfMarkingForUEmp,LocusOfMarkingForUDef,LocusOfMarkingForTDef,LocusOfMarkingForTEmp,LocusOfMarkingForUDefaultIfOther,LocusOfMarkingForBRec,LocusOfMarkingForBBen,LocusOfMarkingForLocative,LocusOfMarkingForIDefault,LocusOfMarkingForAPoss,LocusOfMarkingForURef,LocusOfMarkingForPOSSDefault,LocusOfMarkingForATTRDefault,LocusOfMarkingForPOSSDefaultIfOther,LocusOfMarkingForPOSSDefaultIfN,LocusOfMarkingForPOSSDefaultIfNAlien,LocusOfMarkingForPOSSDefaultIfPro,LocusOfMarkingForATTRDefaultIfOther,LocusOfMarkingForSDefaultIfPro,LocusOfMarkingForADefaultIfPro,LocusOfMarkingForUDefaultIfPro,LocusOfMarkingForPOSSDefaultIfNInal,LocusOfMarkingForSDefaultIfNOrPro,LocusOfMarkingForADefaultIfNOrPro,LocusOfMarkingForPOSSDefaultIfNOrPro,LocusOfMarkingForBDefaultIfOther,LocusOfMarkingForTDefaultIfOther,LocusOfMarkingForADefaultIfOther,LocusOfMarkingForBDefaultIfPro,LocusOfMarkingForUDefaultIfSAP,LocusOfMarkingForPOSSDefaultIf1PERS,LocusOfMarkingForSDefaultIfSAP,LocusOfMarkingForADefaultIfSAP,LocusOfMarkingForUDefaultIf1PERS,LocusOfMarkingForPOSSDefaultIfNKin,LocusOfMarkingForUDefaultIfN,LocusOfMarkingForUDefaultIfNAnim,LocusOfMarkingForADefaultIfN,LocusOfMarkingBinned5ForUStim,LocusOfMarkingBinned5ForADefault,LocusOfMarkingBinned5ForSDefault,LocusOfMarkingBinned5ForAct,LocusOfMarkingBinned5ForUDefault,LocusOfMarkingBinned5ForSDefaultIfOther,LocusOfMarkingBinned5ForAExp,LocusOfMarkingBinned5ForAAnim,LocusOfMarkingBinned5ForTDefault,LocusOfMarkingBinned5ForBDefault,LocusOfMarkingBinned5ForGDefault,LocusOfMarkingBinned5ForPat,LocusOfMarkingBinned5ForUEmp,LocusOfMarkingBinned5ForUDef,LocusOfMarkingBinned5ForTDef,LocusOfMarkingBinned5ForTEmp,LocusOfMarkingBinned5ForUDefaultIfOther,LocusOfMarkingBinned5ForBRec,LocusOfMarkingBinned5ForBBen,LocusOfMarkingBinned5ForLocative,LocusOfMarkingBinned5ForIDefault,LocusOfMarkingBinned5ForAPoss,LocusOfMarkingBinned5ForURef,LocusOfMarkingBinned5ForPOSSDefault,LocusOfMarkingBinned5ForATTRDefault,LocusOfMarkingBinned5ForPOSSDefaultIfOther,LocusOfMarkingBinned5ForPOSSDefaultIfN,LocusOfMarkingBinned5ForPOSSDefaultIfNAlien,LocusOfMarkingBinned5ForPOSSDefaultIfPro,LocusOfMarkingBinned5ForATTRDefaultIfOther,LocusOfMarkingBinned5ForSDefaultIfPro,LocusOfMarkingBinned5ForADefaultIfPro,LocusOfMarkingBinned5ForUDefaultIfPro,LocusOfMarkingBinned5ForPOSSDefaultIfNInal,LocusOfMarkingBinned5ForSDefaultIfNOrPro,LocusOfMarkingBinned5ForADefaultIfNOrPro,LocusOfMarkingBinned5ForPOSSDefaultIfNOrPro,LocusOfMarkingBinned5ForBDefaultIfOther,LocusOfMarkingBinned5ForTDefaultIfOther,LocusOfMarkingBinned5ForADefaultIfOther,LocusOfMarkingBinned5ForBDefaultIfPro,LocusOfMarkingBinned5ForUDefaultIfSAP,LocusOfMarkingBinned5ForPOSSDefaultIf1PERS,LocusOfMarkingBinned5ForSDefaultIfSAP,LocusOfMarkingBinned5ForADefaultIfSAP,LocusOfMarkingBinned5ForUDefaultIf1PERS,LocusOfMarkingBinned5ForPOSSDefaultIfNKin,LocusOfMarkingBinned5ForUDefaultIfN,LocusOfMarkingBinned5ForUDefaultIfNAnim,LocusOfMarkingBinned5ForADefaultIfN,LocusOfMarkingBinned6ForUStim,LocusOfMarkingBinned6ForADefault,LocusOfMarkingBinned6ForSDefault,LocusOfMarkingBinned6ForAct,LocusOfMarkingBinned6ForUDefault,LocusOfMarkingBinned6ForSDefaultIfOther,LocusOfMarkingBinned6ForAExp,LocusOfMarkingBinned6ForAAnim,LocusOfMarkingBinned6ForTDefault,LocusOfMarkingBinned6ForBDefault,LocusOfMarkingBinned6ForGDefault,LocusOfMarkingBinned6ForPat,LocusOfMarkingBinned6ForUEmp,LocusOfMarkingBinned6ForUDef,LocusOfMarkingBinned6ForTDef,LocusOfMarkingBinned6ForTEmp,LocusOfMarkingBinned6ForUDefaultIfOther,LocusOfMarkingBinned6ForBRec,LocusOfMarkingBinned6ForBBen,LocusOfMarkingBinned6ForLocative,LocusOfMarkingBinned6ForIDefault,LocusOfMarkingBinned6ForAPoss,LocusOfMarkingBinned6ForURef,LocusOfMarkingBinned6ForPOSSDefault,LocusOfMarkingBinned6ForATTRDefault,LocusOfMarkingBinned6ForPOSSDefaultIfOther,LocusOfMarkingBinned6ForPOSSDefaultIfN,LocusOfMarkingBinned6ForPOSSDefaultIfNAlien,LocusOfMarkingBinned6ForPOSSDefaultIfPro,LocusOfMarkingBinned6ForATTRDefaultIfOther,LocusOfMarkingBinned6ForSDefaultIfPro,LocusOfMarkingBinned6ForADefaultIfPro,LocusOfMarkingBinned6ForUDefaultIfPro,LocusOfMarkingBinned6ForPOSSDefaultIfNInal,LocusOfMarkingBinned6ForSDefaultIfNOrPro,LocusOfMarkingBinned6ForADefaultIfNOrPro,LocusOfMarkingBinned6ForPOSSDefaultIfNOrPro,LocusOfMarkingBinned6ForBDefaultIfOther,LocusOfMarkingBinned6ForTDefaultIfOther,LocusOfMarkingBinned6ForADefaultIfOther,LocusOfMarkingBinned6ForBDefaultIfPro,LocusOfMarkingBinned6ForUDefaultIfSAP,LocusOfMarkingBinned6ForPOSSDefaultIf1PERS,LocusOfMarkingBinned6ForSDefaultIfSAP,LocusOfMarkingBinned6ForADefaultIfSAP,LocusOfMarkingBinned6ForUDefaultIf1PERS,LocusOfMarkingBinned6ForPOSSDefaultIfNKin,LocusOfMarkingBinned6ForUDefaultIfN,LocusOfMarkingBinned6ForUDefaultIfNAnim,LocusOfMarkingBinned6ForADefaultIfN
110,icel1247,Icelandic,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,H+D,H+D,H+D,,D,,D,,D,D,,,,,,,,,,,,,,D,,,,,,,,,,D,,,,,,,,,,,,,,,,,2,2,2,,D,,D,,D,D,,,,,,,,,,,,,,D,,,,,,,,,,D,,,,,,,,,,,,,,,,,2,2,2,,D,,D,,D,D,,,,,,,,,,,,,,D,,,,,,,,,,D,,,,,,,,,,,,,,,,
111,ikkk1242,Ik,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,H+D,H+D,,D,,,,,,,,,,,,,,,,,,,D,,F+D,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,D,,,,,,,,,,,,,,,,,,,D,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,D,,,,,,,,,,,,,,,,,,,D,,2,,,,,,,,,,,,,,,,,,,,,,,,
112,imon1245,Imonda,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,H,H,,H+d,,,,,,,,,,,,,,,,,,,h+D,d,,,,,,,,,,,,,,,,,,,,,,,,,,,H,H,,H,,,,,,,,,,,,,,,,,,,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,H,H,,2,,,,,,,,,,,,,,,,,,,2,D,,,,,,,,,,,,,,,,,,,,,,,,,
113,ines1240,Ineseño,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,H,H,,H,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,H,,H,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,H,,H,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,,
114,ingu1240,Ingush,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,D,D,h+D,,h+D,D,D,,,,,,,,,,D,,,,,h+D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,D,D,,D,D,D,,,,,,,,,,D,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,D,2,,2,D,D,,,,,,,,,,D,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,itel1242,Itelmen,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,,H+D,,,H+D,,,,,H+D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,nucl1643,Japanese,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,,D,D,,D,,,,,D,,,,,,,,,,,,,,D,Ø,,,,,,,,,,,,,,,,,,,,,,,,,,,D,D,,D,,,,,D,,,,,,,,,,,,,,D,Ø,,,,,,,,,,,,,,,,,,,,,,,,,,,D,D,,D,,,,,D,,,,,,,,,,,,,,D,Ø,,,,,,,,,,,,,,,,,,,,,,,,,
119,jaqa1244,Jaqaru,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,H+D,H+D,,H+D,,,,,,,,,,,,,,,,,,,H+D,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,2,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,2,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
123,kanu1279,Kanuri,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,H+D,H+D,,H+d,,,,,D,,,,,,,h+D,,,,,,,D,,H,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,H,,,,,D,,,,,,,D,,,,,,,D,,H,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,2,,,,,D,,,,,,,2,,,,,,,D,,H,,,,,,,,,,,,,,,,,,,,,,,,
125,karo1304,Karok,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,H,H,,H,,,,,,,,,,,,,,,,,,,H,,,,,,Ø,,,,,,,,,,H+d,,,,,,,,,,,,H,H,,H,,,,,,,,,,,,,,,,,,,H,,,,,,Ø,,,,,,,,,,H,,,,,,,,,,,,H,H,,H,,,,,,,,,,,,,,,,,,,H,,,,,,Ø,,,,,,,,,,2,,,,,,,,,,
126,kate1253,Kâte,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,H+D,H+D,,H+D,,,,,,,,,,,,,,,,,,,H,,D,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,2,,,,,,,,,,,,,,,,,,,H,,D,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,2,,,,,,,,,,,,,,,,,,,H,,D,,,,,,,,,,,,,,,,,,,,,,,,
128,kaya1319,Kayardild,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,,D,D,,D,,,,D,D,,,,,,,,,,,,,,Dd,D,,,,,,,,,,,,,,,,,,,,,,,,,,,D,D,,D,,,,D,D,,,,,,,,,,,,,,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,D,D,,D,,,,D,D,,,,,,,,,,,,,,D,D,,,,,,,,,,,,,,,,,,,,,,,,,
129,kett1243,Ket,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,H,H,,H,,,,,D,,,,,,,,,,,,,,H,Ø,,,,,,,,,,,,,,,,,,,,,,,,,,,H,H,,H,,,,,D,,,,,,,,,,,,,,H,Ø,,,,,,,,,,,,,,,,,,,,,,,,,,,H,H,,H,,,,,D,,,,,,,,,,,,,,H,Ø,,,,,,,,,,,,,,,,,,,,,,,,,
130,west2599,Kewa,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,H+D,H+D,,D,,,,D,D,,,,,,,,,,,,,,D,Ø,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,D,,,,D,D,,,,,,,,,,,,,,D,Ø,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,D,,,,D,D,,,,,,,,,,,,,,D,Ø,,,,,,,,,,,,,,,,,,,,,,,,,
131,kima1246,Kimaama,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,Ø,Ø,,H,,,,,D,,,,,,,,,,,,,,D,Ø,,,,,,D,D,D,,,,,,,,,,,,,,,,,,,Ø,Ø,,H,,,,,D,,,,,,,,,,,,,,D,Ø,,,,,,D,D,D,,,,,,,,,,,,,,,,,,,Ø,Ø,,H,,,,,D,,,,,,,,,,,,,,D,Ø,,,,,,D,D,D,,,,,,,,,,,,,,,,,
132,kiow1266,Kiowa,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,H,H,,H,,,,h,H,,,,,,,,,,,,,,d on h,Ø,Ø,,,,,,,,,,,,,,,,,,,,,,,,,,H,H,,H,,,,H,H,,,,,,,,,,,,,,FloatingorClitic,Ø,Ø,,,,,,,,,,,,,,,,,,,,,,,,,,H,H,,H,,,,H,H,,,,,,,,,,,,,,D on H,Ø,Ø,,,,,,,,,,,,,,,,,,,,,,,,
133,kiri1256,Kirikiri,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,,D,Ø,,D,,,,,D,,,,,,,,,,,,,,Ø,Ø,,,,D,,,,,,,,,,,,,,,,,,,,,,,D,Ø,,D,,,,,D,,,,,,,,,,,,,,Ø,Ø,,,,D,,,,,,,,,,,,,,,,,,,,,,,D,Ø,,D,,,,,D,,,,,,,,,,,,,,Ø,Ø,,,,D,,,,,,,,,,,,,,,,,,,,,
134,nort2930,Kiwai,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,H,H,,H,,,,,D,,,,,,,,,,,,,,Ø,Ø,D,,,,,,,,,,,,,,,,,,,,,,,,,,H,H,,H,,,,,D,,,,,,,,,,,,,,Ø,Ø,D,,,,,,,,,,,,,,,,,,,,,,,,,,H,H,,H,,,,,D,,,,,,,,,,,,,,Ø,Ø,D,,,,,,,,,,,,,,,,,,,,,,,,
135,koas1236,Koasati,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,H+D,H+D,,H+D,,,,,H+D,,,,,,,,,,,,,,H,Ø,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,2,,,,,2,,,,,,,,,,,,,,H,Ø,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,2,,,,,2,,,,,,,,,,,,,,H,Ø,,,,,,,,,,,,,,,,,,,,,,,,,
136,kobo1249,Kobon,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,H,H,,Ø,,,,,D,,,,,,,,,,,,,,Ø,Ø,,,,,,,,D,,,,,,,,,,,,,,H,,,,,H,H,,Ø,,,,,D,,,,,,,,,,,,,,Ø,Ø,,,,,,,,D,,,,,,,,,,,,,,H,,,,,H,H,,Ø,,,,,D,,,,,,,,,,,,,,Ø,Ø,,,,,,,,D,,,,,,,,,,,,,,H,,,
138,komb1274,Kombai,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,H,H,,Ø,,,,,,,,,,,,,,,,,,,D,Ø,,,,H,,,,,,,,,,,,,,,,,,,,,,,H,H,,Ø,,,,,,,,,,,,,,,,,,,D,Ø,,,,H,,,,,,,,,,,,,,,,,,,,,,,H,H,,Ø,,,,,,,,,,,,,,,,,,,D,Ø,,,,H,,,,,,,,,,,,,,,,,,,,,
141,kore1280,Korean,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,,D,D,,D,,,,,D,,,,,,,,,,,,,,D,Ø,,,,,,,,,,,,,,,,,,,,,,,,,,,D,D,,D,,,,,D,,,,,,,,,,,,,,D,Ø,,,,,,,,,,,,,,,,,,,,,,,,,,,D,D,,D,,,,,D,,,,,,,,,,,,,,D,Ø,,,,,,,,,,,,,,,,,,,,,,,,,
146,kuii1253,Kui (Indonesia),FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,Ø,Ø,,H,,,,,Ø,,,,,,,,,,,,,,H,Ø,,,,,,H,H,,,,,,,,,,,,,,,,,,,,Ø,Ø,,H,,,,,Ø,,,,,,,,,,,,,,H,Ø,,,,,,H,H,,,,,,,,,,,,,,,,,,,,Ø,Ø,,H,,,,,Ø,,,,,,,,,,,,,,H,Ø,,,,,,H,H,,,,,,,,,,,,,,,,,,
147,kuna1268,Kunama,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,H+D,H+D,,D,,,,,D,,,,,,,,,,,,,,DD,,,Ø,,H,,,,H+D,,,,,,,,H+D,,,,,,,,,,,2,2,,D,,,,,D,,,,,,,,,,,,,,D,,,Ø,,H,,,,2,,,,,,,,2,,,,,,,,,,,2,2,,D,,,,,D,,,,,,,,,,,,,,D,,,Ø,,H,,,,2,,,,,,,,2,,,,,,,,,
148,kung1261,!Kung,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Ø,Ø,,Ø,H,,,,,,,,,,,H,,,,,,,Ø,,d on h,,,,,,,,,,,,,,,,,,,,,,,,,,Ø,Ø,,Ø,H,,,,,,,,,,,H,,,,,,,Ø,,FloatingorClitic,,,,,,,,,,,,,,,,,,,,,,,,,,Ø,Ø,,Ø,H,,,,,,,,,,,H,,,,,,,Ø,,D on H,,,,,,,,,,,,,,,,,,,,,,,,
149,goon1238,Kuniyanti,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,H+D,H+D,,H+D,,,,,,,,,,,,,,,,,,,D,Ø,,,,,,,,,H,,,,,,,,,,,,,,,,,,2,2,,2,,,,,,,,,,,,,,,,,,,D,Ø,,,,,,,,,H,,,,,,,,,,,,,,,,,,2,2,,2,,,,,,,,,,,,,,,,,,,D,Ø,,,,,,,,,H,,,,,,,,,,,,,,,,
150,kute1249,Kutenai,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,H,H,,H+d,,,,,,,,,,,,,,,,,,,H,D,,,,,,,,,,,,,,,,,,,,,,,,,,,H,H,,H,,,,,,,,,,,,,,,,,,,H,D,,,,,,,,,,,,,,,,,,,,,,,,,,,H,H,,2,,,,,,,,,,,,,,,,,,,H,D,,,,,,,,,,,,,,,,,,,,,,,,,
154,haka1240,Hakka Lai,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,H+D,H+D,,H+D,,,,D,H+D,,,,,,,,,,,,,,Ø,,,,,H,,,,,,,,,,,,,,,,,,,,,,,2,2,,2,,,,D,2,,,,,,,,,,,,,,Ø,,,,,H,,,,,,,,,,,,,,,,,,,,,,,2,2,,2,,,,D,2,,,,,,,,,,,,,,Ø,,,,,H,,,,,,,,,,,,,,,,,,,,,
156,lako1247,Lakhota,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,H,H,,H,,,,,,,,,,,,,,,,,,,H,Ø,,,,,,,,,,,,,,,,,,,,,,,,,,,H,H,,H,,,,,,,,,,,,,,,,,,,H,Ø,,,,,,,,,,,,,,,,,,,,,,,,,,,H,H,,H,,,,,,,,,,,,,,,,,,,H,Ø,,,,,,,,,,,,,,,,,,,,,,,,,
157,lama1277,Lamaholot,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Ø,Ø,,Ø,,,,,Ø,,,,,,,,,,,,,,Ø,Ø,,,,,,H,H,,,,,,,,,,,,,,,,,,,,Ø,Ø,,Ø,,,,,Ø,,,,,,,,,,,,,,Ø,Ø,,,,,,H,H,,,,,,,,,,,,,,,,,,,,Ø,Ø,,Ø,,,,,Ø,,,,,,,,,,,,,,Ø,Ø,,,,,,H,H,,,,,,,,,,,,,,,,,,
159,lang1324,Lango,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,H,H,,h,,,,,,,,,,,,,,,,,,,H,H+D,,,,,,,,,,,,,,,,,,,,,,,,,,,H,H,,H,,,,,,,,,,,,,,,,,,,H,2,,,,,,,,,,,,,,,,,,,,,,,,,,,H,H,,H,,,,,,,,,,,,,,,,,,,H,2,,,,,,,,,,,,,,,,,,,,,,,,,
162,lezg1247,Lezgi,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,,D,D,,D,,,,,D,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,D,,D,,,,,D,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,D,,D,,,,,D,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,
163,lugb1240,Logbara,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,,D,D,,Ø,Ø,,,,D,,,,,,,,,,,,,,D,DD,,,,,,,,,,,,,,,Ø,,,,,,,,,,,,D,D,,Ø,Ø,,,,D,,,,,,,,,,,,,,D,D,,,,,,,,,,,,,,,Ø,,,,,,,,,,,,D,D,,Ø,Ø,,,,D,,,,,,,,,,,,,,D,D,,,,,,,,,,,,,,,Ø,,,,,,,,,,
165,gand1255,Luganda,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,H,H,,H,,,,,H,,,,,,,Ø,,,,,,,DD,D,,,,,,,,,,,,,,,,,,,,,,H,,,,,H,H,,H,,,,,H,,,,,,,Ø,,,,,,,D,D,,,,,,,,,,,,,,,,,,,,,,H,,,,,H,H,,H,,,,,H,,,,,,,Ø,,,,,,,D,D,,,,,,,,,,,,,,,,,,,,,,H,,,
167,masa1300,Maa,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,H+D,H+D,,h+D,,,,,,,,,,,,,,,,,,,H+D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,D,,,,,,,,,,,,,,,,,,,2,D,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,2,,,,,,,,,,,,,,,,,,,2,D,,,,,,,,,,,,,,,,,,,,,,,,,
168,nort2952,Maidu (Northeast),TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,H+D,H+D,,D,,,,,,,,,,,,,,,,,,,D,,H,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,D,,,,,,,,,,,,,,,,,,,D,,H,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,D,,,,,,,,,,,,,,,,,,,D,,H,,,,,,,,,,,,,,,,,,,,,,,,
169,mait1250,Maithili,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,H+D,H+D,H+D,,D,,H+D,,D,D,,,h+D,,,h+D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,D,,2,,D,D,,,D,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,D,,2,,D,D,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
