LID,Glottocode,Language,MarkerPositionForTAMPlus,MarkerPositionForOperators,MarkerPositionForValence,MarkerPositionForInterClausal,MarkerPositionForOther,MarkerPositionForPragmatic,MarkerPositionForNumber,MarkerPositionForEvidential,MarkerPositionForNPRelated,MarkerPositionForClassification,MarkerPositionForEventSpecs,MarkerPositionForRole
368,tawa1275,Tawala,prae/prae/prae,,,,,post/post/post/post,,,post,,,
68,djin1251,Djingili,post,,prae,,prae,post,,,,,,
2196,narp1239,Nar-Phu,post/post,prae,,,,,,,,,,
2871,nort2732,Northern Tujia,,prae/post,,,,post,,,,,,
1765,pwoe1235,Karen (Pwo),prae,,,,,,,,,,,
1889,lisu1250,Lisu,,prae,,,,,,,,,,
2873,bant1281,Bantawa,post/post/post,circum,,,,,,,,,,
3032,aton1241,Atong,post/post,post,,,,,,,,,,
1004,gahr1239,Bunan,post/post,prae,post/post,,,,,post,,,,
1130,chep1245,Chepang,post/post,,,,,,,,,,,
3326,situ1238,Jiǎomùzú,prae/prae,,,,,prae,,,,,,
2217,nung1282,Anong,post/post/prae/in/post,,,,,prae,,,,,,prae
767,galo1242,Gallong,post/post/post/post,post,,,,,,post,,,,
2563,than1259,Thangmi,,,,,,,,,,,,
3298,mong1332,Mongsen Khari,post,prae,,,,,,,,,,
1317,dhim1246,Dhimal,post,prae,,,,,,,,,,
3318,kurt1248,Kurtokha,post/post,post,,,,,,post,,,,
735,raji1240,Raji,post/post/post,post,,,,,,,,,,
2186,tang1336,Naga (Tangkhul),post,post,,,,,,,,,,
1376,tase1235,Jugli,in/post,post,,,,,,,,,,
2662,yaku1245,Yakut,post,post,post/post,,,post,post,,,,,
18,aleu1260,Aleut,post/post,,post/post,,,post/post,post/post,post,,,,
2657,udih1248,Udihe,post,,post/post,,,,,,,,,
730,thak1245,Thakali,post,,,,,,,,,,,
1480,esto1258,Estonian,post/post,post,post/post,,,,,post,,,,
3301,yong1270,Yongning Na,,prae,,,,,,,,,,
1388,darm1243,Darmiya,post,prae,post,,,,,,,,,
709,kild1236,Saami (Kildin),post/post,prae,post,,,,,,,,,
3006,shek1245,Sheko,post/post,,post/post,,,post,,,,,,
3173,sida1246,Sidaama,post,prae,post/post,,,post,,,,,,
2936,phal1254,Palula,post/post,,,,,,,,,,,
701,sout2674,Saami (South),post,,post,,,,,,,,,
703,pite1240,Saami (Pite),,post,post,,,,,,,,,
628,byan1241,Byangsi,post/post,post,post/post,,,,,post,,,,
838,amdo1237,Amdo,in/post/post/post,prae,,,,in,,,,,,
1775,kulu1253,Kulung,post/post/post/post,prae,,,,,,,,,,
1778,khal1275,Khaling,post/post/post,prae,,,,,,,,,,
3272,zaiw1241,Zaiwa,post,prae,,,,,,,,,,
786,rong1264,Rongpo,post,prae,post/post,,,,,,,,,
1914,lush1249,Mizo (Lushai),post,post,,,,in/prae,,,,,,
2824,clas1254,Tibetan (Classical),in/post/post,prae/post,,,,in,,,,,,
667,thul1246,Thulung (Mukli),post/post/post,prae,,,,,,,post,,,
3331,guan1266,Khroskyabs,prae/prae/prae/prae,prae,,,,prae,,,,,,
2862,chhi1245,Chintang,post/post/post,post,post,,,,,,,,,
