LID,Glottocode,Language,NPHasAgreement,NPHasConstructMarkers,NPHasGovernment,NPHasOvertMarking,NPHasAdjAgreement,NPHasAdjConstructMarkers,NPHasAdjGovernment,NPHasAdjOvertMarking
405,wand1263,Warndarang,,,,,FALSE,FALSE,FALSE,FALSE
407,wask1241,Waskia,,,,,FALSE,FALSE,FALSE,FALSE
408,west2443,Wemba Wemba,,,,TRUE,FALSE,FALSE,FALSE,FALSE
413,khin1240,Xinalug,,,,FALSE,,,,FALSE
414,yagu1244,Yagua,TRUE,,,TRUE,,,,FALSE
415,nini1235,retire_Yali,,,,,FALSE,FALSE,FALSE,FALSE
419,yess1239,Yessan-Mayo,,,,,FALSE,FALSE,FALSE,FALSE
420,yima1243,Yimas,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
421,yoru1245,Yoruba,,TRUE,TRUE,TRUE,,,,FALSE
422,yuch1247,Yuchi,TRUE,,,TRUE,,,,FALSE
423,nort2745,Yukagir (Tundra),,TRUE,TRUE,TRUE,,TRUE,,TRUE
424,gang1267,Yukulta,,,,,FALSE,FALSE,FALSE,FALSE
428,yuro1248,Yurok,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
429,zuni1245,Zuni,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
432,coos1249,Hanis (Coos),TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
433,gily1242,Nivkh,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
435,iris1253,Irish,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
438,maib1239,Maybrat,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
440,naas1242,Nasioi,,TRUE,,TRUE,,TRUE,,TRUE
443,koyr1240,Songhai (Koyra Chiini),,TRUE,TRUE,TRUE,,TRUE,,TRUE
454,rama1270,Rama,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
455,cent2127,Yup’ik (Central),TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
456,west2369,Persian,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
458,adyg1241,Adyghe (West Circassian),,,,,,,,
461,onei1249,Oneida,,,,FALSE,,,,FALSE
463,nucl1310,Burmese,,,TRUE,TRUE,,,,TRUE
464,mode1248,Greek (modern),TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
466,sang1328,Sango,,,TRUE,TRUE,,,,FALSE
469,awac1239,Awa Pit,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
