LID,Glottocode,Language,MarkerPositionForADefault,MarkerPositionForUDefault,MarkerPositionForSDefault,MarkerPositionForBDefault,MarkerPositionForPOSSDefault,MarkerPositionForARGNom,MarkerPositionForOAdp,MarkerPositionForAFF,MarkerPositionForTDefault,MarkerPositionForIDefault,MarkerPositionForGDefault,MarkerPositionForCore,MarkerPositionForPat,MarkerPositionForUBDefault
2893,lati1261,Latin,post,,,,,,,,,,,,,
1395,vlax1238,Romani (Vlax),post,,,,,,,,,,,,,
3213,oldi1245,Irish (Old),post,prae/post,,prae/post,,,,,,,,,,
1440,dutc1256,Dutch,post,,,,,,,,,,,,,
710,faro1244,Faroese,post,,,,,,,,,,,,,
1399,dara1250,Darai,post,post,,post,,,,,,,,,,
2987,jams1239,Dogon (Jamsay),post,,,,,,,,,,,,,
3239,atin1240,Laz (Pazar),prae/post,prae,,,,,,,,,,,,
1203,cupe1243,Cupeño,prae/post,,,,,,,,,,,,prae/post,
689,lowl1265,Rarámuri,post,,,,,,,,,,,,,
3313,tang1334,Tangut,in,post,,post,,,,,,,,,,
2020,karb1241,Mikir,,prae,,prae,,,,,,,,,,
688,cora1260,Cora,prae,prae,,,,,,,,,,,,
368,tawa1275,Tawala,prae,post,,,,,,,,,,,,
68,djin1251,Djingili,prae,prae,,,,,,,,,,,,
2873,bant1281,Bantawa,prae/post,prae,,,,,,,,,,,,
1004,gahr1239,Bunan,post,post,,,,,,,,,,,,
1130,chep1245,Chepang,post,,,,,,,,,,,,,post
3326,situ1238,Jiǎomùzú,prae,post,,,,,,,,,,,,
2217,nung1282,Anong,prae/post/circum,prae/post/circum,,,,,,,,,,,,
2563,than1259,Thangmi,post,post,,,,,,,,,,,,
1317,dhim1246,Dhimal,post,post,,,,,,,,,,,,
735,raji1240,Raji,post,post,,,,,,,,,,,,
1376,tase1235,Jugli,post,post,,,,,,,,,,,,
2662,yaku1245,Yakut,post,,,,,,,,,,,,,
18,aleu1260,Aleut,post,post,,,,,,,,,,,,
2657,udih1248,Udihe,post,,,,,,,,,,,,,
1480,esto1258,Estonian,prae,,,,,,,,,,,,,
1388,darm1243,Darmiya,post,,,,,,,,,,,,,
709,kild1236,Saami (Kildin),prae,,,,,,,,,,,,,
3006,shek1245,Sheko,prae/post,,,,,,,,,,,,,
