LID,Glottocode,Language,AccDegreeForAgreement,AccDegreeForCase,AccDegreeForMarkerAgreement,ErgDegreeForAgreement,ErgDegreeForCase,ErgDegreeForMarkerAgreement,AccDegreeBinnedForAgreement,AccDegreeBinnedForCase,AccDegreeBinnedForMarkerAgreement,ErgDegreeBinnedForAgreement,ErgDegreeBinnedForCase,ErgDegreeBinnedForMarkerAgreement,DominantAlignment2ForAgreement,DominantAlignment2ForCase,DominantAlignment2ForMarkerAgreement,DominantAlignment3ForAgreement,DominantAlignment3ForCase,DominantAlignment3ForMarkerAgreement,DominantAlignmentPTGForAgreement,DominantAlignmentPTGForCase,DominantAlignmentPTGForMarkerAgreement,HasReferenceConditionedSplitsForAgreement,HasReferenceConditionedSplitsForCase,HasReferenceConditionedSplitsForMarkerAgreement,HasCategoryConditionedSplitsForAgreement,HasCategoryConditionedSplitsForCase,HasCategoryConditionedSplitsForMarkerAgreement,HasClauseRankConditionedSplitsForAgreement,HasClauseRankConditionedSplitsForCase,HasClauseRankConditionedSplitsForMarkerAgreement,HasPolarityConditionedSplitsForAgreement,HasPolarityConditionedSplitsForCase,HasPolarityConditionedSplitsForMarkerAgreement
25,nucl1235,Armenian (Eastern),1,0.8,0.9166666666666666,0,0,0,high,high,high,low,low,low,S=Atr≠P,S=Atr≠P,S=Atr≠P,S=Atr=Aditr≠P=T=G,S=Atr=Aditr≠P=T=G,,P=T=G,P=T=G,,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
26,casu1237,Asmat,0,0,0.9,0,0,0,low,low,high,low,low,low,S=Atr=P,S=Atr=P,S=Atr≠P,,,,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
27,atak1252,Atakapa,0,0,0.8333333333333334,0,0,0,low,low,high,low,low,low,S=Atr=P,S=Atr=P,S=Atr≠P,,,,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
28,awtu1239,Awtuw,1,,0.5,0,,0,high,,medium,low,,low,S=Atr≠P,,mixed,S=Atr=Aditr≠P=T=G,,,P=T=G,,,FALSE,,TRUE,FALSE,,FALSE,FALSE,,FALSE,FALSE,,FALSE
29,asha1243,Axininca Campa,1,0,,0,0,,high,low,,low,low,,S=Atr≠P,S=Atr=P,,,,,,,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,
31,nucl1630,Barai,0,0,,0,0,,low,low,,low,low,,Atr≠P,S=Atr=P,,,S=Atr=Aditr=P=T=G,,,P=T=G,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,
32,basq1248,Basque,,0,,,1,,,low,,,high,,,S=P≠Atr,,,S=P=T≠Atr=Aditr≠G,,,P=T≠G,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
34,beja1238,Beja,1,1,,0,0,,high,high,,low,low,,S=Atr≠P,S=Atr≠P,,,,,,,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,
35,belh1239,Belhare,0,0,0.24247921390778535,0,0.8888888888888888,0.09236583522297807,low,low,low,low,high,low,S=Atr=P,S=P≠Atr,S=Atr=P,S=Atr=Aditr=P=G≠T,S=P=T=G≠Atr=Aditr,,P=G≠T,P=T=G,,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
36,beri1254,Berik,,1,,,0,,,high,,,low,,,S=Atr≠P,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
38,kuni1265,Boazi,,0,,,0,,,low,,,low,,,S=Atr=P,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
45,cash1254,Cashinahua,1,0.5,1,0,0.5,0,high,medium,high,low,medium,low,S=Atr≠P,mixed,S=Atr≠P,S=Atr=Aditr≠P=T=G,mixed,,P=T=G,P=T=G,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
47,cayu1262,Cayuvava,,0,,,0,,,low,,,low,,,S=Atr=P,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
48,cham1312,Chamorro,1,,,0,,,high,,,low,,,S=Atr≠P,,,,,,,,,FALSE,,,TRUE,,,FALSE,,,FALSE,,
49,chec1245,Chechen,0,0,,1,0.5,,low,low,,high,medium,,S=P≠Atr,mixed,,S=P=T≠Atr=Aditr=G,mixed,,P=T≠G,P=T≠G,,FALSE,FALSE,,FALSE,TRUE,,FALSE,FALSE,,FALSE,FALSE,
50,chic1272,Chichimec,0,0,1,0,0,0,low,low,high,low,low,low,S=Atr=P,S=Atr=P,S=Atr≠P,S=Atr=Aditr=P=G≠T,,,P=G≠T,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
51,chim1301,Chimariko,0,0,,0,0,,low,low,,low,low,,S=Atr=P,S=Atr=P,,,S=Atr=Aditr=P=T=G,,,P=T=G,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,
53,chit1248,Chitimacha,,0,,,0,,,low,,,low,,,S=Atr=P,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
54,choc1276,Choctaw,,1,,,0,,,high,,,low,,,S=Atr≠P,,,S=Atr=Aditr≠P=T=G,,,P=T=G,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
56,chuk1273,Chukchi,,0,,,1,,,low,,,high,,,S=P≠Atr,,,S=P=T≠Atr=Aditr≠G,,,P=T≠G,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
57,chuv1255,Chuvash,1,0.6666666666666666,0.6111111111111112,0,0,0,high,medium,medium,low,low,low,S=Atr≠P,S=Atr≠P,S=Atr≠P,,,,,,,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
59,plai1258,Cree (Plains),0,0,,0,0,,low,low,,low,low,,S=Atr=P,S=Atr=P,,,,,,,,FALSE,TRUE,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,
61,lowe1415,Dani (Lower Grand Valley),,0,,,1,,,low,,,high,,,S=P≠Atr,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
63,kumi1248,Diegueño,,1,,,0,,,high,,,low,,,S=Atr≠P,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
65,dizi1235,Dizi,1,0.6666666666666666,,0,0,,high,medium,,low,low,,S=Atr≠P,S=Atr≠P,,,S=Atr=Aditr≠P=T≠G,,,P=T≠G,,FALSE,TRUE,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,
68,djin1251,Djingili,,0.5,,,1,,,medium,,,high,,,mixed,,,mixed,,,P=T≠G,,,TRUE,,,FALSE,,,FALSE,,,FALSE,
71,dyir1250,Dyirbal,,0.6,,,0.4,,,medium,,,medium,,,S=Atr≠P,,,S=Atr=Aditr≠P=T≠G,,,P=T≠G,,,TRUE,,,FALSE,,,FALSE,,,FALSE,
73,elam1244,Elamite,,0,,,0,,,low,,,low,,,S=Atr=P,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
74,stan1293,English,1,,1,0,,0,high,,high,low,,low,S=Atr≠P,,S=Atr≠P,S=Atr=Aditr≠P=T=G,,,P=T=G,,,FALSE,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,,FALSE
75,ewee1241,Ewe,,0.5,,,0,,,medium,,,low,,,mixed,,,mixed,,,P=T=G,,,TRUE,,,FALSE,,,FALSE,,,FALSE,
78,finn1318,Finnish,1,0.6666666666666666,,0,0,,high,medium,,low,low,,S=Atr≠P,S=Atr≠P,,S=Atr=Aditr≠P=T=G,S=Atr=Aditr≠P=T≠G,,P=T=G,P=T≠G,,FALSE,TRUE,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,
79,stan1290,French (colloquial),1,0.4444444444444444,1,0,0,0,high,medium,high,low,low,low,S=Atr≠P,S=Atr=P,S=Atr≠P,S=Atr=Aditr≠P=T=G,,,P=T=G,,,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
81,furr1244,Fur,1,,,0,,,high,,,low,,,S=Atr≠P,,,S=Atr=Aditr≠P=T=G,,,P=T=G,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,
84,gara1269,Garrwa,,0.5,,,0.5,,,medium,,,medium,,,mixed,,,,,,,,,TRUE,,,FALSE,,,FALSE,,,FALSE,
85,gbay1287,Gbeya,,0.5,,,0,,,medium,,,low,,,mixed,,,,,,,,,TRUE,,,FALSE,,,FALSE,,,FALSE,
87,stan1295,German,,0.5,,,0,,,medium,,,low,,,mixed,,,S=Atr=Aditr=P=T≠G,,,P=T≠G,,,TRUE,,,FALSE,,,FALSE,,,FALSE,
88,gitx1241,Gitksan,,0,,,0.6666666666666666,,,low,,,medium,,,S=P≠Atr,,,,,,,,,TRUE,,,FALSE,,,FALSE,,,FALSE,
89,para1311,Guaraní (Paraguayan),1,0,1,0,0,0.7105263157894737,high,low,high,low,low,high,S=Atr≠P,S=Atr=P,mixed,,,,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
90,ngab1239,Guaymí,,1,,,0,,,high,,,low,,,S=Atr≠P,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
91,gumu1244,Gumuz,1,,,0,,,high,,,low,,,S=Atr≠P,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,
93,gunw1252,Gunwinggu,0,0,,0,0,,low,low,,low,low,,S=Atr=P,S=Atr=P,,,,,,,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,
98,haus1257,Hausa,,0,,,0,,,low,,,low,,,S=Atr=P,,,S=Atr=Aditr=P=T≠G,,,P=T≠G,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
99,hind1269,Hindi,0.5,0.8333333333333334,0.875,0.5,0.25,0.5,medium,high,high,medium,low,medium,mixed,S=Atr≠P,S=Atr≠P,mixed,S=Atr=Aditr≠P=G≠T,,mixed,P=G≠T,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
100,hitt1242,Hittite,1,0.6666666666666666,,0,0.3333333333333333,,high,medium,,low,low,,S=Atr≠P,S=Atr≠P,,S=Atr=Aditr≠P=T=G,S=Atr=Aditr≠P=T≠G,,P=T=G,P=T≠G,,FALSE,TRUE,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,
101,hixk1239,Hixkaryana,0,0,,0,0,,low,low,,low,low,,S=Atr=P,S=Atr=P,,,S=Atr=Aditr=P=T≠G,,,P=T≠G,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,
103,yaga1260,Hua,0,0,0.8333333333333334,0,1,0,low,low,high,low,high,low,S=Atr=P,S=P≠Atr,S=Atr≠P,S=Atr=Aditr=P=G≠T,S=P=T=G≠Atr=Aditr,,P=G≠T,P=T=G,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
104,hual1241,Quechua (Huallaga),0,1,,0,0,,low,high,,low,low,,S=Atr=P,S=Atr≠P,,S=Atr=Aditr=P=G≠T,S=Atr=Aditr≠P=T=G,,P=G≠T,P=T=G,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,
106,sand1278,Huave,1,0,0.42857142857142855,0,0,0,high,low,medium,low,low,low,S=Atr≠P,S=Atr=P,S=Atr=P,,,,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
107,hung1274,Hungarian,,1,,,0,,,high,,,low,,,S=Atr≠P,,,S=Atr=Aditr≠P=T≠G,,,P=T≠G,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
108,hurr1240,Hurrian,0,0,,0,1,,low,low,,low,high,,Atr≠P,S=P≠Atr,,,,,,,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,
109,iauu1242,Iau,,0,,,0,,,low,,,low,,,S=Atr=P,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
110,icel1247,Icelandic,1,0.5833333333333334,,0,0,,high,medium,,low,low,,S=Atr≠P,S=Atr≠P,,S=Atr=Aditr≠P=T=G,S=Atr=Aditr≠P=T≠G,,P=T=G,P=T≠G,,FALSE,TRUE,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,
111,ikkk1242,Ik,1,,1,0,,0,high,,high,low,,low,S=Atr≠P,,S=Atr≠P,S=Atr=Aditr≠P=T=G,,,P=T=G,,,FALSE,,TRUE,FALSE,,FALSE,FALSE,,FALSE,FALSE,,FALSE
112,imon1245,Imonda,,0.7,,,0,,,high,,,low,,,S=Atr≠P,,,S=Atr=Aditr≠P=T=G,,,P=T=G,,,TRUE,,,FALSE,,,FALSE,,,FALSE,
113,ines1240,Ineseño,0,0,0.6388888888888888,0,0,0,low,low,medium,low,low,low,S=Atr=P,S=Atr=P,S=Atr≠P,S=Atr=Aditr=P=G≠T,S=Atr=Aditr=P=T=G,,P=G≠T,P=T=G,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
116,itel1242,Itelmen,,0,,,0,,,low,,,low,,,S=Atr=P,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
118,nucl1643,Japanese,1,1,,0,0,,high,high,,low,low,,S=Atr≠P,S=Atr≠P,,S=Atr=Aditr≠P=T=G,S=Atr=Aditr≠P=T≠G,,P=T=G,P=T≠G,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,
123,kanu1279,Kanuri,,1,,,0,,,high,,,low,,,S=Atr≠P,,,S=Atr=Aditr≠P=T≠G,,,P=T≠G,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
124,kara1465,Karachay-Balkar,,0.6666666666666666,,,0,,,medium,,,low,,,S=Atr≠P,,,,,,,,,TRUE,,,FALSE,,,FALSE,,,FALSE,
125,karo1304,Karok,0,0,0.9411764705882353,0,0,0.6029411764705882,low,low,high,low,low,medium,S=Atr=P,S=Atr=P,S=Atr≠P,,S=Atr=Aditr=P=T=G,,,P=T=G,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
126,kate1253,Kâte,1,,,0,,,high,,,low,,,S=Atr≠P,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,
129,kett1243,Ket,,0,,,0,,,low,,,low,,,S=Atr=P,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
130,west2599,Kewa,1,0,,0,1,,high,low,,low,high,,S=Atr≠P,S=P≠Atr,,S=Atr=Aditr≠P=T=G,S=P=T=G≠Atr=Aditr,,P=T=G,P=T=G,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,
134,nort2930,Kiwai,,0,,,0,,,low,,,low,,,S=Atr=P,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
136,kobo1249,Kobon,1,0.5,,0,0,,high,medium,,low,low,,S=Atr≠P,mixed,,S=Atr=Aditr≠P=T=G,mixed,,P=T=G,P=T=G,,FALSE,TRUE,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,
138,komb1274,Kombai,1,0,,0,0,,high,low,,low,low,,S=Atr≠P,S=Atr=P,,S=Atr=Aditr≠P=T=G,,,P=T=G,,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,
139,komi1268,Komi (Zyrian),1,0.6666666666666666,,0,0,,high,medium,,low,low,,S=Atr≠P,S=Atr≠P,,S=Atr=Aditr≠P=T=G,S=Atr=Aditr=T≠P≠G,,P=T=G,P≠T≠G,,FALSE,TRUE,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,
140,rapo1238,Konua,,0,,,0,,,low,,,low,,,S=Atr=P,,,S=Atr=Aditr=P=T=G,,,P=T=G,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
141,kore1280,Korean,1,1,,0,0,,high,high,,low,low,,S=Atr≠P,S=Atr≠P,,S=Atr=Aditr≠P=T=G,S=Atr=Aditr≠P=T≠G,,P=T=G,P=T≠G,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,
142,kota1263,Kota,,0.6666666666666666,,,0,,,medium,,,low,,,S=Atr≠P,,,S=Atr=Aditr≠P=T≠G,,,P=T≠G,,,TRUE,,,FALSE,,,FALSE,,,FALSE,
144,koyr1242,Koroboro Senni,,0,,,0,,,low,,,low,,,S=Atr=P,,,S=Atr=Aditr=P=T≠G,,,P=T≠G,,,TRUE,,,FALSE,,,FALSE,,,FALSE,
147,kuna1268,Kunama,0,1,,0,0,,low,high,,low,low,,S=Atr=P,S=Atr≠P,,,S=Atr=Aditr≠P=T=G,,,P=T=G,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,
148,kung1261,!Kung,,0,,,0,,,low,,,low,,,S=Atr=P,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
149,goon1238,Kuniyanti,,0,,,1,,,low,,,high,,,S=P≠Atr,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
150,kute1249,Kutenai,,0.4,,,0,,,medium,,,low,,,S=Atr=P,,,,,,,,,TRUE,,,FALSE,,,FALSE,,,FALSE,
154,haka1240,Hakka Lai,,0,,,1,,,low,,,high,,,S=P≠Atr,,,S=P=T=G≠Atr=Aditr,,,P=T=G,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
155,lakk1252,Lak,0,0,,0,0.42857142857142855,,low,low,,low,medium,,S=Atr=P,S=Atr=P,,,,,,,,FALSE,TRUE,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,
156,lako1247,Lakhota,,0,,,0,,,low,,,low,,,S=Atr=P,,,S=Atr=Aditr=P=T=G,,,P=T=G,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
157,lama1277,Lamaholot,,0,,,0,,,low,,,low,,,S=Atr=P,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
159,lang1324,Lango,1,0.5,,0,0,,high,medium,,low,low,,S=Atr≠P,mixed,,S=Atr=Aditr≠P=T=G,mixed,,P=T=G,mixed,,FALSE,TRUE,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,
162,lezg1247,Lezgi,,0,,,1,,,low,,,high,,,S=P≠Atr,,,S=P=T≠Atr=Aditr≠G,,,P=T≠G,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
165,gand1255,Luganda,1,,,0,,,high,,,low,,,S=Atr≠P,,,S=Atr=Aditr≠P=T=G,,,P=T=G,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,
166,luis1253,Luiseño,,1,,,0,,,high,,,low,,,S=Atr≠P,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
167,masa1300,Maa,0,1,,0,0,,low,high,,low,low,,S=Atr=P,S=Atr≠P,,,,,,,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,
170,mull1237,Malak-Malak,0,0,1,0,1,0,low,low,high,low,high,low,S=Atr=P,S=P≠Atr,S=Atr≠P,S=Atr=Aditr=P=G≠T,S=P=T≠Atr=Aditr≠G,,P=G≠T,P=T≠G,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
171,mand1415,Mandarin,,0,,,0,,,low,,,low,,,S=Atr=P,,,S=Atr=Aditr=P=T=G,,,P=T=G,,,TRUE,,,FALSE,,,FALSE,,,FALSE,
172,mand1436,Mandinka,,0,,,0,,,low,,,low,,,S=Atr=P,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
173,mang1381,Mangarayi,,0.5,,,0.5,,,medium,,,medium,,,mixed,,,mixed,,,P=G≠T,,,TRUE,,,FALSE,,,FALSE,,,FALSE,
175,maor1246,Maori,,1,,,0,,,high,,,low,,,S=Atr≠P,,,S=Atr=Aditr≠P=T≠G,,,P=T≠G,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
176,mapu1245,Mapudungun,,0,,,0,,,low,,,low,,,S=Atr=P,,,S=Atr=Aditr=P=T=G,,,P=T=G,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
178,mari1424,Marrithiyel,1,,,0,,,high,,,low,,,S=Atr≠P,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,
179,mart1255,Martuthunira,,1,,,0,,,high,,,low,,,S=Atr≠P,,,S=Atr=Aditr≠P=T=G,,,P=T=G,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
181,maun1240,Mawng,0,0,0.10459183673469388,0,0,0.06207482993197279,low,low,low,low,low,low,S=Atr=P,S=Atr=P,S=Atr=P,,mixed,,,mixed,,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
182,caom1238,Cao Miao,,0,,,0,,,low,,,low,,,S=Atr=P,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
188,halh1238,Mongolian (Khalkha),,0.6666666666666666,,,0,,,medium,,,low,,,S=Atr≠P,,,S=Atr=Aditr≠P=T≠G,,,P=T≠G,,,TRUE,,,FALSE,,,FALSE,,,FALSE,
191,siwa1245,Motuna,0,,,0,,,low,,,low,,,S=Atr=P,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,
193,east2379,Mparntwe Arrernte,1,0.8,1,0,0.2,0,high,high,high,low,low,low,S=Atr≠P,S=Atr≠P,S=Atr≠P,S=Atr=Aditr≠P=T=G,S=Atr=Aditr≠P=T≠G,,P=T=G,P=T≠G,,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
197,naha1261,Nahali,,1,,,0,,,high,,,low,,,S=Atr≠P,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
198,naka1260,Nakkara,,0,,,0,,,low,,,low,,,S=Atr=P,,,S=Atr=Aditr=P=T=G,,,P=T=G,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
199,nama1264,Nama,1,1,,0,0,,high,high,,low,low,,S=Atr≠P,S=Atr≠P,,S=Atr=Aditr≠P=T=G,S=Atr=Aditr≠P=T=G,,P=T=G,P=T=G,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,
201,nana1257,Nanai,1,,1,0,,0,high,,high,low,,low,S=Atr≠P,,S=Atr≠P,S=Atr=Aditr≠P=T=G,,,P=T=G,,,FALSE,,TRUE,FALSE,,FALSE,FALSE,,FALSE,FALSE,,FALSE
206,nepa1254,Nepali,1,,,0,,,high,,,low,,,S=Atr≠P,,,S=Atr=Aditr≠P=T=G,,,P=T=G,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,
209,ngal1293,Ngalakan,,0,,,1,,,low,,,high,,,S=P≠Atr,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
210,wang1291,Ngiyambaa,,0.6,,,0.4,,,medium,,,medium,,,S=Atr≠P,,,S=Atr=Aditr≠P=T=G,,,P=T=G,,,TRUE,,,FALSE,,,FALSE,,,FALSE,
211,ngka1235,Ngkalmpw Knwme,,0,,,1,,,low,,,high,,,S=P≠Atr,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
