LID,Glottocode,Language,MarkerPositionBinned5ForTAM,MarkerPositionBinned5ForPolarity,MarkerPositionBinned5ForVoice,MarkerPositionBinned5ForMood,MarkerPositionBinned5ForValence,MarkerPositionBinned5ForAktionsart,MarkerPositionBinned5ForConnective,MarkerPositionBinned5ForSemistem,MarkerPositionBinned5ForReferential,MarkerPositionBinned5ForCausative,MarkerPositionBinned5ForAspect,MarkerPositionBinned5ForTM,MarkerPositionBinned5ForDeixis,MarkerPositionBinned5ForMSE,MarkerPositionBinned5ForQuantificational,MarkerPositionBinned5ForMA,MarkerPositionBinned5ForTense,MarkerPositionBinned5ForTA,MarkerPositionBinned5ForPotentialis,MarkerPositionBinned5ForApplicative,MarkerPositionBinned5ForNumber,MarkerPositionBinned5ForReflexiveAndReciprocal,MarkerPositionBinned5ForVersion,MarkerPositionBinned5ForIllocution,MarkerPositionBinned5ForMTN,MarkerPositionBinned5ForStatus,MarkerPositionBinned5ForEvidential,MarkerPositionBinned5ForConstruct,MarkerPositionBinned5ForNominalizer,MarkerPositionBinned5ForHonorificity,MarkerPositionBinned5ForFocus,MarkerPositionBinned5ForSwitchReference,MarkerPositionBinned5ForSymmetricalVoice,MarkerPositionBinned5ForRECIP,MarkerPositionBinned5ForTE,MarkerPositionBinned5ForReflexive,MarkerPositionBinned5ForClassifier,MarkerPositionBinned5ForME,MarkerPositionBinned5ForRepetition,MarkerPositionBinned5ForSpatial,MarkerPositionBinned5ForMotion,MarkerPositionBinned5ForModality,MarkerPositionBinned5ForDirection,MarkerPositionBinned5ForPosterior,MarkerPositionBinned5ForControl,MarkerPositionBinned5ForQuotative,MarkerPositionBinned5ForReversative,MarkerPositionBinned5ForAffect,MarkerPositionBinned5ForAE,MarkerPositionBinned5ForTAME,MarkerPositionBinned5ForConditional,MarkerPositionBinned5ForPossessor,MarkerPositionBinned5ForTAE,MarkerPositionBinned5ForTN
497,supy1237,Supyire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
501,mani1292,Meithei,,post,,post,,,,,,,post,,,,,,,,,,,,,,,,,,,,,,,,,,,post,,,,,,,,,,,,,,,,
576,wari1268,Wari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
463,nucl1310,Burmese,,prae,,post,,,,,,,post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
569,stan1288,Spanish,post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,stan1290,French (colloquial),post,prae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
498,mezq1235,Otomi (Mezquital),,prae,prae,,,,,,,,prae,,,,,,prae,,,,post,prae,,,,,,,,,multiple,,,,,,,,prae,,,,,,,,,,,,,,,
411,wasc1239,Wishram,,,,,,,,,,post,post,,prae,,post,,multiple,,,prae,,prae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,east2652,Oromo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
526,epen1239,Epena Pedee,,post,,post,,,,,,,post,,post,,,,post,,,,post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356,sout2985,Miwok (Southern Sierra),,,post,,,post,,,,,post,,,,,,post,,,,,,,,,,,,,,,,,post,,post,,,,,,,,,,,,,,,,,,
527,even1259,Evenki,,,post,,,,,,,post,post,post,,,,,,,,,post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,nene1249,Nenets (Tundra),,,,,,,,,post,post,,post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,abkh1244,Abkhaz,post,,,,,post,,prae,,prae,,,prae,,post,,split,,,prae,,,,post,,,,,,,,,,,,prae,,,,post,,,,,,,,,,,,,,
433,gily1242,Nivkh,,post,,post,post,,,,,,,,,,,,,post,,,post,,,post,,,,,,,post,,,,,,,,,,,,,,,,,,,,,,,
193,east2379,Mparntwe Arrernte,,post,,,,,,,,,post,,,,,,,post,,,,post,,,,,,,,,,post,,,,,,,post,,post,post,,,,,,,,,,,,
25,nucl1235,Armenian (Eastern),,prae,post,,,,,,,,,post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,diga1241,Mishmi,,post,,,,,,,,,,,,,,post,post,,,,post,,,,,,post,,,,,,,,,,,,,,,,,,,,,,,,,,,
528,garo1247,Garo,,post,,,,,,,,,,post,,,post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,darg1241,Dargi (Kubachi),post,in,post,,,,,prae,,,in,,prae,,,,,,,,,,,,,,post,,,,,,,,,,,,,,,,post,,,,,,,,,,,
355,soma1255,Somali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420,yima1243,Yimas,,,prae,,,,,,,,post,,prae,,,,post,,,,post,,,,,,,,,,,,,,,,,,,,,,,post,,,,,,,,,,
481,svan1243,Svan,post,,post,,,,,,,,post,,prae,,,,,,,,post,,prae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406,wash1253,Washo,post,post,,,,,,,,post,post,,post,,,,,,,,prae,,,post,,,post,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,osse1243,Ossetic,,prae,,post,split,,,,,,prae,,,,,,post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,kwak1269,Kwakwala,,,,,,,,,,,,,,,in,,post,,,,,,,,,post,,,,,,,,,,,,,,,,,,,,,,,,,,,,
668,yecu1235,Totonac (Misantla),,,,,,,,,,,post,,,,,,split,,,,,,,,,prae,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,nepa1254,Nepali,post,split,post,,,,,,,,post,,,,,,,,,,,,,,,,,,,post,,,,,,,,,,,,,,,,,,,,,,,,
225,lahu1253,Lahu,,prae,,,,,,,,,,,post,,,post,,,,,,,,,,,,,,,,,,post,,,,,,,,,,,,,,,,,,,,
722,nort2722,Qiang (Northern),,prae,,,,,,,,,post,,,,,prae,,post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
629,chan1310,Chantyal,post,prae,,,,,,,,,,,,,,,,,,,,,,post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
663,drun1238,Drung,,prae,prae,multiple,,,,,,,,,post,,,,,post,,,,,,,,,post,,,,,,,,,,,,,,,,,,,,,,,,,,,
725,ital1282,Italian,post,,,,,,,,,,,,,,,,,,,,,prae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,furr1244,Fur,,simul,,,,,,,,,post,split,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,tosk1239,Albanian,,,,,,,,,,,prae,,,split,,,split,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
690,mana1288,Manange,,prae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,post,,,,,,,,,,,,,,,,,,,,
664,west2420,Kham,,prae,,post,,,,,,,,post,,,,post,,,,,,,,prae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
674,limb1266,Limbu,,split,,post,,,,,,,post,,,,,,post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
723,kham1282,Tibetan (Dege),post,prae,,,,,,,,,,,,,,multiple,,,,,,,,post,,,,,,in,,,,,,,,,,,,,,,,,,,,,,,,
626,kinn1249,Kinnauri,,post,,,,,,,,,,,,,,,post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
685,klam1254,Klamath,,,,,,,,prae,,prae,post,,,,multiple,,,,,,,prae,,,,,,,,,,,,,,,,,,post,post,,,,,,,,,,,,,
223,sout2729,Pumi,,post,,,,prae,,,,,post,,post,,,,,,,,,,,prae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
468,east2773,Newar (Dolakha),,prae,,,post,,,,,,post,,,,,,post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
434,west2414,Gurung,post,prae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,mait1250,Maithili,,,,post,,,,,,,,,,,,,,post,,,,,,,,,,,,post,,,,,,,,,,,,,,,,,,,,,,,,
632,wayu1241,Hayu,,,,,,,,,,,,,,,,,post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
724,east2347,Tamang (Eastern),post,prae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,post,,,,,,,,,,,,
2826,darg1241,Dargi (standard),post,prae,post,,,,,prae,,,in,,prae,,,,,,,,,,,,,,post,,,,,,,,,,,,,,,,post,,,,,,,,,,,
677,swed1254,Swedish,,,post,,,,,,,,,post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
580,yidi1250,Yidiny,,,post,,,prae,,,,,,post,post,,,,,,,post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2779,yele1255,Yelî Dnye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,murr1258,Murrinh-patha,prae,,,,,,,,,,,,,,,,,post,,post,post,post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,nubi1251,Nubian (Dongolese),split,post,,,,,,,,,,,,,post,,,,,,,,,post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
387,tuvi1240,Tuva,,post,post,,,,,,,,,post,,,,,,,,,,post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
385,shos1248,Tümpisa Shoshone,post,post,,,,,,,,,multiple,,post,,split,,,,,,,,,,,post,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2944,rabh1238,Rabha,,post,,post,,,,,,,post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,marg1265,Margi,prae,post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1531,ghod1238,Godoberi,post,post,post,,,,post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2949,darg1241,Dargi (Icari),post,prae,post,,,,,prae,,,in,,prae,,,,,,,,post,,,,,,post,,,,,,,,,,,,,,,,post,,,,,,,,,,,
208,nezp1238,Nez Perce,,,,post,,,,,,prae,post,,,,prae,,post,,,,multiple,,,,,,,,,,,,,prae,,prae,,,,,,,,,,,,,,,,,,
192,movi1243,Movima,,,split,post,,,,,,post,,,,,split,,,,,post,,,,,,in,,,,,,,,,,,,,,,,post,,,,,,,,,,,,
392,urar1246,Urarina,,,multiple,,,,,,,post,post,,,,post,,,,,,post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
551,leal1235,Chinantec (Lealao),,,,,,,,,,,prae,,,,,,,,,,,,,,,,,,,,,,,,,,,,post,,,,,,,,,,,,,,,
50,chic1272,Chichimec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3101,assy1241,Neo-Aramaic (Barwar),split,prae,split,,,,,,,,,,,,,,,prae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2393,selk1253,Selkup,,,,,,,,,,post,simul,post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2564,thom1243,Thompson,,,post,post,,,,,,post,multiple,,,,,,,,,post,post,post,,,,,,,,,,,,,,,,,,,,,,,post,,,,,,,,,
678,bulg1262,Bulgarian,split,split,,split,,,,,,,split,,,,,,,,,,,,,,,,,,,,,,,,split,,,,,,,,,,,,,,,,,,,
2330,poli1260,Polish,,prae,post,,,,,,,,split,post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2447,slov1268,Slovene,,prae,,,,,,,,,split,post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
675,kaba1278,Circassian (East),,prae,,,,,,,,prae,,,prae,,,,post,,,,,,prae,post,,,post,,,,,,,prae,,prae,,,,,,prae,,,,,,,,,,,,
3229,,Torlak Serbian,split,split,,split,,,,,,,split,,,,,,,,,,,,,,,,,,,,,,,,split,,,,,,,,,,,,,,,,,,,
1890,lith1251,Lithuanian,,,,,,,,,,,,post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
549,latv1249,Latvian,,prae,,,,,,,,,prae,post,,,,,,,,,,post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
683,roma1327,Romanian,split,,,split,,,,,,,,,,,,,,,,,,split,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2471,croa1245,Serbian-Croatian,,,,,,,,,,,split,post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2412,seri1257,Seri,,prae,prae,prae,,,,,,prae,,,prae,,,,,,,,,,,prae,,,,,,,,post,,,,,,,,,,,,,,post,,,,,,,,
2984,mian1256,Mian,post,post,,post,,,,,,,post,,,,,,post,,,,,,,post,,post,,,,,,,,,,,,,,,,,,,,,,,,,,,,
656,koro1312,Korowai,,simul,,,,,,,,,multiple,,,,,,,,,,,,,,,post,,,,,,post,,,,,,,,,,,,,,,,,,,,,,
84,gara1269,Garrwa,,,,,,,,,,post,,,,,post,,,post,,,,,,post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
419,yess1239,Yessan-Mayo,,,,,,,,,,,post,,post,,multiple,,,post,,,,,,,,,,,,,prae,,,,,,,,,,,,,,,,,,,,,,,
1364,ngar1235,Bilinara,post,,,,,,,,,,post,,post,,in,,,,,,,,,post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
885,yane1238,Amuesha,,post,,,,,,,,multiple,,,post,,post,,,post,,post,,,,,post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
658,yany1243,Yanyuwa,post,,,,,,,,,,,,,,,,,,,,,prae,,prae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,dhuw1249,Djapu,post,,,,,,,,,post,,,,,prae,,,,,,,post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1772,gugu1255,Guugu Yimidhirr,post,,,,,,,,,,,post,,,,,,,,,,post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1363,nang1259,Ngan'gityemerri,post,,,,,,,,,,,,,,prae,,post,,,,multiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3240,ashe1272,Ashéninka Perené,,post,,,,,,,post,prae,,,,,post,,post,,,post,,,,,,multiple,post,,,,,,,,,,,,,,,,,,,,post,,,,,,,
352,shua1257,Shuar,,post,,post,,,,,,,,,,,,,post,,,post,,post,,,,,,,,,,post,,,,,,,,,,,,,,,,,,,,,,
2050,moco1246,Mocoví,,prae,prae,,,prae,,,,,,,,,,,,,,,post,,,,,,,,,,,,,,,,,,,post,,,,,,,,,,,,,,
426,yura1255,Yurakare,,,post,,,,,,,,multiple,,,post,post,,,,,prae,,prae,,,,,post,,,,,,,,,,,,,,post,,,,,,,,,,,,,
1385,sout2991,Quechua (Cochabamba),,,,,,post,,,,,,,post,,post,,,,,,,post,,,,,,,,,,,,,post,,,,,,,,,,,,,,,,,,,
326,paez1247,Paez,,post,,post,,,,,,,post,,,,,,post,,,,,,,,,post,,,,,,,,,,,,,,,,,,,,,,prae,,,,,,
2508,suab1238,Inanwatan,,post,,post,,,,,,,post,,,,,,post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2951,kara1500,Karajá,,post,prae,,prae,,,,,,,,prae,,,,,post,,,post,,,,,,,,,,,,,,,prae,,,,,,,,,,,,,,,,,,
2900,aves1237,Avestan,post,,,post,,,,,,post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726,wels1247,Welsh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2456,sinh1246,Sinhala,,,,post,,,post,,,in,,,,,,,post,,,,,,,,,,,,,,post,,,,,,,,,,,,,,,,,,,,,,,
1067,bret1244,Breton,,,,post,,,,,,,,,,,,,post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2832,goth1244,Gothic,,,,post,,,,,,in,,,,,,,post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2856,oldn1244,Old Norse,,split,,post,,,,,,,,,,,,,split,,,,,,,,,,,,,,,,,,,post,,,,,,,,,,,,,,,,,,
