LID,Glottocode,Language,MarkerHasPreposedExponentForADefault,MarkerHasPreposedExponentForUDefault,MarkerHasPreposedExponentForSDefault,MarkerHasPreposedExponentForBDefault,MarkerHasPreposedExponentForPOSSDefault,MarkerHasPreposedExponentForARGNom,MarkerHasPreposedExponentForOAdp,MarkerHasPreposedExponentForAFF,MarkerHasPreposedExponentForTDefault,MarkerHasPreposedExponentForIDefault,MarkerHasPreposedExponentForGDefault,MarkerHasPreposedExponentForCore,MarkerHasPreposedExponentForPat,MarkerHasPreposedExponentForUBDefault
3312,west2368,Balochi (Western),FALSE,,,,,,,,,,,,,
2716,uppe1395,Sorbian (Upper),FALSE,,,,,,,,,,,,,
2916,wakh1245,Wakhi,,,,,,,,,,,,,,
2893,lati1261,Latin,FALSE,,,,,,,,,,,,,
1395,vlax1238,Romani (Vlax),FALSE,,,,,,,,,,,,,
3213,oldi1245,Irish (Old),FALSE,TRUE,,TRUE,,,,,,,,,,
1440,dutc1256,Dutch,FALSE,,,,,,,,,,,,,
710,faro1244,Faroese,FALSE,,,,,,,,,,,,,
1399,dara1250,Darai,FALSE,FALSE,,FALSE,,,,,,,,,,
2987,jams1239,Dogon (Jamsay),FALSE,,,,,,,,,,,,,
3239,atin1240,Laz (Pazar),TRUE,TRUE,,,,,,,,,,,,
1203,cupe1243,Cupeño,TRUE,,,,,,,,,,,,TRUE,
689,lowl1265,Rarámuri,FALSE,,,,,,,,,,,,,
3313,tang1334,Tangut,FALSE,FALSE,,FALSE,,,,,,,,,,
2020,karb1241,Mikir,,TRUE,,TRUE,,,,,,,,,,
688,cora1260,Cora,TRUE,TRUE,,,,,,,,,,,,
368,tawa1275,Tawala,TRUE,FALSE,,,,,,,,,,,,
68,djin1251,Djingili,TRUE,TRUE,,,,,,,,,,,,
2873,bant1281,Bantawa,TRUE,TRUE,,,,,,,,,,,,
1004,gahr1239,Bunan,FALSE,FALSE,,,,,,,,,,,,
1130,chep1245,Chepang,FALSE,,,,,,,,,,,,,FALSE
3326,situ1238,Jiǎomùzú,TRUE,FALSE,,,,,,,,,,,,
2217,nung1282,Anong,TRUE,TRUE,,,,,,,,,,,,
2563,than1259,Thangmi,FALSE,FALSE,,,,,,,,,,,,
1317,dhim1246,Dhimal,FALSE,FALSE,,,,,,,,,,,,
735,raji1240,Raji,FALSE,FALSE,,,,,,,,,,,,
1376,tase1235,Jugli,FALSE,FALSE,,,,,,,,,,,,
2662,yaku1245,Yakut,FALSE,,,,,,,,,,,,,
18,aleu1260,Aleut,FALSE,FALSE,,,,,,,,,,,,
2657,udih1248,Udihe,FALSE,,,,,,,,,,,,,
1480,esto1258,Estonian,TRUE,,,,,,,,,,,,,
1388,darm1243,Darmiya,FALSE,,,,,,,,,,,,,
709,kild1236,Saami (Kildin),TRUE,,,,,,,,,,,,,
3006,shek1245,Sheko,TRUE,,,,,,,,,,,,,
3173,sida1246,Sidaama,FALSE,FALSE,,,,,,,,,,,,
2936,phal1254,Palula,FALSE,,,,,,,,,,,,,
701,sout2674,Saami (South),FALSE,,,,,,,,,,,,,
703,pite1240,Saami (Pite),FALSE,,,,,,,,,,,,,
628,byan1241,Byangsi,FALSE,,,,,,,,,,,,,
838,amdo1237,Amdo,FALSE,,,,,,,,,,,,,
1775,kulu1253,Kulung,FALSE,FALSE,,,,,,,,,,,,
1778,khal1275,Khaling,FALSE,FALSE,,,,,,,,,,,,
3272,zaiw1241,Zaiwa,FALSE,,,,,,,,,,,,,
786,rong1264,Rongpo,FALSE,,,,,,,,,,,,,
1914,lush1249,Mizo (Lushai),FALSE,FALSE,,,,,,,,,,,,
667,thul1246,Thulung (Mukli),FALSE,FALSE,,,,,,,,,,,,
3331,guan1266,Khroskyabs,TRUE,TRUE,,,,,,,,,,,,
2862,chhi1245,Chintang,TRUE,TRUE,,,,,,,,,,,,
