LID,Glottocode,Language,MarkerHasMultipleExponentsForTAM,MarkerHasMultipleExponentsForPolarity,MarkerHasMultipleExponentsForVoice,MarkerHasMultipleExponentsForMood,MarkerHasMultipleExponentsForValence,MarkerHasMultipleExponentsForAktionsart,MarkerHasMultipleExponentsForConnective,MarkerHasMultipleExponentsForSemistem,MarkerHasMultipleExponentsForReferential,MarkerHasMultipleExponentsForCausative,MarkerHasMultipleExponentsForAspect,MarkerHasMultipleExponentsForTM,MarkerHasMultipleExponentsForDeixis,MarkerHasMultipleExponentsForMSE,MarkerHasMultipleExponentsForQuantificational,MarkerHasMultipleExponentsForMA,MarkerHasMultipleExponentsForTense,MarkerHasMultipleExponentsForTA,MarkerHasMultipleExponentsForPotentialis,MarkerHasMultipleExponentsForApplicative,MarkerHasMultipleExponentsForNumber,MarkerHasMultipleExponentsForReflexiveAndReciprocal,MarkerHasMultipleExponentsForVersion,MarkerHasMultipleExponentsForIllocution,MarkerHasMultipleExponentsForMTN,MarkerHasMultipleExponentsForStatus,MarkerHasMultipleExponentsForEvidential,MarkerHasMultipleExponentsForConstruct,MarkerHasMultipleExponentsForNominalizer,MarkerHasMultipleExponentsForHonorificity,MarkerHasMultipleExponentsForFocus,MarkerHasMultipleExponentsForSwitchReference,MarkerHasMultipleExponentsForSymmetricalVoice,MarkerHasMultipleExponentsForRECIP,MarkerHasMultipleExponentsForTE,MarkerHasMultipleExponentsForReflexive,MarkerHasMultipleExponentsForClassifier,MarkerHasMultipleExponentsForME,MarkerHasMultipleExponentsForRepetition,MarkerHasMultipleExponentsForSpatial,MarkerHasMultipleExponentsForMotion,MarkerHasMultipleExponentsForModality,MarkerHasMultipleExponentsForDirection,MarkerHasMultipleExponentsForPosterior,MarkerHasMultipleExponentsForControl,MarkerHasMultipleExponentsForQuotative,MarkerHasMultipleExponentsForReversative,MarkerHasMultipleExponentsForAffect,MarkerHasMultipleExponentsForAE,MarkerHasMultipleExponentsForTAME,MarkerHasMultipleExponentsForConditional,MarkerHasMultipleExponentsForPossessor,MarkerHasMultipleExponentsForTAE,MarkerHasMultipleExponentsForTN
515,bagi1246,Bagirmi,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
378,tiwi1244,Tiwi,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,mart1255,Martuthunira,FALSE,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
497,supy1237,Supyire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
501,mani1292,Meithei,,FALSE,,FALSE,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
576,wari1268,Wari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
463,nucl1310,Burmese,,FALSE,,FALSE,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
569,stan1288,Spanish,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,stan1290,French (colloquial),FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
498,mezq1235,Otomi (Mezquital),,FALSE,FALSE,,,,,,,,FALSE,,,,,,FALSE,,,,FALSE,FALSE,,,,,,,,,FALSE,,,,,,,,FALSE,,,,,,,,,,,,,,,
411,wasc1239,Wishram,,,,,,,,,,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,east2652,Oromo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
526,epen1239,Epena Pedee,,FALSE,,FALSE,,,,,,,FALSE,,FALSE,,,,FALSE,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356,sout2985,Miwok (Southern Sierra),,,FALSE,,,FALSE,,,,,FALSE,,,,,,FALSE,,,,,,,,,,,,,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,
527,even1259,Evenki,,,FALSE,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,nene1249,Nenets (Tundra),,,,,,,,,FALSE,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,abkh1244,Abkhaz,FALSE,,,,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,,,FALSE,,,,,,,,,,,,FALSE,,,,FALSE,,,,,,,,,,,,,,
433,gily1242,Nivkh,,FALSE,,FALSE,FALSE,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,
193,east2379,Mparntwe Arrernte,,FALSE,,,,,,,,,FALSE,,,,,,,FALSE,,,,FALSE,,,,,,,,,,FALSE,,,,,,,FALSE,,FALSE,FALSE,,,,,,,,,,,,
25,nucl1235,Armenian (Eastern),,FALSE,FALSE,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,diga1241,Mishmi,,FALSE,,,,,,,,,,,,,,FALSE,FALSE,,,,FALSE,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,
528,garo1247,Garo,,FALSE,,,,,,,,,,FALSE,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,darg1241,Dargi (Kubachi),FALSE,FALSE,FALSE,,,,,FALSE,,,FALSE,,FALSE,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,
355,soma1255,Somali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420,yima1243,Yimas,,,FALSE,,,,,,,,FALSE,,FALSE,,,,FALSE,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,
481,svan1243,Svan,FALSE,,FALSE,,,,,,,,FALSE,,FALSE,,,,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406,wash1253,Washo,FALSE,FALSE,,,,,,,,FALSE,FALSE,,FALSE,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,osse1243,Ossetic,,FALSE,,FALSE,FALSE,,,,,,FALSE,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,kwak1269,Kwakwala,,,,,,,,,,,,,,,FALSE,,FALSE,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
668,yecu1235,Totonac (Misantla),,,,,,,,,,,FALSE,,,,,,FALSE,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,nepa1254,Nepali,FALSE,FALSE,FALSE,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
225,lahu1253,Lahu,,FALSE,,,,,,,,,,,FALSE,,,FALSE,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,
722,nort2722,Qiang (Northern),,FALSE,,,,,,,,,FALSE,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
629,chan1310,Chantyal,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
663,drun1238,Drung,,FALSE,FALSE,FALSE,,,,,,,,,FALSE,,,,,FALSE,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,
725,ital1282,Italian,FALSE,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,furr1244,Fur,,TRUE,,,,,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,tosk1239,Albanian,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
690,mana1288,Manange,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,
664,west2420,Kham,,FALSE,,FALSE,,,,,,,,FALSE,,,,FALSE,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
674,limb1266,Limbu,,FALSE,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
723,kham1282,Tibetan (Dege),FALSE,FALSE,,,,,,,,,,,,,,FALSE,,,,,,,,FALSE,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
626,kinn1249,Kinnauri,,FALSE,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
685,klam1254,Klamath,,,,,,,,FALSE,,FALSE,FALSE,,,,FALSE,,,,,,,FALSE,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,,,
223,sout2729,Pumi,,FALSE,,,,FALSE,,,,,FALSE,,FALSE,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
468,east2773,Newar (Dolakha),,FALSE,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
434,west2414,Gurung,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,mait1250,Maithili,,,,FALSE,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
632,wayu1241,Hayu,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
724,east2347,Tamang (Eastern),FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,
2826,darg1241,Dargi (standard),FALSE,FALSE,FALSE,,,,,FALSE,,,FALSE,,FALSE,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,
677,swed1254,Swedish,,,FALSE,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
580,yidi1250,Yidiny,,,FALSE,,,FALSE,,,,,,FALSE,FALSE,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2779,yele1255,Yelî Dnye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,murr1258,Murrinh-patha,FALSE,,,,,,,,,,,,,,,,,FALSE,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,nubi1251,Nubian (Dongolese),TRUE,FALSE,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
387,tuvi1240,Tuva,,FALSE,FALSE,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
