LID,Glottocode,Language,MarkerHasPostposedExponentForTAMPlus,MarkerHasPostposedExponentForOperators,MarkerHasPostposedExponentForValence,MarkerHasPostposedExponentForInterClausal,MarkerHasPostposedExponentForOther,MarkerHasPostposedExponentForPragmatic,MarkerHasPostposedExponentForNumber,MarkerHasPostposedExponentForEvidential,MarkerHasPostposedExponentForNPRelated,MarkerHasPostposedExponentForClassification,MarkerHasPostposedExponentForEventSpecs,MarkerHasPostposedExponentForRole
1694,japh1234,Jiarong,FALSE,FALSE,,,,TRUE,,,,,,
552,lepc1244,Lepcha,TRUE,FALSE,,,,,,,,,,
691,tibe1272,Tibetan (Lhasa),TRUE,FALSE,,,,TRUE,,,,,,
2617,tsha1245,Tshangla,TRUE,FALSE,,,,,,,,,,
975,bard1255,Bardi,TRUE,,TRUE,TRUE,,,,,,,,
3312,west2368,Balochi (Western),TRUE,FALSE,,,,,,,,,,
2716,uppe1395,Sorbian (Upper),TRUE,FALSE,,,,,,,,,,
2916,wakh1245,Wakhi,TRUE,FALSE,TRUE,,,,,,,,,
2893,lati1261,Latin,TRUE,,,,,,,,,,,
1395,vlax1238,Romani (Vlax),TRUE,,,,,,,,,,,
3213,oldi1245,Irish (Old),TRUE,FALSE,,TRUE,,,,,,,,
1440,dutc1256,Dutch,TRUE,,,,,,,,,,,
710,faro1244,Faroese,TRUE,,,,,,,,,,,
1399,dara1250,Darai,TRUE,,TRUE,,,,,TRUE,,,,
2987,jams1239,Dogon (Jamsay),TRUE,TRUE,,,,,,,,,,
3239,atin1240,Laz (Pazar),TRUE,,TRUE,,,FALSE,TRUE,,,,,
1964,male1284,Maale,TRUE,TRUE,TRUE,,,,,TRUE,,,,
1203,cupe1243,Cupeño,TRUE,,,,,,TRUE,TRUE,,,,
689,lowl1265,Rarámuri,TRUE,,TRUE,,,,TRUE,TRUE,,,TRUE,
3313,tang1334,Tangut,FALSE,FALSE,,,,FALSE,,,,,,
2020,karb1241,Mikir,TRUE,TRUE,FALSE,,,,,,FALSE,,,
2180,rong1266,Rongmei Naga,TRUE,TRUE,FALSE,,,,,,,,,
3315,anuu1241,Hkongso,FALSE,FALSE,FALSE,,,,,,,,,
688,cora1260,Cora,TRUE,,TRUE,,,,FALSE,,,,TRUE,
368,tawa1275,Tawala,FALSE,,,,,TRUE,,,TRUE,,,
68,djin1251,Djingili,TRUE,,FALSE,,FALSE,TRUE,,,,,,
2196,narp1239,Nar-Phu,TRUE,FALSE,,,,,,,,,,
2871,nort2732,Northern Tujia,,TRUE,,,,TRUE,,,,,,
1765,pwoe1235,Karen (Pwo),FALSE,,,,,,,,,,,
1889,lisu1250,Lisu,,FALSE,,,,,,,,,,
2873,bant1281,Bantawa,TRUE,FALSE,,,,,,,,,,
3032,aton1241,Atong,TRUE,TRUE,,,,,,,,,,
1004,gahr1239,Bunan,TRUE,FALSE,TRUE,,,,,TRUE,,,,
1130,chep1245,Chepang,TRUE,,,,,,,,,,,
3326,situ1238,Jiǎomùzú,FALSE,,,,,FALSE,,,,,,
2217,nung1282,Anong,TRUE,,,,,FALSE,,,,,,FALSE
767,galo1242,Gallong,TRUE,TRUE,,,,,,TRUE,,,,
2563,than1259,Thangmi,,,,,,,,,,,,
3298,mong1332,Mongsen Khari,TRUE,FALSE,,,,,,,,,,
1317,dhim1246,Dhimal,TRUE,FALSE,,,,,,,,,,
3318,kurt1248,Kurtokha,TRUE,TRUE,,,,,,TRUE,,,,
735,raji1240,Raji,TRUE,TRUE,,,,,,,,,,
2186,tang1336,Naga (Tangkhul),TRUE,TRUE,,,,,,,,,,
1376,tase1235,Jugli,TRUE,TRUE,,,,,,,,,,
2662,yaku1245,Yakut,TRUE,TRUE,TRUE,,,TRUE,TRUE,,,,,
18,aleu1260,Aleut,TRUE,,TRUE,,,TRUE,TRUE,TRUE,,,,
2657,udih1248,Udihe,TRUE,,TRUE,,,,,,,,,
730,thak1245,Thakali,TRUE,,,,,,,,,,,
1480,esto1258,Estonian,TRUE,TRUE,TRUE,,,,,TRUE,,,,
3301,yong1270,Yongning Na,,FALSE,,,,,,,,,,
1388,darm1243,Darmiya,TRUE,FALSE,TRUE,,,,,,,,,
709,kild1236,Saami (Kildin),TRUE,FALSE,TRUE,,,,,,,,,
3006,shek1245,Sheko,TRUE,,TRUE,,,TRUE,,,,,,
3173,sida1246,Sidaama,TRUE,FALSE,TRUE,,,TRUE,,,,,,
2936,phal1254,Palula,TRUE,,,,,,,,,,,
701,sout2674,Saami (South),TRUE,,TRUE,,,,,,,,,
703,pite1240,Saami (Pite),,TRUE,TRUE,,,,,,,,,
628,byan1241,Byangsi,TRUE,TRUE,TRUE,,,,,TRUE,,,,
838,amdo1237,Amdo,TRUE,FALSE,,,,,,,,,,
1775,kulu1253,Kulung,TRUE,FALSE,,,,,,,,,,
1778,khal1275,Khaling,TRUE,FALSE,,,,,,,,,,
3272,zaiw1241,Zaiwa,TRUE,FALSE,,,,,,,,,,
786,rong1264,Rongpo,TRUE,FALSE,TRUE,,,,,,,,,
1914,lush1249,Mizo (Lushai),TRUE,TRUE,,,,FALSE,,,,,,
2824,clas1254,Tibetan (Classical),TRUE,TRUE,,,,,,,,,,
667,thul1246,Thulung (Mukli),TRUE,FALSE,,,,,,,TRUE,,,
3331,guan1266,Khroskyabs,FALSE,FALSE,,,,FALSE,,,,,,
2862,chhi1245,Chintang,TRUE,TRUE,TRUE,,,,,,,,,
