LID,Glottocode,Language,MarkerHasPreposedExponentForTAM,MarkerHasPreposedExponentForPolarity,MarkerHasPreposedExponentForVoice,MarkerHasPreposedExponentForMood,MarkerHasPreposedExponentForValence,MarkerHasPreposedExponentForAktionsart,MarkerHasPreposedExponentForConnective,MarkerHasPreposedExponentForSemistem,MarkerHasPreposedExponentForReferential,MarkerHasPreposedExponentForCausative,MarkerHasPreposedExponentForAspect,MarkerHasPreposedExponentForTM,MarkerHasPreposedExponentForDeixis,MarkerHasPreposedExponentForMSE,MarkerHasPreposedExponentForQuantificational,MarkerHasPreposedExponentForMA,MarkerHasPreposedExponentForTense,MarkerHasPreposedExponentForTA,MarkerHasPreposedExponentForPotentialis,MarkerHasPreposedExponentForApplicative,MarkerHasPreposedExponentForNumber,MarkerHasPreposedExponentForReflexiveAndReciprocal,MarkerHasPreposedExponentForVersion,MarkerHasPreposedExponentForIllocution,MarkerHasPreposedExponentForMTN,MarkerHasPreposedExponentForStatus,MarkerHasPreposedExponentForEvidential,MarkerHasPreposedExponentForConstruct,MarkerHasPreposedExponentForNominalizer,MarkerHasPreposedExponentForHonorificity,MarkerHasPreposedExponentForFocus,MarkerHasPreposedExponentForSwitchReference,MarkerHasPreposedExponentForSymmetricalVoice,MarkerHasPreposedExponentForRECIP,MarkerHasPreposedExponentForTE,MarkerHasPreposedExponentForReflexive,MarkerHasPreposedExponentForClassifier,MarkerHasPreposedExponentForME,MarkerHasPreposedExponentForRepetition,MarkerHasPreposedExponentForSpatial,MarkerHasPreposedExponentForMotion,MarkerHasPreposedExponentForModality,MarkerHasPreposedExponentForDirection,MarkerHasPreposedExponentForPosterior,MarkerHasPreposedExponentForControl,MarkerHasPreposedExponentForQuotative,MarkerHasPreposedExponentForReversative,MarkerHasPreposedExponentForAffect,MarkerHasPreposedExponentForAE,MarkerHasPreposedExponentForTAME,MarkerHasPreposedExponentForConditional,MarkerHasPreposedExponentForPossessor,MarkerHasPreposedExponentForTAE,MarkerHasPreposedExponentForTN
515,bagi1246,Bagirmi,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
378,tiwi1244,Tiwi,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,mart1255,Martuthunira,FALSE,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
497,supy1237,Supyire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
501,mani1292,Meithei,,FALSE,,FALSE,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
576,wari1268,Wari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
463,nucl1310,Burmese,,TRUE,,FALSE,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
569,stan1288,Spanish,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,stan1290,French (colloquial),FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
498,mezq1235,Otomi (Mezquital),,TRUE,TRUE,,,,,,,,TRUE,,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,,TRUE,,,,,,,,TRUE,,,,,,,,,,,,,,,
411,wasc1239,Wishram,,,,,,,,,,FALSE,FALSE,,TRUE,,FALSE,,TRUE,,,TRUE,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,east2652,Oromo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
526,epen1239,Epena Pedee,,FALSE,,FALSE,,,,,,,FALSE,,FALSE,,,,FALSE,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356,sout2985,Miwok (Southern Sierra),,,FALSE,,,FALSE,,,,,FALSE,,,,,,FALSE,,,,,,,,,,,,,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,
527,even1259,Evenki,,,FALSE,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,nene1249,Nenets (Tundra),,,,,,,,,FALSE,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,abkh1244,Abkhaz,FALSE,,,,,FALSE,,TRUE,,TRUE,,,TRUE,,FALSE,,TRUE,,,TRUE,,,,FALSE,,,,,,,,,,,,TRUE,,,,FALSE,,,,,,,,,,,,,,
433,gily1242,Nivkh,,FALSE,,FALSE,FALSE,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,
193,east2379,Mparntwe Arrernte,,FALSE,,,,,,,,,FALSE,,,,,,,FALSE,,,,FALSE,,,,,,,,,,FALSE,,,,,,,FALSE,,FALSE,FALSE,,,,,,,,,,,,
25,nucl1235,Armenian (Eastern),,TRUE,FALSE,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,diga1241,Mishmi,,FALSE,,,,,,,,,,,,,,FALSE,FALSE,,,,FALSE,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,
528,garo1247,Garo,,FALSE,,,,,,,,,,FALSE,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,darg1241,Dargi (Kubachi),FALSE,FALSE,FALSE,,,,,TRUE,,,FALSE,,TRUE,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,
355,soma1255,Somali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420,yima1243,Yimas,,,TRUE,,,,,,,,FALSE,,TRUE,,,,FALSE,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,
481,svan1243,Svan,FALSE,,FALSE,,,,,,,,FALSE,,TRUE,,,,,,,,FALSE,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406,wash1253,Washo,FALSE,FALSE,,,,,,,,FALSE,FALSE,,FALSE,,,,,,,,TRUE,,,FALSE,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,osse1243,Ossetic,,TRUE,,FALSE,FALSE,,,,,,TRUE,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,kwak1269,Kwakwala,,,,,,,,,,,,,,,FALSE,,FALSE,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
668,yecu1235,Totonac (Misantla),,,,,,,,,,,FALSE,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,nepa1254,Nepali,FALSE,TRUE,FALSE,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
225,lahu1253,Lahu,,TRUE,,,,,,,,,,,FALSE,,,FALSE,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,
722,nort2722,Qiang (Northern),,TRUE,,,,,,,,,FALSE,,,,,TRUE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
629,chan1310,Chantyal,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
663,drun1238,Drung,,TRUE,TRUE,TRUE,,,,,,,,,FALSE,,,,,FALSE,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,
725,ital1282,Italian,FALSE,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,furr1244,Fur,,TRUE,,,,,,,,,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,tosk1239,Albanian,,,,,,,,,,,TRUE,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
690,mana1288,Manange,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,
