LID,Glottocode,Language,HasAnyVerbAgreement,MorphemeClassesCount,PreposedMorphemeClassesCount,PostposedMorphemeClassesCount,HasAnyPrefixes,HasAnySuffixes,HasAnyInfixes,HasAnyProclitics,HasAnyEnclitics,HasAnyEndoclitics,HasAnyPreposedFormatives,HasAnyPostposedFormatives,HasAnyInterposedFormatives,HasAnyFlexivity,HasAnyFlexivityForNouns,HasAnyFlexivityForVerbs,HasAnyLexicalFlexivity,HasAnyLexicalFlexivityForNouns,HasAnyLexicalFlexivityForVerbs,HasAnyPolyexponence,HasAnyPolyexponenceForNouns,HasAnyPolyexponenceForVerbs,VerbSlotsInOppositionToZeroCount,PreposedVerbSlotsInOppositionToZeroCount,PostposedVerbSlotsInOppositionToZeroCount
100,hitt1242,Hittite,TRUE,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,,0,
79,stan1290,French (colloquial),TRUE,4,1,2,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,,,
25,nucl1235,Armenian (Eastern),TRUE,4,1,2,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,,,
74,stan1293,English,TRUE,4,1,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,,0,
340,russ1263,Russian,TRUE,,,,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,
325,osse1243,Ossetic,TRUE,,,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,,,
17,tosk1239,Albanian,TRUE,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
114,ingu1240,Ingush,,,,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,,0,
413,khin1240,Xinalug,TRUE,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,0,
389,udii1243,Udi,,3,0,1,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,,,,,,,,,,,,
162,lezg1247,Lezgi,FALSE,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,0,
145,darg1241,Dargi (Kubachi),TRUE,,,,,,,,,,,,,,,,,,,,,,,,
155,lakk1252,Lak,TRUE,,,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,,0
7,abkh1244,Abkhaz,TRUE,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,0
205,nene1249,Nenets (Tundra),TRUE,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,,,0
107,hung1274,Hungarian,TRUE,4,1,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,,,0
139,komi1268,Komi (Zyrian),TRUE,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,,0,
