"LID","AlignmentAgrAccDegree.binned3","AlignmentAgrAccDegree","AlignmentAgrDominantPTG","AlignmentAgrDominantSAP","AlignmentAgrDominantSAPTG","AlignmentAgrErgDegree.binned3","AlignmentAgrErgDegree","AlignmentCaseAccDegree.binned3","AlignmentCaseAccDegree","AlignmentCaseDominantPTG","AlignmentCaseDominantSAP","AlignmentCaseDominantSAPTG","AlignmentCaseErgDegree.binned3","AlignmentCaseErgDegree","AlignmentCaseDominantLexSAP","AlignmentCaseDominantProSAP","CaseSplitByPolarity.Presence","AgrSplitByRef.Presence","CaseSplitByRef.Presence","AgrSplitByValClass.Presence","CaseSplitByValClass.Presence","AgrSplitByRank.Presence","CaseSplitByRank.Presence","AgrSplitByCat.Presence","CaseSplitByCat.Presence","AlignmentAgrMarkerAccDegree","AlignmentAgrMarkerDominantSAP","AlignmentAgrMarkerErgDegree.binned3","AlignmentAgrMarkerErgDegree"
3049,,,,,,,,"low",0,,"S=Atr=P",,"low",0,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
3051,,,,,,,,"low",0,,"S=Atr=P",,"low",0,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
3052,"high",1,"P=T=G","S=Atr≠P","S=Atr=Aditr≠P=T=G","low",0,"medium",0.666666666666667,,"S=Atr≠P",,"low",0,"accusative","accusative",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
3053,"low",0,"P=G≠T","S=Atr=P","S=Atr=Aditr=P=G≠T","low",0,"medium",0.5,"P=T=G","mixed","mixed","low",0,"accusative","accusative",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,"S=Atr≠P","low",0
3054,"high",1,,"S=Atr≠P",,"low",0,"low",0,,"S=Atr=P",,"low",0,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
3058,,,,,,,,"low",0,"P=T=G","S=Atr=P","S=Atr=Aditr=P=T=G","low",0,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
3059,"high",1,,"S=Atr≠P",,"low",0,"low",0,,"S=Atr=P",,"low",0,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
3060,,,,,,,,"low",0,,"S=Atr=P",,"low",0,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
3062,"low",0,"P=G≠T","S=Atr=P","S=Atr=Aditr=P=G≠T","low",0,"low",0,"P=T=G","S=Atr=P","S=Atr=Aditr=P=T=G","low",0,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.777777777777778,"S=Atr≠P","low",0
3063,"high",1,"P=T=G","S=Atr≠P","S=Atr=Aditr≠P=T=G","low",0,"low",0,"P=T≠G","S=P≠Atr","S=P=T≠Atr=Aditr≠G","high",1,"ergative","ergative",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
3064,"low",0,"P=G≠T","S=Atr=P","S=Atr=Aditr=P=G≠T","low",0,"low",0,"P=T≠G","mixed","mixed","medium",0.5,"ergative",,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
3068,"low",0,,"S=Atr=P",,"low",0,,,,,,,,,,,,,,,,,,,,,,
3069,"low",0,,"S=Atr=P",,"low",0,,,,,,,,,,,,,,,,,,,,,,
3070,"low",0,,"S=Atr=P",,"low",0,"low",0,"P=T=G","S=Atr=P","S=Atr=Aditr=P=T=G","low",0,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,"S=Atr≠P","low",0
3072,,,,,,,,"low",0,"P=T=G","S=Atr=P","S=Atr=Aditr=P=T=G","low",0,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
