"LID","CaseAPSplitByRef"
416,"A split"
417,"A unsplit"
419,"A unsplit"
421,"A unsplit"
422,"A unsplit"
424,"A split"
426,"A unsplit"
429,"A unsplit"
433,"A unsplit"
434,"A unsplit"
437,"A unsplit"
438,"A unsplit"
443,"A unsplit"
444,"A unsplit"
45,"A split"
454,"A unsplit"
456,"A unsplit"
460,"A unsplit"
463,"A unsplit"
464,"A unsplit"
465,"A unsplit"
466,"A unsplit"
468,"A unsplit"
469,"A unsplit"
47,"A unsplit"
471,"A unsplit"
475,"A unsplit"
480,"A unsplit"
486,"A unsplit"
488,"A unsplit"
49,"A unsplit"
492,"A unsplit"
493,"A unsplit"
494,"A unsplit"
495,"A unsplit"
497,"A unsplit"
499,"A unsplit"
50,"A unsplit"
500,"A unsplit"
502,"A unsplit"
503,"A unsplit"
504,"A unsplit"
505,"A unsplit"
51,"A unsplit"
512,"A unsplit"
514,"A unsplit"
515,"A unsplit"
516,"A unsplit"
518,"A unsplit"
520,"A unsplit"
523,"A unsplit"
526,"A unsplit"
527,"A unsplit"
528,"A unsplit"
53,"A unsplit"
530,"A split"
531,"A unsplit"
533,"A unsplit"
534,"A unsplit"
535,"A unsplit"
536,"A unsplit"
54,"A unsplit"
540,"A unsplit"
546,"A unsplit"
549,"A unsplit"
550,"A unsplit"
555,"A unsplit"
558,"A unsplit"
559,"A unsplit"
56,"A unsplit"
567,"A unsplit"
568,"A unsplit"
569,"A unsplit"
57,"A unsplit"
571,"A unsplit"
572,"A unsplit"
576,"A unsplit"
580,"A split"
581,"A unsplit"
583,"A unsplit"
59,"A unsplit"
608,"A unsplit"
61,"A unsplit"
614,"A unsplit"
616,"A unsplit"
618,"A unsplit"
629,"A unsplit"
63,"A unsplit"
632,"A unsplit"
634,"A unsplit"
635,"A unsplit"
637,"A unsplit"
64,"A split"
640,"A unsplit"
642,"A unsplit"
643,"A unsplit"
645,"A unsplit"
648,"A unsplit"
649,"A unsplit"
65,"A unsplit"
654,"A unsplit"
655,"A split"
656,"A unsplit"
658,"A split"
659,"A split"
66,"A split"
660,"A split"
662,"A unsplit"
663,"A unsplit"
664,"A split"
667,"A split"
669,"A unsplit"
673,"A unsplit"
674,"A split"
676,"A unsplit"
678,"A unsplit"
679,"A unsplit"
68,"A unsplit"
681,"A unsplit"
682,"A unsplit"
686,"A unsplit"
687,"A unsplit"
688,"A unsplit"
7,"A unsplit"
71,"A split"
717,"A unsplit"
718,"A unsplit"
72,"A split"
722,"A split"
726,"A unsplit"
727,"A unsplit"
73,"A unsplit"
738,"A unsplit"
74,"A unsplit"
740,"A unsplit"
748,"A unsplit"
75,"A unsplit"
750,"A unsplit"
752,"A unsplit"
763,"A unsplit"
78,"A unsplit"
785,"A unsplit"
79,"A unsplit"
791,"A unsplit"
808,"A split"
815,"A unsplit"
820,"A unsplit"
824,"A unsplit"
84,"A split"
842,"A unsplit"
844,"A unsplit"
848,"A unsplit"
85,"A unsplit"
851,"A unsplit"
87,"A unsplit"
871,"A unsplit"
872,"A unsplit"
879,"A unsplit"
88,"A split"
883,"A split"
885,"A unsplit"
89,"A unsplit"
894,"A unsplit"
9,"A unsplit"
90,"A unsplit"
904,"A unsplit"
908,"A split"
915,"A unsplit"
918,"A split"
923,"A unsplit"
93,"A unsplit"
938,"A unsplit"
943,"A unsplit"
956,"A unsplit"
957,"A unsplit"
968,"A unsplit"
970,"A split"
98,"A unsplit"
99,"A unsplit"
99,"A unsplit"
995,"A unsplit"
10,"O unsplit"
100,"O split"
101,"O unsplit"
1010,"O unsplit"
1014,"O split"
1018,"O split"
103,"O unsplit"
104,"O unsplit"
1042,"O unsplit"
1053,"O unsplit"
1054,"O unsplit"
1056,"O unsplit"
1058,"O split"
1059,"O split"
1063,"O split"
1067,"O split"
107,"O unsplit"
108,"O unsplit"
109,"O unsplit"
1094,"O split"
1095,"O split"
1099,"O unsplit"
110,"O split"
1103,"O split"
1105,"O unsplit"
1108,"O unsplit"
1116,"O unsplit"
112,"O split"
1128,"O unsplit"
1129,"O unsplit"
113,"O unsplit"
1130,"O split"
1134,"O unsplit"
1136,"O unsplit"
1142,"O unsplit"
1143,"O unsplit"
1144,"O unsplit"
1146,"O unsplit"
1155,"O unsplit"
116,"O unsplit"
1163,"O split"
1169,"O split"
1172,"O unsplit"
1176,"O unsplit"
1177,"O unsplit"
118,"O unsplit"
1183,"O unsplit"
12,"O unsplit"
123,"O unsplit"
1234,"O split"
124,"O split"
125,"O unsplit"
1255,"O unsplit"
1257,"O unsplit"
1261,"O unsplit"
1262,"O unsplit"
1263,"O unsplit"
1264,"O unsplit"
1272,"O unsplit"
1276,"O split"
