"LID","VInflClassification.Pre.Presence","VInflEvidential.Pre.Presence","VInflInter_clausal.Pre.Presence","VInflNP_related.Pre.Presence","VInflNumber.Pre.Presence","VInflOperators.Pre.Presence","VInflPerson.Pre.Presence","VInflPragmatic.Pre.Presence","VInflRole.Pre.Presence","VInflTAM.Pre.Presence","VInflValence.Pre.Presence"
1364,,,,,,,,FALSE,,FALSE,
1364,,,,,FALSE,,,,,,
1376,,,,,,FALSE,,,,FALSE,
1385,,,,,FALSE,,,FALSE,,FALSE,FALSE
1388,,,,,,FALSE,,,,FALSE,FALSE
1395,,,,,,,,,,FALSE,
1399,,FALSE,,,,,,,,FALSE,FALSE
1440,,,,,,,,,,FALSE,
1480,,FALSE,,,,FALSE,,,,FALSE,FALSE
1531,,,FALSE,,,FALSE,,,,FALSE,FALSE
1542,,FALSE,,,,FALSE,,,,FALSE,
1623,,,,,FALSE,,,,FALSE,FALSE,FALSE
1694,,,,,,FALSE,,FALSE,,FALSE,
1765,,,,,,,,,,FALSE,
1772,,,,,,,,,,FALSE,FALSE
1775,,,,,,FALSE,,,,FALSE,
1778,,,,,,FALSE,,,,FALSE,
1807,,FALSE,,,FALSE,,,,,FALSE,FALSE
1816,,,,,,FALSE,,,,,
1816,,,,,,,,,,FALSE,
1840,,,,,,FALSE,,,,FALSE,
1889,,,,,,FALSE,,,,,
1890,,,,,,,,,,FALSE,
1914,,,,,,FALSE,,FALSE,,FALSE,
1954,,FALSE,FALSE,FALSE,,FALSE,,,,FALSE,
1964,,FALSE,,,,FALSE,,,,FALSE,FALSE
2015,,,,,FALSE,FALSE,,,,FALSE,FALSE
2020,,,,FALSE,,FALSE,,,,FALSE,FALSE
2024,,,,,,FALSE,,,,FALSE,
2050,,,,,FALSE,FALSE,,,,FALSE,FALSE
2081,,,,,,,,,,FALSE,FALSE
2172,,FALSE,,,,,,,,FALSE,FALSE
2180,,,,,,FALSE,,,,FALSE,FALSE
2186,,,,,,FALSE,,,,FALSE,
2196,,,,,,FALSE,,,,FALSE,
2217,,,,,,,,FALSE,FALSE,FALSE,
2330,,,,,,FALSE,,,,FALSE,FALSE
2360,,,FALSE,,,TRUE,,,,FALSE,
