"LID","VInlfCatSurveyComplete","VBipartiteStem.Presence","VInflCat","VInflMacrocategories","VInflCatAndAgrMax.n","VInflCatMax.n","VInflCatMax.binned3","VInflCatAndAgrMax.binned3","VInflCatAndAgrFmtvMax.n","VInflCatFmtvMax.n","VInflCatandAgrFmtvMax.binned3","VAnyIncorporation.Presence","VInflExponence","VNounIncorporation.Presence","VPhonCoherence.Presence","VAgrAllPre.Presence","VAgrAnyPre.Presence","VProsCoherence.Presence","VAgrRoles","VInflMax.n","VSynCoherence.Presence","VInflMax.binned3","VIncorporationVorN.Presence","VIncorporationV.Presence"
100,TRUE,,"TAM","TAM+",2,1,"low","low",2,1,"low",FALSE,"separative",,,FALSE,FALSE,,"A-default",4,,"low",,
355,TRUE,FALSE,"Tense,Voice","TAM+,valence",3,2,,"low",3,,"low",TRUE,"separative",TRUE,,FALSE,FALSE,,"A-default",6,,"low",TRUE,FALSE
179,TRUE,FALSE,"Number,TAM,Voice","number,TAM+,valence",3,3,"low","low",3,3,"low",FALSE,"separative",,,,,TRUE,,6,TRUE,"low",,
535,,FALSE,"Potentialis,Tense","TAM+",3,2,"low","low",3,2,"low",FALSE,"separative",,,FALSE,FALSE,,"A-default",6,,"low",,
2936,TRUE,FALSE,"Aspect,TM","TAM+",3,2,,"low",3,,"low",FALSE,"separative",,,FALSE,FALSE,,"A-default",6,,"low",,
677,TRUE,FALSE,"TM,Voice","TAM+,valence",2,2,"low","low",2,2,"low",FALSE,"separative",,TRUE,,,TRUE,,4,TRUE,"low",,
2944,TRUE,TRUE,"Aspect,Mood,Polarity","operators,TAM+",4,4,"low","low",3,3,"low",FALSE,"cumulative",,TRUE,,,,,7,TRUE,"low",,
387,TRUE,,"Polarity,Reflexive_and_Reciprocal,TM,Voice","operators,TAM+,valence",5,4,,"medium",,,,FALSE,,,TRUE,FALSE,FALSE,TRUE,"A-default",,,,,
1890,TRUE,,"Aspect,Reflexive_and_Reciprocal,TM,Voice","TAM+,valence",5,4,"low","medium",5,4,"low",FALSE,"separative",,,FALSE,FALSE,,"A-default",10,,"low",,
362,FALSE,FALSE,"Aspect,Symmetrical_voice","pragmatic,TAM+",2,,,"low",3,,"low",FALSE,"distributive",,TRUE,,,TRUE,,5,TRUE,"low",,
580,TRUE,,"Aktionsart,Applicative,Deixis,TM,Voice","pragmatic,TAM+,valence",5,5,"low","medium",5,5,"low",FALSE,"separative",,,,,,,10,,"low",,
530,,FALSE,"Illocution,Number,Person,Polarity,Tense","number,operators,person,TAM+",6,5,"low","medium",5,4,"low",FALSE,"cumulative",,TRUE,FALSE,FALSE,TRUE,"U-default",11,TRUE,"low",,
2662,TRUE,,"Focus,Polarity,Quantificational,Reflexive_and_Reciprocal,TAM,Voice","number,operators,pragmatic,TAM+,valence",7,6,,"medium",7,,"medium",FALSE,"separative",,,FALSE,FALSE,,"A-default",14,,"medium",,
333,,FALSE,"Aspect,Connective,Evidential,Focus,Illocution,Polarity,Status,Tense","evidential,inter-clausal,operators,pragmatic,TAM+",9,9,"medium","medium",9,9,"medium",TRUE,"separative",FALSE,TRUE,,,TRUE,,18,TRUE,"medium",TRUE,TRUE
2456,TRUE,FALSE,"Causative,Connective,Focus,Mood,Tense","inter-clausal,pragmatic,TAM+,valence",5,5,"low","medium",5,5,"low",FALSE,"separative",,,,,,,10,TRUE,"low",,
192,TRUE,,"Applicative,Causative,Modality,Mood,Quantificational,Status,Voice","number,TAM+,valence",9,8,"medium","medium",9,8,"medium",TRUE,"separative",TRUE,,FALSE,FALSE,,"A-default",18,,"medium",TRUE,FALSE
470,TRUE,FALSE,,,0,0,"low","low",0,0,"low",TRUE,"separative",TRUE,TRUE,,,TRUE,,0,TRUE,"low",TRUE,FALSE
64,,,"Number,TM,Voice","number,TAM+,valence",3,3,"low","low",3,3,"low",FALSE,"separative",,,,,,,6,,"low",,
767,TRUE,FALSE,"AE,Aspect,Evidential,Mood,Polarity","evidential,operators,TAM+",6,6,"low","medium",6,6,"low",TRUE,"separative",FALSE,FALSE,,,FALSE,,12,TRUE,"medium",TRUE,TRUE
385,TRUE,,"Aspect,Deixis,Polarity,Quantificational,Status,TAM","number,operators,pragmatic,TAM+",7,7,"medium","medium",7,7,"medium",TRUE,"separative",TRUE,TRUE,,,TRUE,,14,,"medium",TRUE,FALSE
934,,TRUE,,,,,,,,,,FALSE,,,,,,,,,,,,
690,TRUE,FALSE,"Polarity,RECIP","operators,valence",2,2,"low","low",2,2,"low",FALSE,"separative",,,,,,,4,,"low",,
1765,TRUE,,"Mood","TAM+",1,1,"low","low",1,1,"low",FALSE,"separative",,TRUE,,,TRUE,,2,TRUE,"low",,
348,TRUE,FALSE,"Polarity,TAM,TE","operators,TAM+",5,3,"medium","medium",8,8,"medium",TRUE,"distributive",FALSE,,,,FALSE,"A-default,U-default",13,TRUE,"medium",FALSE,FALSE
566,FALSE,,,,,,,,,,,FALSE,,,,,,,"A-default,S-default,U-default",,,,,
340,TRUE,FALSE,"Aspect,Mood,Polarity,TM,Voice","operators,TAM+,valence",6,5,,"medium",6,,"low",TRUE,"separative",FALSE,,FALSE,FALSE,TRUE,"A-default",12,TRUE,"medium",FALSE,FALSE
3298,TRUE,FALSE,"Polarity,TN","operators,TAM+",2,2,"low","low",2,2,"low",TRUE,"separative",FALSE,TRUE,,,TRUE,,4,TRUE,"low",FALSE,FALSE
128,TRUE,FALSE,"Connective,Polarity,TAM,Voice","inter-clausal,operators,TAM+,valence",4,4,"low","low",3,3,"low",TRUE,"cumulative",TRUE,,,,TRUE,,7,TRUE,"low",TRUE,FALSE
502,TRUE,FALSE,"Connective,Focus,Polarity,Potentialis,TAM,Voice","inter-clausal,operators,pragmatic,TAM+,valence",7,6,"low","medium",7,6,"medium",FALSE,"separative",,TRUE,FALSE,FALSE,TRUE,"A-default",14,TRUE,"medium",,
116,,FALSE,"Connective,Illocution,Mood,TA,Voice","inter-clausal,TAM+,valence",8,,,"medium",5,,"low",FALSE,"cumulative",,,,,,"A-default,B-default,U-default",13,,"medium",,
497,TRUE,FALSE,"Aspect,Construct,Tense","NP-related,TAM+",3,3,"low","low",3,3,"low",FALSE,"separative",,FALSE,,,FALSE,,6,FALSE,"low",,
662,FALSE,,"Evidential,TAM,Voice","evidential,TAM+,valence",3,3,"low","low",3,3,"low",FALSE,"separative",,,,,,,6,,"low",,
628,TRUE,FALSE,"Evidential,Polarity,Tense,Valence,Voice","evidential,operators,TAM+,valence",7,6,"low","medium",6,5,"low",FALSE,"cumulative",,TRUE,FALSE,FALSE,,"A-default",13,TRUE,"medium",,
2081,,,"Causative,Mood,TAM","TAM+,valence",,,,,,,,TRUE,,TRUE,,FALSE,FALSE,,"ARG-nom",,,,TRUE,TRUE
342,,TRUE,,,,,,,,,,FALSE,,,,,,,,,,,,
