"LID","AUTOTYPLabel","Behavior.binned4","Behavior.spreading.Presence","Behavior","Coexponence.CaseNumber.Presence","Coexponence.CaseReference.Presence","Domain","Exemplar","Polyexponence.Presence","Exponence.n","Exponence","Flexivity.Presence","FlexivityFormative","Form","Fusion.binned6","Fusion","Fusion.isolating.Presence","Fusion.nonlinear.Presence","Fusion.reduplicative.Presence","Fusion.tonal.Presence","FlexivityLexical.Presence","Locus.binned6","Locus","Locus.binned5","HostRestrictions.binned.restricted","MorphemeType","MorphemeType.Word.Presence","PersonPortmanteau.Presence","Placement","Position.post.Presence","Position.binned4","Position","Position.binned5","Position.pre.Presence.v1","Position.pre.Presence.v2","Position.simul.Presence.v1","Position.simul.Presence.v2","HostRestrictions","Slot","SourceOfMarking","FlexivityStem","OppositionWithZero.Presence","HostMacroCat","HostType","HostCat"
2862,"DIR",,,,,,"#ANY#",,,0,,,,"-be(ʔ) ∼ -iʔ ∼ -bak ∼ -ø","concatenative","concatenative",FALSE,"linear","non-reduplicative",FALSE,,"D","D","D",,"formative",FALSE,,,TRUE,"post","post","post",FALSE,FALSE,FALSE,FALSE,,,"assign",,,,,"#ANY#"
369,"POSS",,,,,,"#ANY#",,TRUE,2,"Number;Person",,,,,,,,,,,"H","H","H",,,,,,,,,,,,,,,,,,,,,"#ANY#"
455,"ERG",,,,FALSE,FALSE,"#ANY#","CASE",FALSE,1,"Role",,,"-m","concatenative","concatenative",FALSE,"linear","non-reduplicative",FALSE,,"D","D","D",,"formative",FALSE,,,TRUE,"post","post","post",FALSE,FALSE,FALSE,FALSE,,,"assign",,,,,"#ANY#"
400,"NEG",,,,,,"#ANY#","NEG",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#ANY#"
357,"<none>",,,,FALSE,FALSE,"#ANY#","CASE",FALSE,1,"Role",,,"zero",,"n/a",,"NA",,,,"D","D","D","restricted","n/a",,,,,,,,,,,,"restricted",,"assign",,,,,"n/a"
2564,"OBL",,,,,,"#ANY#",,FALSE,1,"Role",,,"tk","concatenative","concatenative",FALSE,"linear","non-reduplicative",FALSE,,"D","D","D",,"formative",FALSE,,"preceding",,,,,,,,,,,"assign",,,,,"#ANY#"
6,,,,,,,"#ANY#",,FALSE,1,"Role",,,,,,,,,,,"D","D","D",,"formative",FALSE,,,,,,,,,,,,,,,,,,"#ANY#"
673,"ABS",,,,,,"#ANY#",,FALSE,1,"Role",,,"zero","concatenative","concatenative",FALSE,"linear","non-reduplicative",FALSE,,"D","D","D","restricted","n/a",,,,,,,,,,,,"restricted",,"assign",,,,,"n/a"
113,"<none>",,,,FALSE,FALSE,"#ANY#","CASE",FALSE,1,"Role",,,"zero",,"n/a",,"NA",,,,"D","D","D","restricted","n/a",,,,,,,,,,,,"restricted",,"assign",,,,,"n/a"
808,"ERG",,,,,,"nominal",,FALSE,1,"Role",,,"-a","concatenative","concatenative",FALSE,"linear","non-reduplicative",FALSE,,"D","D","D","restricted","formative",FALSE,,,TRUE,"post","post","post",FALSE,FALSE,FALSE,FALSE,"restricted",,"assign",,,"nominal","terminal","N"
35,,,,,,,"#ANY#",,,0,,,,"ki(na)(huŋ)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#ANY#"
