"LID","BehaviorCase.binned4","BehaviorNeg.binned4","BehaviorNounPlural.binned4","BehaviorTense.binned4","BehaviorCase.spreading.Presence","BehaviorNeg.spreading.Presence","BehaviorNounPlural.spreading.Presence","BehaviorTense.spreading.Presence","BehaviorCase","BehaviorNeg","BehaviorNounPlural","BehaviorTense","PolyexponentialityCase.Presence","PolyexponentialityNegation.Presence","PolyexponentialityNounPlural.Presence","PolyexponentialityTense.Presence","ExponentialityCase.n","ExponentialityNegation.n","ExponentialityNounPlural.n","ExponentialityTense.n","ExponentialityCase","ExponentialityNegation","ExponentialityNounPlural","ExponentialityTense","FlexivityFormativeCase","FlexivityFormativeNeg","FlexivityFormativeNounPlural","FlexivityFormativeTense","FusionCase.binned.binned6","FusionNegation.binned.binned6","FusionNounPlural.binned.binned6","FusionTense.binned.binned6","FusionCase","FusionNegation","FusionNounPlural","FusionTense","FusionCase.isolating.Presence","FusionNegation.isolating.Presence","FusionNounPlural.isolating.Presence","FusionTense.isolating.Presence","FusionCase.nonlinear.Presence","FusionNegation.nonlinear.Presence","FusionNounPlural.nonlinear.Presence","FusionTense.nonlinear.Presence","FusionCase.reduplicative.Presence","FusionNegation.reduplicative.Presence","FusionNounPlural.reduplicative.Presence","FusionTense.reduplicative.Presence","FusionCase.tonal.Presence","FusionNegation.tonal.Presence","FusionNounPlural.tonal.Presence","FusionTense.tonal.Presence","MorphemeTypeCase","MorphemeTypeNeg","PositionCase.post.Presence","PositionNeg.post.Presence","PositionNounPlural.post.Presence","PositionTense.post.Presence","PositionCase.binned4","PositionNeg.binned4","PositionNounPlural.binned4","PositionTense.binned4","PositionCase.binned5","PositionNeg.binned5","PositionNounPlural.binned5","PositionTense.binned5","PositionCase","PositionNeg","PositionNounPlural","PositionTense","PositionCase.pre.Presence.v1","PositionNeg.pre.Presence.v1","PositionNounPlural.pre.Presence.v1","PositionTense.pre.Presence.v1","PositionCase.pre.Presence.v2","PositionNeg.pre.Presence.v2","PositionNounPlural.pre.Presence.v2","PositionTense.pre.Presence.v2","PositionCase.simul.Presence.v1","PositionNeg.simul.Presence.v1","PositionNounPlural.simul.Presence.v1","PositionTense.simul.Presence.v1","PositionCase.simul.Presence.v2","PositionNeg.simul.Presence.v2","PositionNounPlural.simul.Presence.v2","PositionTense.simul.Presence.v2","HostRestrictionsCase","HostRestrictionsNegation","HostRestrictionsNounPlural","HostRestrictionsTense","FlexivityStemCase","FlexivityStemNeg","FlexivityStemNounPlural","FlexivityStemTense"
43,,"final",,,,FALSE,,,,"final",,,,FALSE,FALSE,FALSE,0,1,1,1,"n/a","Polarity","Number","Tense",,"none",,,,"isolating","isolating","concatenative",,"isolating","isolating","concatenative",,TRUE,TRUE,FALSE,,"linear","linear","linear",,"non-reduplicative","non-reduplicative","non-reduplicative",,FALSE,FALSE,FALSE,,"formative",,TRUE,,,,"post",,,,"post",,,,"post",,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,"restricted","restricted","restricted",,,"none",,
2897,,,,,,,,,,,,,FALSE,,,,1,,,,"Role",,,,"none",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"restricted",,,,"none",,,
53,,,,,,FALSE,,,,"inert",,,FALSE,FALSE,FALSE,,1,1,1,,"Role","Polarity","Number",,,"none","lex-based",,,"isolating",,,,"isolating",,,,TRUE,,,,"linear",,,,"non-reduplicative",,,,FALSE,,,,"formative",,TRUE,TRUE,,,"post","post",,,"post","post",,,"post","post",,,FALSE,FALSE,,,FALSE,FALSE,,,FALSE,FALSE,,,FALSE,FALSE,,"restricted","restricted","restricted",,,"none",,
225,"final",,,,FALSE,FALSE,FALSE,,"final","inert","inert",,FALSE,FALSE,FALSE,FALSE,1,1,1,1,"Role","Polarity","Number","Aspect",,"none",,,"isolating","isolating","concatenative","isolating","isolating","isolating","concatenative","isolating",TRUE,TRUE,FALSE,TRUE,"linear","linear","linear","linear","non-reduplicative","non-reduplicative","non-reduplicative","non-reduplicative",FALSE,FALSE,FALSE,FALSE,"formative","formative",TRUE,FALSE,TRUE,TRUE,"post","prae","post","post","post","prae","post","post","post","prae","post","post",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"restricted","restricted",,,"none",,
553,,,,,,,FALSE,FALSE,,,"inert","inert",,,TRUE,FALSE,0,,2,1,"n/a",,"NumberGender","Tense",,,,"none",,,"concatenative","concatenative",,,"concatenative","concatenative",,,FALSE,FALSE,,,"linear","linear",,,"non-reduplicative","non-reduplicative",,,FALSE,FALSE,,,,,FALSE,TRUE,,,"prae","post",,,"prae","post",,,"prae","post",,,TRUE,FALSE,,,TRUE,FALSE,,,FALSE,FALSE,,,FALSE,FALSE,"restricted",,,"restricted",,,,"none"
923,,,,,,,,,,,,,FALSE,,,,1,,,,"Referential",,,,"lex-based",,,,"concatenative",,,,"concatenative",,,,FALSE,,,,"linear",,,,"non-reduplicative",,,,FALSE,,,,"formative",,TRUE,,,,"post",,,,"post",,,,"post",,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,,"restricted",,,,"lex-based",,,
667,,,,,,,FALSE,,,,"inert",,FALSE,,FALSE,TRUE,1,,1,2,"Role",,"Number","TenseRole",,,,,"concatenative",,"concatenative","concatenative","concatenative",,"concatenative","concatenative",FALSE,,FALSE,FALSE,"linear",,"linear","linear","non-reduplicative",,"non-reduplicative","non-reduplicative",FALSE,,FALSE,FALSE,"formative",,TRUE,,TRUE,TRUE,"post",,"post","post","post",,"post","post","post",,"post","post",FALSE,,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,
493,,,,,,FALSE,,,,"inert",,,FALSE,FALSE,FALSE,FALSE,1,1,1,1,"Role","Polarity","Number","Tense",,,"lex-based",,"concatenative","concatenative","concatenative","concatenative","concatenative","concatenative","concatenative","concatenative",FALSE,FALSE,FALSE,FALSE,"linear","linear","linear","linear","non-reduplicative","non-reduplicative","non-reduplicative","non-reduplicative",FALSE,FALSE,FALSE,FALSE,"formative","formative",TRUE,TRUE,TRUE,TRUE,"post","post","post","post","post","post","post","post","post","post","post","post",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"restricted","restricted",,,,,,
582,,,,,,FALSE,,,,"inert",,,,FALSE,FALSE,FALSE,0,1,1,1,"n/a","Polarity","Number","TAM",,"none","lex-based",,,"concatenative","concatenative","concatenative",,"concatenative","concatenative","concatenative",,FALSE,FALSE,FALSE,,"linear","linear","linear",,"non-reduplicative","non-reduplicative","non-reduplicative",,FALSE,FALSE,FALSE,,"formative",,FALSE,TRUE,TRUE,,"prae","post","post",,"prae","post","post",,"prae","post","post",,TRUE,FALSE,FALSE,,TRUE,FALSE,FALSE,,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,"restricted","unrestricted",,,,"none",,
350,,,,,,FALSE,,,,"inert",,,FALSE,FALSE,,,1,1,0,,"Role","Polarity",,,,"none",,,,"concatenative",,,,"concatenative",,,,FALSE,,,,"linear",,,,"non-reduplicative",,,,FALSE,,,"formative","formative",,FALSE,,,,"prae",,,,"prae",,,,"prae",,,,TRUE,,,,TRUE,,,,FALSE,,,,FALSE,,,"restricted","restricted","restricted",,,"none",,
