"LID","InclExclAsPerson.Presence","InclExclAny.Presence","InclExclType","InclExclAsMinAug.Presence"
614,FALSE,FALSE,"no i/e",FALSE
1363,FALSE,TRUE,"plain i/e type",FALSE
1621,FALSE,FALSE,"no i/e",FALSE
1182,FALSE,FALSE,"no i/e",FALSE
2511,FALSE,TRUE,"plain i/e type",FALSE
2577,FALSE,FALSE,"no i/e",FALSE
1816,FALSE,FALSE,"no i/e",FALSE
917,FALSE,TRUE,"plain i/e type",FALSE
389,FALSE,FALSE,"no i/e",FALSE
1527,FALSE,FALSE,"no i/e",FALSE
3240,TRUE,TRUE,"excl as person type",FALSE
