"LID","NPAgrCat","NPAlienability.Presence","NPAlienabilityType","NPHeadSemConstraints","NPMarking.binned5","NPDepCatConstraints","NPHeadSemClassSize.n","NPMarkersLabel","NPMarking.binned4","NPHeadlessness","NPMarking.overt.Presence","NPMarking","NPLabel","NPDepSemConstraints.binned4","NPDepSemConstraints","NPHeadSemConstraints.Presence","NPHeadSemSpecial","NPWordOrder"
420,,FALSE,"neutral","neutral",,"N_or_Pro",1,"210","government",,TRUE,"Governed",336,"neutral","neutral",FALSE,,"Dependent-Head"
168,,TRUE,"inalienable","kin terms",,,1,"714","agreement/class marker",,TRUE,"Dep-driven agreement",462,,,TRUE,,
348,,TRUE,"alienable","alienable",,"SAP",1,"","government",,TRUE,"Governed",449,,,TRUE,,"Dependent-Head"
72,,TRUE,"inalienable","kin terms",,,1,"","agreement/class marker",,TRUE,"Dep-driven agreement",545,,,TRUE,,
454,,TRUE,"alienable","neutral",,"N_or_Pro",1,"368","government",,TRUE,"Governed",243,"neutral","neutral",FALSE,,"Free"
109,,TRUE,"alienable","neutral","juxtaposition","Pro",1,"",,,FALSE,"Juxtaposition",104,,,FALSE,,"Dependent-Head"
648,,TRUE,"alienable","alienable",,"Pro",1,"","government",,TRUE,"Governed",513,,,TRUE,,"Dependent-Head"
24,,,,"neutral",,"Pro",1,"",,,,,27,,,FALSE,,
167,,TRUE,"alienable","neutral",,"N",1,"309,1060","agreement/class marker",,TRUE,"Dep-driven + head-driven agreement",170,,,FALSE,,"Head-Dependent"
368,,TRUE,"alienable","neutral",,"N",1,"190",,,,,285,,,FALSE,,"Dependent-Head"
186,,FALSE,"neutral",,"juxtaposition","N",0,"",,,FALSE,"Juxtaposition",379,,,,,"Free"
3002,,,,,"agreeing construct","Adj",0,"","construct markers",,TRUE,"Anti-construct state agreement",908,,,,,
709,,FALSE,"neutral","neutral","construct","Adj",1,"1594","construct markers","ungrammatical",TRUE,"Anti-construct state",757,,,FALSE,,"Dependent-Head"
21,,,,,"agreeing construct","Adj",0,"","construct markers",,TRUE,"Anti-construct state agreement",992,,,,,
24,,,,"neutral",,"N",1,"",,,,,26,,,FALSE,,
132,,TRUE,"inalienable","kin terms",,"Pro",1,"603","agreement/class marker",,TRUE,"Pronominal agreement",406,"neutral","neutral",TRUE,,"Dependent-Head"
400,,FALSE,"neutral",,,"N_or_Pro",0,"250",,,,,312,,,,,
181,,TRUE,"alienable","neutral","agreement","Pro",1,"231","agreement/class marker",,TRUE,"Head-driven agreement",190,,,FALSE,,"Dependent-Head"
346,,TRUE,"fluid",,,"N",1,"270",,,,,254,,,FALSE,,
126,,TRUE,"alienable","neutral",,,1,"168","government",,TRUE,"Governed",124,,,FALSE,,"Dependent-Head"
32,,FALSE,"neutral","neutral",,"N_or_Pro",1,"340","government",,TRUE,"Governed",36,"neutral","neutral",FALSE,,"Dependent-Head"
7,,FALSE,"neutral","neutral",,"N_or_Pro",1,"137",,,,,6,,,FALSE,,
354,,TRUE,"alienable","neutral","construct",,1,"413","construct markers",,TRUE,"Construct state",262,"neutral","neutral",FALSE,,"Dependent-Head"
384,,FALSE,"neutral","neutral",,"N",1,"499","agreement/class marker",,TRUE,"Pronominal agreement",344,,,FALSE,,
456,,FALSE,"neutral","neutral","construct","Adj,N_or_Pro",1,"443","construct markers",,TRUE,"Construct state",239,,,FALSE,,"Head-Dependent"
383,,,,"neutral","agreement","Adj",1,"","agreement/class marker",,TRUE,"Head-driven agreement",507,,,FALSE,,
112,,FALSE,"neutral","neutral",,,1,"462","government",,TRUE,"Governed",110,"neutral","neutral",FALSE,,
677,,FALSE,"neutral","neutral",,"S",1,"1522",,"ungrammatical",,,602,"neutral","neutral",FALSE,,"Head-Dependent"
170,,TRUE,"alienable","neutral","juxtaposition","Pro",1,"",,,FALSE,"Juxtaposition",173,,,FALSE,,
179,,TRUE,"alienable","neutral",,"N_or_Pro",1,"228","mixed",,TRUE,"External-driven agr. + Governed",188,,,FALSE,,"Dependent-Head"
702,,FALSE,"neutral","neutral","juxtaposition","Adj",1,"",,"ungrammatical",FALSE,"Juxtaposition",1032,,,FALSE,,"Dependent-Head"
345,,TRUE,"alienable","neutral","juxtaposition","N_or_Pro",1,"",,,FALSE,"Juxtaposition",251,,,FALSE,,
107,,FALSE,"neutral","neutral",,"N_or_Pro",1,"142",,,,,101,,,FALSE,,"Dependent-Head"
56,,FALSE,"neutral","neutral",,"N_or_Pro",1,"",,,FALSE,"Compound",419,"neutral","neutral",FALSE,,
132,,TRUE,"inalienable","body parts",,"Pro",1,"",,,FALSE,"Externally Possessed",413,"formal","default",TRUE,,
318,,TRUE,"alienable","neutral",,"N_or_Pro",1,"238,239",,,,,226,,,FALSE,,
504,,FALSE,"neutral","neutral",,"Pro",1,"544","government",,TRUE,"Governed",373,"neutral","neutral",FALSE,,"Dependent-Head"
104,,,,,"juxtaposition","Adj,DEM,Num",0,"",,,FALSE,"Juxtaposition",857,,,,,"Dependent-Head"
333,,FALSE,"neutral","neutral",,"N",1,"506","agreement/class marker",,TRUE,"Dep-driven agreement",352,"neutral","neutral",FALSE,,"Dependent-Head"
2389,,,,,"agreement","Adj",0,"","agreement/class marker",,TRUE,"Head-driven agreement",925,,,,,"Dependent-Head"
10,,TRUE,"default",,,"N_or_Pro",0,"440","agreement/class marker",,TRUE,"Dep-driven agreement",8,,,,,"Dependent-Head"
65,,TRUE,"inalienable","body parts",,"N",1,"285",,,,,56,,,TRUE,,
86,,FALSE,"neutral","neutral",,"N_or_Pro",1,"139","government",,TRUE,"Governed",89,,,FALSE,,"Dependent-Head"
705,,FALSE,"neutral","neutral","construct","Adj",1,"","construct markers","ungrammatical",TRUE,"Anti-construct state",678,,,FALSE,,"Dependent-Head"
85,,TRUE,"alienable","neutral",,"N",1,"",,,,,86,,,FALSE,,"Head-Dependent"
608,,FALSE,"neutral","neutral","juxtaposition","N",1,"",,,FALSE,"Juxtaposition",610,"referentiality","inanimate",FALSE,,"Dependent-Head"
81,,FALSE,"neutral",,,"NP,N_or_Pro",0,"286","government",,TRUE,"Governed",83,,,,,"Dependent-Head"
367,,TRUE,"inalienable","body parts",,"N",1,"188,189","government",,TRUE,"Governed",284,,,TRUE,"a few others","Dependent-Head"
504,,FALSE,"neutral","neutral",,"N",1,"545","government",,TRUE,"Governed",374,"neutral","neutral",FALSE,,"Dependent-Head"
198,,TRUE,"inalienable","body parts",,"N_or_Pro",1,"233,234",,,,,204,,,TRUE,,
74,,FALSE,"neutral","neutral",,"Adj",1,"",,"ungrammatical",,"Incorporation",596,,,FALSE,,"Dependent-Head"
349,,,,"body parts",,,1,"718","agreement/class marker",,TRUE,"Dep-driven agreement",470,,,TRUE,,
432,,TRUE,"default",,"construct","3Pro,N",0,"","construct markers",,TRUE,"Construct state",518,,,,,"Dependent-Head"
374,,FALSE,"neutral",,,"N_or_Pro",0,"600","government",,TRUE,"Governed",404,"referentiality","animate",,,"Head-Dependent"
84,,TRUE,"alienable","neutral",,"N_or_Pro",1,"218,219",,,,,85,,,FALSE,,"Head-Dependent"
34,,FALSE,"neutral","neutral",,"Pro",1,"279","agreement/class marker",,TRUE,"Dep-driven agreement",39,,,FALSE,,
583,,FALSE,"neutral","neutral",,"N_or_Pro",1,"740,741","mixed",,TRUE,"Dep-driven agr. + Governed",496,"neutral","neutral",FALSE,,"Head-Dependent"
57,,FALSE,"neutral","neutral","nominalization","Adj,DEM",1,"",,"OK",TRUE,"Attributive nominalizer",821,"pragmatic","specific",FALSE,,"Dependent-Head"
734,,FALSE,"neutral","neutral",,"Adj",1,"",,"ungrammatical",,"Incorporation",619,"neutral","neutral",FALSE,,"Dependent-Head"
211,,FALSE,"neutral","neutral",,"N_or_Pro",1,"165",,,,,219,,,FALSE,,
6,,,,,,"N",1,"",,,,,3,,,FALSE,,"Dependent-Head"
370,,,,,,"N_or_Pro",1,"195",,,,,290,,,FALSE,,"Dependent-Head"
676,,FALSE,"neutral","neutral","construct","Adj,N_or_Pro,Ord,S",1,"1574","construct markers",,TRUE,"Construct state",731,,,FALSE,,"Head-Dependent"
670,,FALSE,"neutral","neutral","juxtaposition","Adj",1,"",,"OK",FALSE,"Juxtaposition",713,,,FALSE,,"Dependent-Head"
85,,TRUE,"alienable","neutral",,"Pro",1,"134,136",,,,,88,,,FALSE,,"Head-Dependent"
340,,FALSE,"neutral","neutral",,"3Pro",1,"127","government",,TRUE,"Governed",248,"neutral","neutral",FALSE,,"Dependent-Head"
716,,FALSE,"neutral","neutral","juxtaposition","Adj",1,"",,"OK",FALSE,"Juxtaposition",1040,"neutral","neutral",FALSE,,"Dependent-Head"
681,,FALSE,"neutral","neutral","juxtaposition","Adj",1,"",,"OK",FALSE,"Juxtaposition",661,"neutral","neutral",FALSE,,"Dependent-Head"
128,,FALSE,"neutral","neutral",,,1,"455","mixed",,TRUE,"External-driven agr. + Governed",128,"neutral","neutral",FALSE,,
79,,FALSE,"neutral","neutral",,"Pro",1,"141","mixed",,TRUE,"Head-driven agr. + Governed",78,,,FALSE,,"Head-Dependent"
420,,FALSE,"neutral","neutral",,"N",1,"210","mixed",,TRUE,"Head-driven agr. + Governed",335,"neutral","neutral",FALSE,,"Head-Dependent"
2172,,FALSE,"neutral","neutral","juxtaposition","Adj",1,"",,"OK",FALSE,"Juxtaposition",797,"neutral","neutral",FALSE,,"Dependent-Head"
505,,TRUE,"inalienable","kin terms",,"N_or_Pro",1,"584,586","agreement/class marker",,TRUE,"Dep-driven agreement",392,"neutral","neutral",TRUE,"friend","Dependent-Head"
176,,FALSE,"neutral","neutral",,"N_or_Pro",1,"419","agreement/class marker",,TRUE,"Dep-driven agreement",179,"neutral","neutral",FALSE,,
36,,,,,,"N_or_Pro",1,"155",,,,,42,,,FALSE,,
518,,FALSE,"neutral","neutral",,"N_or_Pro",1,"681","government",,TRUE,"Governed",441,"neutral","neutral",FALSE,,"Dependent-Head"
80,,TRUE,"alienable","neutral","juxtaposition","N",1,"",,,FALSE,"Juxtaposition",80,,,FALSE,,"Head-Dependent"
63,,TRUE,"inalienable","body parts,kin terms",,,2,"","agreement/class marker",,TRUE,"Dep-driven agreement",543,,,TRUE,,
210,,TRUE,"alienable","neutral",,"N_or_Pro",1,"235,236","mixed",,TRUE,"External-driven agr. + Governed",218,,,FALSE,,
77,,FALSE,"neutral","neutral",,"N",1,"516",,,,,356,"neutral","neutral",FALSE,,"Head-Dependent"
191,,TRUE,"inalienable","kin terms",,,1,"178","agreement/class marker",,TRUE,"Dep-driven agreement",199,,,TRUE,"More precisely, this is non-reciprocal kin terms.","Dependent-Head"
171,,FALSE,"neutral","neutral","nominalization","Adj,N_or_Pro,S",1,"525",,"OK",TRUE,"Attributive nominalizer",365,"neutral","neutral",FALSE,,"Dependent-Head"
74,,FALSE,"neutral","neutral",,"N",1,"125","government",,TRUE,"Governed",69,"referentiality","high-indexability",FALSE,,"Dependent-Head"
635,,TRUE,"inalienable","kin terms",,"Pro",1,"","agreement/class marker",,TRUE,"Dep-driven agreement",811,,,TRUE,,"Dependent-Head"
424,,FALSE,"neutral","neutral",,"N_or_Pro",1,"258,337",,,,,342,,,FALSE,,
59,,TRUE,"inalienable","body parts,kin terms",,"N_or_Pro",2,"589","agreement/class marker",,TRUE,"Dep-driven agreement",394,"neutral","neutral",TRUE,"“a few personal possessions”","Head-Dependent"
500,,FALSE,"neutral","neutral",,"N_or_Pro",1,"524","construct markers",,TRUE,"Class/poss. noun",363,"neutral","neutral",FALSE,,"Dependent-Head"
367,,TRUE,"alienable","neutral",,"N_or_Pro",1,"189",,,,,281,,,FALSE,,
139,,FALSE,"neutral","neutral",,"Adj",1,"","mixed","OK",TRUE,"HDAgr+NMLZ",1028,"pragmatic","specific",FALSE,,"Dependent-Head"
702,,FALSE,"neutral","neutral","construct","Adj",1,"","construct markers","ungrammatical",TRUE,"Anti-construct state",675,,,FALSE,,"Dependent-Head"
461,,TRUE,"inalienable","kin terms",,,1,"","agreement/class marker",,TRUE,"Dep-driven agreement",1045,,,TRUE,,
390,,TRUE,"alienable","neutral",,,1,"245",,,,,302,,,FALSE,,
138,,,,,,"Pro",1,"174","agreement/class marker",,TRUE,"Dep-driven agreement",144,,,FALSE,,
409,,TRUE,"inalienable","kin terms",,,1,"","agreement/class marker",,TRUE,"Dep-driven agreement",563,,,TRUE,,
133,,TRUE,"alienable","neutral",,"N_or_Pro",1,"",,,,,136,,,FALSE,,"Head-Dependent"
493,,TRUE,"inalienable","kin terms,meronyms","juxtaposition",,2,"",,,FALSE,"Juxtaposition",389,,,TRUE,,
205,,TRUE,"default",,,"N",1,"365","government",,TRUE,"Governed",211,,,FALSE,,"Dependent-Head"
2016,,FALSE,"neutral","neutral","construct","Adj",1,"1570","construct markers",,TRUE,"Anti-construct state",1042,"neutral","neutral",FALSE,,"Dependent-Head"
415,,,,,,"N",1,"",,,,,331,,,FALSE,,"Dependent-Head"
179,,TRUE,"inalienable","kin terms",,"N_or_Pro",1,"228,229","mixed",,TRUE,"Head-driven agr. + Governed",187,,,TRUE,,
367,,TRUE,"inalienable","kin terms",,"Pro",1,"188",,,,,282,,,TRUE,"a few others","Dependent-Head"
198,,TRUE,"inalienable","kin terms",,"N_or_Pro",1,"233",,,,,203,,,TRUE,,
585,,TRUE,"inalienable","kin terms,meronyms",,"N",2,"",,,,,75,,,TRUE,,"Head-Dependent"
208,,TRUE,"inalienable","kin terms",,,1,"717","agreement/class marker",,TRUE,"Dep-driven agreement",467,,,TRUE,,
71,,TRUE,"inalienable","kin terms,meronyms","juxtaposition","N_or_Pro",2,"",,,FALSE,"Juxtaposition",67,,,TRUE,,"Dependent-Head"
171,,FALSE,"neutral",,"juxtaposition","Adj,Pro",0,"",,,FALSE,"Juxtaposition",366,,,,,"Dependent-Head"
405,,TRUE,"alienable","neutral",,"Pro",1,"252",,,,,320,,,FALSE,,
1343,,,,,"juxtaposition","Adj",0,"",,,FALSE,"Juxtaposition",948,,,,,"Dependent-Head"
512,,TRUE,"alienable",,"construct","N_or_Pro",0,"447","construct markers",,TRUE,"Construct state",21,,,,,"Dependent-Head"
423,,TRUE,"inalienable","meronyms",,"N",1,"361",,,,,340,,,TRUE,,"Dependent-Head"
35,,FALSE,"neutral","neutral",,"N_or_Pro",1,"395,396","mixed",,TRUE,"Dep-driven agr. + Governed",40,"pragmatic","specific",FALSE,,"Dependent-Head"
193,,TRUE,"inalienable","kin terms",,,1,"","agreement/class marker",,TRUE,"Dep-driven agreement",521,,,TRUE,,"Free"
391,,TRUE,"inalienable","meronyms",,"N_or_Pro",1,"","agreement/class marker",,TRUE,"External-driven agreement",303,,,TRUE,,
159,,TRUE,"alienable","neutral",,"Pro",1,"302,303","mixed",,TRUE,"Pronomin. agr. + Construct state",161,,,FALSE,,
78,,,,,,"Num,Quant",0,"1395","government","OK",TRUE,"Modifier-governed case",579,,,,,"Dependent-Head"
585,,TRUE,"alienable","neutral",,"N_or_Pro",1,"516","government",,TRUE,"Governed",76,,,FALSE,,"Pronoun-Head; Head-Noun"
23,,,,,"construct","N",0,"276","construct markers",,TRUE,"Construct state",25,,,,,"Head-Dependent"
502,,FALSE,"neutral","neutral",,"N_or_Pro",1,"504","agreement/class marker",,TRUE,"Dep-driven agreement",349,"pragmatic","non-specific",FALSE,,"Dependent-Head"
139,,FALSE,"neutral","neutral",,"N",1,"341,342","mixed",,TRUE,"Dep-driven agr. + Governed",147,,,FALSE,,"Possessor-Head-Poss.word"
648,,TRUE,"alienable",,,"N_or_Pro",0,"","agreement/class marker",,TRUE,"Dep-driven agreement",515,,,,"exs. include kin terms, body parts, and a few others","Dependent-Head"
2393,,FALSE,"neutral","neutral","juxtaposition","Adj",1,"",,"OK",FALSE,"Juxtaposition",798,"neutral","neutral",FALSE,,"Dependent-Head"
502,,FALSE,"neutral","neutral","juxtaposition","Adj",1,"",,"OK",FALSE,"Juxtaposition",605,"neutral","neutral",FALSE,,"Dependent-Head"
712,,FALSE,"neutral","neutral",,"N",1,"","government",,TRUE,"Governed",685,,,FALSE,,"Dependent-Head"
608,,,,"neutral",,"N",1,"1526,1527","mixed",,TRUE,"Dep-driven agr. + Governed",609,"referentiality","animate",FALSE,,"Possessor-Head-Poss.word"
384,,FALSE,"neutral","neutral","juxtaposition",,1,"",,,FALSE,"Juxtaposition",347,"neutral","neutral",FALSE,,"Head-Dependent"
61,,TRUE,"alienable",,,"N",0,"649,650","mixed",,TRUE,"Dep-driven agr. + Governed",426,,,,,"Head-Dependent"
1957,,FALSE,"neutral","neutral","juxtaposition","Adj",1,"",,"OK",FALSE,"Juxtaposition",688,"neutral","neutral",FALSE,,"Dependent-Head"
167,,TRUE,"inalienable","kin terms",,"N_or_Pro",1,"310",,,,,171,,,TRUE,,
1181,,,,,"juxtaposition","Adj",0,"",,,FALSE,"Juxtaposition",695,,,,,
3003,,,,,"agreement","Adj",0,"","agreement/class marker",,TRUE,"Head-driven agreement",923,,,,,
200,,FALSE,"neutral",,,"N_or_Pro",0,"","agreement/class marker",,TRUE,"Dep-driven agreement",512,,,,,"Dependent-Head"
423,,,,,,"Adj",0,"",,"ungrammatical",,"Incorporation",1041,,,,,
527,,,,,"nominalization","Adj",0,"",,,TRUE,"Attributive nominalizer",1004,,,,,
2662,,,,,"juxtaposition","N",0,"",,,FALSE,"Juxtaposition",760,,,,,"Dependent-Head"
409,,TRUE,"alienable",,,,0,"","government",,TRUE,"Governed",562,,,,,
129,,,,,,"N",0,"","government",,TRUE,"Governed",657,,,,,"Dependent-Head"
717,,FALSE,"neutral","neutral","juxtaposition","Adj",1,"",,"OK",FALSE,"Juxtaposition",690,"neutral","neutral",FALSE,,"Dependent-Head"
188,,FALSE,"neutral",,,"N",0,"1534","agreement/class marker",,TRUE,"Pronominal agreement",620,,,,,"Head-Dependent"
129,,,,,"juxtaposition","Adj,PTCP",0,"",,,FALSE,"Juxtaposition",644,,,,,"Dependent-Head"
378,,TRUE,"alienable","neutral","juxtaposition","N_or_Pro",1,"",,,FALSE,"Juxtaposition",293,,,FALSE,,
56,,,"semantic","neutral",,"N_or_Pro",1,"345,346",,,,,55,"referentiality","human",FALSE,,
703,,FALSE,"neutral",,"construct","Adj",0,"","construct markers","ungrammatical",TRUE,"Anti-construct state",676,,,,,"Dependent-Head"
463,,FALSE,"neutral",,"juxtaposition","Adj",0,"",,,FALSE,"Juxtaposition",398,,,,,"Dependent-Head"
191,,TRUE,"default",,,"N_or_Pro",0,"","construct markers",,TRUE,"Class/poss. noun",532,,,,,
20,,TRUE,"alienable","neutral",,"N_or_Pro",1,"","government",,TRUE,"Governed",14,,,FALSE,,"Dependent-Head"
133,,TRUE,"alienable","neutral",,"Pro",1,"171",,,,,137,,,FALSE,,"Head-Dependent"
564,,TRUE,"alienable","neutral",,,1,"488","government",,TRUE,"Governed",245,"neutral","neutral",FALSE,,"Head-Dependent"
707,,FALSE,"neutral","neutral","juxtaposition","Adj",1,"",,"OK",FALSE,"Juxtaposition",1031,"neutral","neutral",FALSE,,"Dependent-Head"
613,,,,,"juxtaposition","Adj,N_or_Pro,V",0,"",,,FALSE,"Juxtaposition",795,,,,,"Head-Dependent"
2016,,FALSE,"neutral","neutral","juxtaposition","Adj",1,"",,,FALSE,"Juxtaposition",721,"neutral","neutral",FALSE,,"Dependent-Head"
47,,TRUE,"default",,,"N_or_Pro",0,"661","agreement/class marker",,TRUE,"Dep-driven agreement",434,,,,,"Head-Dependent"
75,,TRUE,"alienable","neutral",,"N_or_Pro",1,"131","government",,TRUE,"Governed",73,,,FALSE,,"Dependent-Head"
384,,FALSE,"neutral","neutral",,,1,"500","government",,TRUE,"Governed",345,,,FALSE,,
701,,FALSE,"neutral","neutral","construct","Adj",1,"","construct markers","ungrammatical",TRUE,"Anti-construct state",674,,,FALSE,,"Dependent-Head"
340,,FALSE,"neutral","neutral",,"N",1,"127","government",,TRUE,"Governed",247,"neutral","neutral",FALSE,,"Head-Dependent"
420,,,,,"agreement","Adj",0,"","agreement/class marker",,TRUE,"Head-driven agreement",989,,,,,
1187,,,,,"agreement","Adj",0,"","agreement/class marker",,TRUE,"Head-driven agreement",928,,,,,
700,,,,,,"N_or_Pro",0,"","government","OK",TRUE,"Governed",666,,,,,"Dependent-Head"
348,,TRUE,"inalienable","body parts","juxtaposition","Pro",1,"",,,FALSE,"Juxtaposition",452,,,TRUE,,
418,,FALSE,"neutral",,,,0,"","government",,TRUE,"Governed",469,,,,,
440,,,,,"juxtaposition","Adj",0,"",,,FALSE,"Juxtaposition",987,,,,,
56,,FALSE,"neutral",,,"N_or_Pro",0,"348",,,,,54,,,,,
576,,TRUE,"inalienable","body parts",,"N",1,"493","agreement/class marker",,TRUE,"Dep-driven agreement",313,,,TRUE,,
505,,,,"neutral","juxtaposition","Adj",1,"",,,FALSE,"Juxtaposition",391,"neutral","neutral",FALSE,,"Head-Dependent"
35,,,,,"construct","Adj,DEM,S",0,"1597","construct markers",,TRUE,"Anti-construct state",767,,,,,
390,,TRUE,"inalienable","body parts",,,1,"247",,,,,301,,,TRUE,,
700,,FALSE,"neutral","neutral","juxtaposition","Adj",1,"1558",,"OK",FALSE,"Juxtaposition",1035,,,FALSE,,"Dependent-Head"
568,,TRUE,"alienable",,,"N_or_Pro",0,"660","government",,TRUE,"Governed",431,,,,,"Dependent-Head"
64,,,,,"juxtaposition","Adj,Num,Quant",0,"",,,FALSE,"Juxtaposition",704,,,,,"Head-Dependent"
51,,TRUE,"inalienable","body parts",,,1,"713","agreement/class marker",,TRUE,"Dep-driven agreement",460,,,TRUE,,
80,,,,,"agreement","Adj",0,"","agreement/class marker",,TRUE,"Head-driven agreement",979,,,,,
141,,FALSE,"neutral","neutral","juxtaposition","Art,Num",1,"",,,FALSE,"Juxtaposition",706,,,FALSE,,"Dependent-Head"
2416,,,,,"construct","Adj",0,"","construct markers",,TRUE,"Construct state",914,,,,,
137,,FALSE,"neutral",,,"N_or_Pro",0,"367",,,,,142,,,,,
737,,,,,,"N",0,"1539","agreement/class marker",,TRUE,"Dep-driven agreement",864,,,,,"Dependent-Head"
348,,TRUE,"alienable",,,"N_or_Pro",0,"","government",,TRUE,"Governed",450,,,,,"Dependent-Head"
350,,,,,,,1,"185",,,,,261,,,FALSE,,"Dependent-Head"
681,,,,,,"N",0,"",,,,,618,,,,,"Dependent-Head"
132,,FALSE,"neutral","neutral",,"N-proper",1,"604",,,TRUE,"Compound + Governed",408,"referentiality","human",FALSE,,"Dependent-Head"
207,,FALSE,"neutral",,"juxtaposition","N",0,"",,,FALSE,"Juxtaposition",214,,,,,"Dependent-Head"
466,,FALSE,"neutral","neutral","juxtaposition","Adj",1,"",,,FALSE,"Juxtaposition",423,"neutral","neutral",FALSE,,"Dependent-Head"
2572,,,,,"agreement","Adj",0,"","agreement/class marker",,TRUE,"Head-driven agreement",960,,,,,
325,,,,,"juxtaposition","Adj",0,"",,,FALSE,"Juxtaposition",911,,,,,
121,,TRUE,"alienable","neutral",,"N",1,"295",,,,,119,,,FALSE,,
21,,FALSE,"neutral",,,"N_or_Pro,Nv",0,"273","government",,TRUE,"Governed",17,,,,,"Dependent-Head"
611,,FALSE,"neutral","neutral","nominalization","Adj",1,"",,"OK",TRUE,"Attributive nominalizer",823,"pragmatic","specific",FALSE,,"Dependent-Head"
355,,,,,,"N",1,"325",,,,,264,,,FALSE,,
325,,FALSE,"neutral","neutral",,"Pro",1,"330","agreement/class marker",,TRUE,"Pronominal agreement",236,,,FALSE,,
134,,,,,"juxtaposition","N_or_Pro",1,"",,,FALSE,"Juxtaposition",138,,,FALSE,,"Dependent-Head"
27,,FALSE,"neutral",,"juxtaposition","N,Pro",0,"",,,FALSE,"Juxtaposition",527,,,,,"Dependent-Head"
343,,,,,,"N_or_Pro",1,"181",,,,,250,,,FALSE,,
130,,,,,"juxtaposition","Adj",1,"",,,FALSE,"Juxtaposition",790,"neutral","neutral",FALSE,,"Dependent-Head"
2774,,,,,,"N",0,"1563","government","OK",TRUE,"Governed",708,,,,,"Dependent-Head"
367,,TRUE,"default","neutral",,"N_or_Pro",1,"187",,,,,283,,,FALSE,,
212,,TRUE,"alienable","neutral",,"Pro",1,"179",,,,,221,,,FALSE,,
65,,TRUE,"alienable",,,"N",1,"",,,,,58,,,FALSE,,
134,,,,,,,1,"173","agreement/class marker",,TRUE,"Dep-driven agreement",139,,,FALSE,,"Dependent-Head"
679,,FALSE,"neutral","neutral","juxtaposition","Adj",1,"",,"OK",FALSE,"Juxtaposition",600,"neutral","neutral",FALSE,,"Dependent-Head"
170,,TRUE,"alienable","neutral",,"N",1,"222","government",,TRUE,"Governed",174,,,FALSE,,"Head-Dependent"
191,,TRUE,"alienable","neutral",,"Pro",1,"176","government",,TRUE,"Governed",198,,,FALSE,,
680,,FALSE,"neutral","neutral","juxtaposition","N",1,"",,,FALSE,"Juxtaposition",615,"referentiality","inanimate",FALSE,,"Dependent-Head"
374,,FALSE,"neutral","neutral","juxtaposition","Adj,N_or_Pro,V",1,"",,,FALSE,"Juxtaposition",403,"neutral","neutral",FALSE,,"Head-Dependent"
421,,FALSE,"neutral","neutral","construct","N",1,"328","construct markers",,TRUE,"Construct state",338,,,FALSE,,"Head-Dependent"
205,,FALSE,"neutral",,,"N_or_Pro",1,"364",,,,,213,,,FALSE,,"Dependent-Head"
98,,,,"neutral","agreement","Adj",1,"510","agreement/class marker",,TRUE,"Head-driven agreement",355,"neutral","neutral",FALSE,,"Dependent-Head"
709,,FALSE,"neutral","neutral","juxtaposition","Adj",1,"",,"OK",FALSE,"Juxtaposition",1029,"neutral","neutral",FALSE,,"Dependent-Head"
16,,TRUE,"alienable","neutral",,"N_or_Pro",1,"212",,,,,12,,,FALSE,,
138,,,,,,"N",1,"175","government",,TRUE,"Governed",143,,,FALSE,,
571,,FALSE,"neutral","neutral",,"Pro",1,"426","government",,TRUE,"Governed",279,,,FALSE,,"Head-Dependent"
711,,FALSE,"neutral","neutral",,"N",1,"","government",,TRUE,"Governed",686,,,FALSE,,"Dependent-Head"
355,,,,,,"Pro",1,"324",,,,,265,,,FALSE,,
38,,TRUE,"alienable","neutral",,"N",1,"157",,,,,43,,,FALSE,,
111,,FALSE,"neutral",,,"N",1,"291",,,,,107,,,FALSE,,"Dependent-Head"
358,,,,,,"N_or_Pro",1,"186",,,,,267,,,FALSE,,
502,,,,"neutral","nominalization","Adj",1,"",,"OK",TRUE,"Attributive nominalizer",820,"pragmatic","specific",FALSE,,"Dependent-Head"
408,,FALSE,"neutral","neutral",,"N_or_Pro",1,"255,256","mixed",,TRUE,"Head-driven agr. + Governed",330,"referentiality","animate",FALSE,,
501,,FALSE,"neutral","neutral",,"N_or_Pro",1,"505","government",,TRUE,"Governed",194,"neutral","neutral",FALSE,,"Dependent-Head"
2885,,,,,"agreement","Adj",0,"","agreement/class marker",,TRUE,"Head-driven agreement",915,,,,,
38,,TRUE,"alienable","neutral",,"Pro",1,"156",,,,,44,,,FALSE,,
33,,,,,,"N_or_Pro",1,"154",,,,,37,"neutral","neutral",FALSE,,"Dependent-Head"
74,,FALSE,"neutral","neutral",,"Pro",1,"374","government",,TRUE,"Governed",71,"neutral","neutral",FALSE,,"Dependent-Head"
676,,,,"neutral",,"S",1,"1574,1576",,,,,732,,,FALSE,,"Head-Dependent"
381,,TRUE,"alienable","neutral",,"N_or_Pro",1,"",,,,,295,,,FALSE,,
199,,TRUE,"inalienable","kin terms","juxtaposition","N_or_Pro",1,"",,,FALSE,"Juxtaposition",206,"neutral","neutral",TRUE,,"Dependent-Head"
148,,TRUE,"alienable","neutral","juxtaposition","N_or_Pro",1,"",,,FALSE,"Juxtaposition",155,,,FALSE,,"Dependent-Head"
