"LID","NPAgrCat","NPAlienability.Presence","NPAlienabilityType","NPHeadSemConstraints","NPMarking.binned5","NPDepCatConstraints","NPHeadSemClassSize.n","NPMarkersLabel","NPMarking.binned4","NPHeadlessness","NPMarking.overt.Presence","NPMarking","NPLabel","NPDepSemConstraints.binned4","NPDepSemConstraints","NPHeadSemConstraints.Presence","NPHeadSemSpecial","NPWordOrder"
40,"Gender,Number,Person",FALSE,"neutral",,"agreement",,0,"130","agreement/class marker",,TRUE,"Modifier-headed possessor agreement",586,,,,,"Dependent-Head"
534,"Gender,Number",,,,,"Adj",0,"",,,,"Head-driven agr. + Construct state",846,,,,,"Head-Dependent"
711,"Gender,Number,Referential",FALSE,"neutral","neutral",,"Adj,Ord,PTCP",1,"","mixed","OK",TRUE,"ACAgr+HDAgr",683,"pragmatic","specific",FALSE,,"Dependent-Head"
677,"Gender,Number,Referential",FALSE,"neutral","neutral",,"Adj,Ord,PTCP",1,"","mixed","OK",TRUE,"ACAgr+HDAgr",601,"pragmatic","specific",FALSE,,"Dependent-Head"
710,"Gender,Number,Referential",,,"neutral",,"Adj,Ord,PTCP",1,"","mixed",,TRUE,"ACAgr+HDAgr",819,"pragmatic","specific",FALSE,,"Dependent-Head"
361,"Gender,Number",,,,"agreement","Adj",0,"","agreement/class marker",,TRUE,"Head-driven agreement",274,,,,,"Head-Dependent"
493,"Gender,Number",,,,"agreement","Adj",0,"","agreement/class marker",,TRUE,"Head-driven agreement",847,,,,,"Dependent-Head"
677,"Gender,Number",FALSE,"neutral","neutral","agreement","Adj",1,"","agreement/class marker","OK",TRUE,"Head-driven agreement",698,"pragmatic","non-specific",FALSE,,"Dependent-Head"
2372,"Gender,Number,Role",,,,,"Adj",0,"","mixed",,TRUE,"HDAgr+NMLZ",909,,,,,"Head-Dependent"
79,"Gender,Number",FALSE,"neutral",,"agreement","Adj",0,"","agreement/class marker",,TRUE,"Head-driven agreement",753,,,,,"Head-Dependent"
21,"Gender,Number,Person",FALSE,"neutral",,,"N_or_Pro",1,"274","agreement/class marker",,TRUE,"Dep-driven agreement",18,,,FALSE,,"Dependent-Head"
378,"Gender,Number",,,,"agreement","Adj",0,"","agreement/class marker",,TRUE,"Head-driven agreement",784,,,,,"Dependent-Head"
49,"Gender,Role",,,,"agreement","Adj",0,"1544","agreement/class marker",,TRUE,"Head-driven agreement",634,,,,,"Dependent-Head"
2033,"Gender,Number,Referential",,,,"agreement","Adj",0,"","agreement/class marker",,TRUE,"Head-driven agreement",771,,,,,"Head-Dependent"
712,"Gender,Number,Referential",FALSE,"neutral","neutral","agreement","Adj",1,"","agreement/class marker","OK",TRUE,"Head-driven agreement",700,"pragmatic","non-specific",FALSE,,"Dependent-Head"
21,"Gender,Number,Person",FALSE,"neutral","specific",,,1,"274",,"OK",,,584,,,TRUE,,"Dependent-Head"
