"LID","VInflClassification.Position","VInflEvidential.Position","VInflInter_clausal.Position","VInflNP_related.Position","VInflNumber.Position","VInflOperators.Position","VInflPerson.Position","VInflPragmatic.Position","VInflRole.Position","VInflTAM.Position","VInflValence.Position"
703,,,,,,"post",,,,,"post"
709,,,,,,"prae",,,,"post","post"
710,,,,,,,,,,"post (in)",
722,,,,,,"prae",,,,"prae",
722,,,,,,,,,,"post",
723,,,,,,"prae",,"in",,"in",
723,,,,,,,,,,"post",
724,,,,,,"prae",,,,"post",
725,,,,,,,,,,"post","prae (post)"
730,,,,,,,,,,"post",
735,,,,,,"post",,,,"post",
767,,"post",,,,"post",,,,"post",
780,,,,,"prae","post",,,,"post","post"
786,,,,,,"prae",,,,"post","post"
790,,,,,,,,,,"post",
838,,,,,,"prae",,"in",,"in",
838,,,,,,,,,,"post",
844,,,,,,,,,,"prae",
885,,,,,"post","post",,"post",,"post","prae"
885,,,,,,,,,,,"post"
917,,,,,,"post",,,,,
942,,,,,"in","post",,,,"post",
975,,,"post",,"in",,,,,"prae","circum"
975,,,,,,,,,,"post","prae"
975,,,,,,,,,,,"post"
1004,,"post",,,,"prae",,,,"post","post"
1067,,,,,,,,,,"post",
1108,,,,,"prae",,,"post",,"prae","prae"
1108,,,,,,,,,,"post",
1130,,,,,,,,,,"post",
1140,,,,,,,,,,"post","prae"
1140,,,,,,,,,,,"post"
1203,,"post",,,"prae",,,,,"post",
1203,,,,,"post",,,,,,
1317,,,,,,"prae",,,,"post",
1363,,,,,"prae",,,,,"post",
1363,,,,,"post",,,,,,
1364,,,,,,,,"post",,"post",
1364,,,,,"in",,,,,,
1376,,,,,,"post",,,,"in/post",
1385,,,,,"post",,,"post",,"post","post"
1388,,,,,,"prae",,,,"post","post"
1395,,,,,,,,,,"post",
1399,,"post",,,,,,,,"post (in)","post"
1399,,,,,,,,,,"prae",
1440,,,,,,,,,,"post (in)",
1480,,"post",,,,"post",,,,"post","post"
1531,,,"post",,,"post",,,,"post","post"
1542,,"post",,,,"post",,,,"post",
1623,,,,,"in",,,,"post","post","post"
1694,,,,,,"prae",,"post",,"prae",
1694,,,,,,,,,,"in/prae",
1765,,,,,,,,,,"prae",
1772,,,,,,,,,,"post","post"
1775,,,,,,"prae",,,,"post",
1778,,,,,,"prae",,,,"post",
1807,,"post",,,"in",,,,,"post","post"
1816,,,,,,"post",,,,,
1816,,,,,,,,,,"in",
1840,,,,,,"post",,,,"post",
1889,,,,,,"prae",,,,,
1890,,,,,,,,,,"post",
1914,,,,,,"post",,"prae",,"post",
1914,,,,,,,,"in",,,
1954,,"post","prae/post","post",,"prae",,,,"post",
1964,,"post",,,,"post",,,,"post","post"
2015,,,,,"post","post",,,,"post","post"
2020,,,,"prae",,"post",,,,"prae/post","prae"
2020,,,,,,,,,,"post",
2024,,,,,,"prae",,,,"prae/post",
2024,,,,,,,,,,"post",
2024,,,,,,,,,,"prae",
2050,,,,,"post","prae",,,,"prae","prae"
2081,,,,,,,,,,"post","post"
2172,,"post",,,,,,,,"in","post"
2172,,,,,,,,,,"post",
2180,,,,,,"post",,,,"post","prae"
2186,,,,,,"post",,,,"post",
2196,,,,,,"prae",,,,"post",
2217,,,,,,,,"prae","prae","prae/in/post",
2217,,,,,,,,,,"post",
2330,,,,,,"prae",,,,"prae/post","post"
2330,,,,,,,,,,"post",
2360,,,"post",,,"prae/circum",,,,"post",
2388,,,,,,"post",,,,"in",
2388,,,,,,,,,,"post",
2393,,,,,,,,,,"circum (post)","post"
2393,,,,,,,,,,"post",
2412,,"post",,,,"prae",,"prae",,"prae","prae"
2412,,,"post",,,,,,,,
2447,,,,,,"prae",,,,"prae/post",
2447,,,,,,,,,,"post",
2456,,,"post",,,,,"post",,"post","in"
2471,,,,,,,,,,"prae/post",
2471,,,,,,,,,,"post",
2508,,,,,,"post",,,,"post",
2513,,,"post",,,"circum",,,,"post","post"
2514,,"post","post",,,"post",,,,"post","in"
2514,,,,,,,,,,"prae","prae/post"
2514,,,,,,,,,,,"prae"
2564,,,,,"post",,,,"post","prae","post"
2564,,,,,,,,,,"post",
2572,,"post",,,"in",,,,,"post","post"
2577,,,,,,"in",,,,"in","post"
2617,,,,,,"prae",,,,"post",
2657,,,,,,,,,,"post","post"
2662,,,,,"post","post",,"post",,"post","post"
2672,,,,,,,,,,"post",
2716,,,,,,"prae",,,,"post",
2716,,,,,,,,,,"prae/post",
2824,,,,,,"prae/post",,"in",,"in",
2824,,,,,,,,,,"post",
2826,,"post",,,,"prae",,"prae","post","in","post"
2826,,,,,,,,,,"post",
2828,,,,,,"post",,,,"post",
2831,,,,,,,,,,"post",
2831,,,,,,,,,,"prae/in/post",
2831,,,,,,,,,,"prae",
2832,,,,,,,,,,"post","in"
2833,,,,,,,,,,"in/post",
2854,,,,,,,,,,"post (in)",
2854,,,,,,,,,,"post",
2855,,,,,,,,,,"post (in)",
2855,,,,,,,,,,"post",
2856,,,,,,"prae/post",,,,"in/post","post"
2856,,,,,,,,,,"post",
2871,,,,,,"prae/post",,"post",,,
2873,,,,,,"circum",,,,"post",
2893,,,,,,,,,,"post",
2900,,,,,,,,,,"post","post"
2916,,,,,,"prae",,,,"post","post"
2936,,,,,,,,,,"post",
2944,,,,,,"post",,,,"post",
2949,,"post",,,"post","prae",,"prae","post","in","post"
2949,,,,,,,,,,"post",
2951,,,,,"post","post",,"prae",,"post","prae"
2984,,,,,,"post",,,,"post",
2987,,,,,,"post",,,,"in",
2987,,,,,,,,,,"post",
3006,,,,,,,,"post",,"post","post"
3015,,,,,"prae","post",,,,"post",
3032,,,,,,"post",,,,"post",
3101,,,,,,"prae",,,,"in/post","in/post"
3101,,,,,,,,,,"prae",
3143,,,,,,,,"post",,"post","post"
3173,,,,,,"prae",,"post",,"post","post"
3213,,,"in/post",,,"prae",,,,"post",
3213,,,,,,,,,,"prae",
3229,,,,,,"prae/post",,,,"prae/post",
3239,,,,,"post",,,"prae",,"prae","prae"
3239,,,,,,,,,,"post","post"
3240,,"post",,,"post","post",,"post",,"prae","prae"
3240,,,,,,,,,,"post","post"
3243,,,,,,"prae",,,,"post",
3243,,,,,,,,,,"prae",
3272,,,,,,"prae",,,,"post",
3278,,,,,,"prae",,,"prae","prae",
3298,,,,,,"prae",,,,"post",
3301,,,,,,"prae",,,,,
3311,,,,,,,,"prae",,"prae",
3312,,,,,,"prae",,,,"post",
3312,,,,,,,,,,"prae",
3313,,,,,,"prae",,"prae",,"prae",
3315,,,,,,"prae/circum",,,,"prae","prae"
3318,,"post",,,,"post",,,,"post",
3326,,,,,,,,"prae",,"prae",
3331,,,,,,"prae",,"prae",,"prae",
