"LID","LocusA.binned6","Locus.A.default.binned6","Locus.A.default.if.N.binned6","Locus.A.default.if.N_or_Pro.binned6","Locus.A.default.elsewhere.binned6","Locus.A.default.if.Pro.binned6","Locus.A.default.if.SAP.binned6","Locus.A.exp.binned6","Locus.A.poss.binned6","Locus.Act.binned6","Locus.ATTR.default.binned6","Locus.ATTR.default.elsewhere.binned6","Locus.B.ben.binned6","Locus.B.default.binned6","Locus.B.default.elsewhere.binned6","Locus.B.default.if.Pro.binned6","Locus.B.rec.binned6","Locus.G.default.binned6","Locus.I.default.binned6","LocusP.binned6","Locus.Pat.binned6","LocusPOSS.binned6","Locus.POSS.default.binned6","Locus.POSS.default.if.1PERS.binned6","Locus.POSS.default.if.N.binned6","Locus.POSS.default.if.N.alien.binned6","Locus.POSS.default.if.N.inal.binned6","Locus.POSS.default.if.N.kin.binned6","Locus.POSS.default.if.N_or_Pro.binned6","Locus.POSS.default.elsewhere.binned6","Locus.POSS.default.if.Pro.binned6","LocusS.binned6","Locus.S.default.binned6","Locus.S.default.if.N_or_Pro.binned6","Locus.S.default.elsewhere.binned6","Locus.S.default.if.Pro.binned6","Locus.S.default.if.SAP.binned6","Locus.T.def.binned6","Locus.T.default.binned6","Locus.T.default.elsewhere.binned6","Locus.T.emp.binned6","Locus.U.def.binned6","Locus.U.default.binned6","Locus.U.default.if.1PERS.binned6","Locus.U.default.if.N.binned6","Locus.U.default.elsewhere.binned6","Locus.U.default.if.Pro.binned6","Locus.U.default.if.SAP.binned6","Locus.U.emp.binned6","Locus.U.ref.binned6","Locus.U.stim.binned6","LocusAandP.dm.Presence","LocusAandP.hm.Presence","LocusA.dm.Presence","LocusA.hm.Presence","LocusAorP.dm.Presence","LocusAorP.hm.Presence","LocusARG.dm.Presence","LocusP.dm.Presence","LocusP.hm.Presence","LocusPOSS.dm.Presence","LocusPOSS.hm.Presence","LocusSandA.dm.Presence","LocusSandA.hm.Presence","LocusS.dm.Presence","LocusS.hm.Presence","LocusA","Locus.A.default","Locus.A.default.if.N","Locus.A.default.if.N_or_Pro","Locus.A.default.elsewhere","Locus.A.default.if.Pro","Locus.A.default.if.SAP","Locus.A.exp","Locus.A.poss","Locus.Act","LocusARG.hm.Presence","Locus.ATTR.default","Locus.ATTR.default.elsewhere","Locus.B.ben","Locus.B.default","Locus.B.default.elsewhere","Locus.B.default.if.Pro","Locus.B.rec","Locus.G.default","Locus.I.default","LocusP","Locus.Pat","LocusPOSS","Locus.POSS.default","Locus.POSS.default.if.1PERS","Locus.POSS.default.if.N.alien","Locus.POSS.default.if.N.inal","Locus.POSS.default.if.N.kin","Locus.POSS.default.if.N","Locus.POSS.default.if.N_or_Pro","Locus.POSS.default.elsewhere","Locus.POSS.default.if.Pro","LocusS","Locus.S.default","Locus.S.default.if.N_or_Pro","Locus.S.default.elsewhere","Locus.S.default.if.Pro","Locus.S.default.if.SAP","Locus.T.def","Locus.T.default","Locus.T.default.elsewhere","Locus.T.emp","Locus.U.def","Locus.U.default","Locus.U.default.if.1PERS","Locus.U.default.if.N","Locus.U.default.elsewhere","Locus.U.default.if.Pro","Locus.U.default.if.SAP","Locus.U.emp","Locus.U.ref","Locus.U.stim","LocusA.binned5","Locus.A.default.binned5","Locus.A.default.if.N.binned5","Locus.A.default.if.N_or_Pro.binned5","Locus.A.default.elsewhere.binned5","Locus.A.default.if.Pro.binned5","Locus.A.default.if.SAP.binned5","Locus.A.exp.binned5","Locus.A.poss.binned5","Locus.Act.binned5","Locus.ATTR.default.binned5","Locus.ATTR.default.elsewhere.binned5","Locus.B.ben.binned5","Locus.B.default.binned5","Locus.B.default.elsewhere.binned5","Locus.B.default.if.Pro.binned5","Locus.B.rec.binned5","Locus.G.default.binned5","Locus.I.default.binned5","LocusP.binned5","Locus.Pat.binned5","LocusPOSS.binned5","Locus.POSS.default.binned5","Locus.POSS.default.if.1PERS.binned5","Locus.POSS.default.if.N.binned5","Locus.POSS.default.if.N.alien.binned5","Locus.POSS.default.if.N.inal.binned5","Locus.POSS.default.if.N.kin.binned5","Locus.POSS.default.if.N_or_Pro.binned5","Locus.POSS.default.elsewhere.binned5","Locus.POSS.default.if.Pro.binned5","LocusS.binned5","Locus.S.default.binned5","Locus.S.default.if.N_or_Pro.binned5","Locus.S.default.elsewhere.binned5","Locus.S.default.if.Pro.binned5","Locus.S.default.if.SAP.binned5","Locus.T.def.binned5","Locus.T.default.binned5","Locus.T.default.elsewhere.binned5","Locus.T.emp.binned5","Locus.U.def.binned5","Locus.U.default.binned5","Locus.U.default.if.1PERS.binned5","Locus.U.default.if.N.binned5","Locus.U.default.elsewhere.binned5","Locus.U.default.if.Pro.binned5","Locus.U.default.if.SAP.binned5","Locus.U.emp.binned5","Locus.U.ref.binned5","Locus.U.stim.binned5"
116,"2","2",,,,,,,,,,,,"2",,,,,,"2",,,,,,,,,,,,,,,,,,,,,,,"2",,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,FALSE,FALSE,FALSE,FALSE,"H+D","H+D",,,,,,,,,TRUE,,,,"H+D",,,,,,"H+D",,,,,,,,,,,,,,,,,,,,,,,"H+D",,,,,,,,,"2","2",,,,,,,,,,,,"2",,,,,,"2",,,,,,,,,,,,,,,,,,,,,,,"2",,,,,,,,
118,"D","D",,,,,,,,,"Ø",,,"D",,,,,,"D",,"D","D",,,,,,,,,"D","D",,,,,,,,,,"D",,,,,,,,,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,"D","D",,,,,,,,,FALSE,"Ø",,,"D",,,,,,"D",,"D","D",,,,,,,,,"D","D",,,,,,,,,,"D",,,,,,,,,"D","D",,,,,,,,,"Ø",,,"D",,,,,,"D",,"D","D",,,,,,,,,"D","D",,,,,,,,,,"D",,,,,,,,
119,"2","2",,,,,,,,,,,,,,,,,,"2",,"2","2",,,,,,,,,"2","2",,,,,,,,,,"2",,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"H+D","H+D",,,,,,,,,TRUE,,,,,,,,,,"H+D",,"H+D","H+D",,,,,,,,,"H+D","H+D",,,,,,,,,,"H+D",,,,,,,,,"2","2",,,,,,,,,,,,,,,,,,"2",,"2","2",,,,,,,,,"2","2",,,,,,,,,,"2",,,,,,,,
123,"2","2",,,,,,,,,,,,"D",,,,,,"2",,"D","D",,,,,,,"H",,"2","2",,,,,,,,,,"2",,,"2",,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"H+D","H+D",,,,,,,,,TRUE,,,,"D",,,,,,"H+d",,"D","D",,,,,,,"H",,"H+D","H+D",,,,,,,,,,"H+d",,,"h+D",,,,,,"2","2",,,,,,,,,,,,"D",,,,,,"H",,"D","D",,,,,,,"H",,"2","2",,,,,,,,,,"H",,,"D",,,,,
125,"H","H",,,"2",,,,,,,"Ø",,,,,,,,"H",,"H","H",,,,,,,,,"H","H",,,,,,,,,,"H",,,,,,,,,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,"H","H",,,"H+d",,,,,,TRUE,,"Ø",,,,,,,,"H",,"H","H",,,,,,,,,"H","H",,,,,,,,,,"H",,,,,,,,,"H","H",,,"H",,,,,,,"Ø",,,,,,,,"H",,"H","H",,,,,,,,,"H","H",,,,,,,,,,"H",,,,,,,,
126,"2","2",,,,,,,,,,,,,,,,,,"2",,"H","H",,,,,,,"D",,"2","2",,,,,,,,,,"2",,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,"H+D","H+D",,,,,,,,,TRUE,,,,,,,,,,"H+D",,"H","H",,,,,,,"D",,"H+D","H+D",,,,,,,,,,"H+D",,,,,,,,,"2","2",,,,,,,,,,,,,,,,,,"2",,"H","H",,,,,,,"D",,"2","2",,,,,,,,,,"2",,,,,,,,
128,"D","D",,,,,,,,,"D",,,"D",,,,,,"D",,"D","D",,,,,,,,,"D","D",,,,,,"D",,,,"D",,,,,,,,,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,"D","D",,,,,,,,,FALSE,"D",,,"D",,,,,,"D",,"Dd","Dd",,,,,,,,,"D","D",,,,,,"D",,,,"D",,,,,,,,,"D","D",,,,,,,,,"D",,,"D",,,,,,"D",,"D","D",,,,,,,,,"D","D",,,,,,"D",,,,"D",,,,,,,,
129,"H","H",,,,,,,,,"Ø",,,"D",,,,,,"H",,"H","H",,,,,,,,,"H","H",,,,,,,,,,"H",,,,,,,,,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,"H","H",,,,,,,,,TRUE,"Ø",,,"D",,,,,,"H",,"H","H",,,,,,,,,"H","H",,,,,,,,,,"H",,,,,,,,,"H","H",,,,,,,,,"Ø",,,"D",,,,,,"H",,"H","H",,,,,,,,,"H","H",,,,,,,,,,"H",,,,,,,,
130,"2","2",,,,,,,,,"Ø",,,"D",,,,,,"D",,"D","D",,,,,,,,,"2","2",,,,,,"D",,,,"D",,,,,,,,,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"H+D","H+D",,,,,,,,,TRUE,"Ø",,,"D",,,,,,"D",,"D","D",,,,,,,,,"H+D","H+D",,,,,,"D",,,,"D",,,,,,,,,"2","2",,,,,,,,,"Ø",,,"D",,,,,,"D",,"D","D",,,,,,,,,"2","2",,,,,,"D",,,,"D",,,,,,,,
131,"Ø","Ø",,,,"D",,,,,"Ø",,,"D",,,,,,"H",,"D","D",,,,,,,,,"Ø","Ø",,,"D",,,,,,,"H",,,,"D",,,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Ø","Ø",,,,"D",,,,,TRUE,"Ø",,,"D",,,,,,"H",,"D","D",,,,,,,,,"Ø","Ø",,,"D",,,,,,,"H",,,,"D",,,,,"Ø","Ø",,,,"D",,,,,"Ø",,,"D",,,,,,"H",,"D","D",,,,,,,,,"Ø","Ø",,,"D",,,,,,,"H",,,,"D",,,,
132,"H","H",,,,,,,,,"Ø",,,"H",,,,,,"H",,"D on H","D on H",,,,,,,"Ø",,"H","H",,,,,,"H",,,,"H",,,,,,,,,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,"H","H",,,,,,,,,TRUE,"Ø",,,"H",,,,,,"H",,"d on h","d on h",,,,,,,"Ø",,"H","H",,,,,,"h",,,,"H",,,,,,,,,"H","H",,,,,,,,,"Ø",,,"H",,,,,,"H",,"FloatingorClitic","FloatingorClitic",,,,,,,"Ø",,"H","H",,,,,,"H",,,,"H",,,,,,,,
133,"D","D",,,,,,,,,"Ø",,,"D",,,,,,"D",,"Ø","Ø",,,,,,,,"D","Ø","Ø",,,,,,,,,,"D",,,,,,,,,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"D","D",,,,,,,,,FALSE,"Ø",,,"D",,,,,,"D",,"Ø","Ø",,,,,,,,"D","Ø","Ø",,,,,,,,,,"D",,,,,,,,,"D","D",,,,,,,,,"Ø",,,"D",,,,,,"D",,"Ø","Ø",,,,,,,,"D","Ø","Ø",,,,,,,,,,"D",,,,,,,,
134,"H","H",,,,,,,,,"Ø",,,"D",,,,,,"H",,"Ø","Ø",,,,,,,"D",,"H","H",,,,,,,,,,"H",,,,,,,,,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,"H","H",,,,,,,,,TRUE,"Ø",,,"D",,,,,,"H",,"Ø","Ø",,,,,,,"D",,"H","H",,,,,,,,,,"H",,,,,,,,,"H","H",,,,,,,,,"Ø",,,"D",,,,,,"H",,"Ø","Ø",,,,,,,"D",,"H","H",,,,,,,,,,"H",,,,,,,,
135,"2","2",,,,,,,,,"Ø",,,"2",,,,,,"2",,"H","H",,,,,,,,,"2","2",,,,,,,,,,"2",,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,"H+D","H+D",,,,,,,,,TRUE,"Ø",,,"H+D",,,,,,"H+D",,"H","H",,,,,,,,,"H+D","H+D",,,,,,,,,,"H+D",,,,,,,,,"2","2",,,,,,,,,"Ø",,,"2",,,,,,"2",,"H","H",,,,,,,,,"2","2",,,,,,,,,,"2",,,,,,,,
136,"H","H",,,,,,,,,"Ø",,,"D",,,,,,"Ø",,"Ø","Ø",,,,,"H",,,,"H","H",,,,,,,,,,"Ø",,,,"D",,,,,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,"H","H",,,,,,,,,TRUE,"Ø",,,"D",,,,,,"Ø",,"Ø","Ø",,,,"H",,,,,"H","H",,,,,,,,,,"Ø",,,,"D",,,,,"H","H",,,,,,,,,"Ø",,,"D",,,,,,"Ø",,"Ø","Ø",,,,,"H",,,,"H","H",,,,,,,,,,"Ø",,,,"D",,,,
138,"H","H",,,,,,,,,"Ø",,,,,,,,,"Ø",,"D","D",,,,,,,,"H","H","H",,,,,,,,,,"Ø",,,,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,"H","H",,,,,,,,,TRUE,"Ø",,,,,,,,,"Ø",,"D","D",,,,,,,,"H","H","H",,,,,,,,,,"Ø",,,,,,,,,"H","H",,,,,,,,,"Ø",,,,,,,,,"Ø",,"D","D",,,,,,,,"H","H","H",,,,,,,,,,"Ø",,,,,,,,
141,"D","D",,,,,,,,,"Ø",,,"D",,,,,,"D",,"D","D",,,,,,,,,"D","D",,,,,,,,,,"D",,,,,,,,,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,"D","D",,,,,,,,,FALSE,"Ø",,,"D",,,,,,"D",,"D","D",,,,,,,,,"D","D",,,,,,,,,,"D",,,,,,,,,"D","D",,,,,,,,,"Ø",,,"D",,,,,,"D",,"D","D",,,,,,,,,"D","D",,,,,,,,,,"D",,,,,,,,
146,"Ø","Ø",,,,"H",,,,,"Ø",,,"Ø",,,,,,"H",,"H","H",,,,,,,,,"Ø","Ø",,,"H",,,,,,,"H",,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Ø","Ø",,,,"H",,,,,TRUE,"Ø",,,"Ø",,,,,,"H",,"H","H",,,,,,,,,"Ø","Ø",,,"H",,,,,,,"H",,,,,,,,,"Ø","Ø",,,,"H",,,,,"Ø",,,"Ø",,,,,,"H",,"H","H",,,,,,,,,"Ø","Ø",,,"H",,,,,,,"H",,,,,,,,
147,"2","2",,,,,,,,,,,,"D",,"2",,,,"D",,"D","D",,"Ø",,,,,,"H","2","2",,,,,,,,,,"D",,,,"2",,,,,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"H+D","H+D",,,,,,,,,TRUE,,,,"D",,"H+D",,,,"D",,"DD","DD",,,,,"Ø",,,"H","H+D","H+D",,,,,,,,,,"D",,,,"H+D",,,,,"2","2",,,,,,,,,,,,"D",,"2",,,,"D",,"D","D",,"Ø",,,,,,"H","2","2",,,,,,,,,,"D",,,,"2",,,,
148,"Ø","Ø",,,,,,,,,,,,,,,,,,"Ø",,"Ø","Ø",,,,,,,"D on H",,"Ø","Ø",,"H",,,,,,,,"Ø",,,"H",,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Ø","Ø",,,,,,,,,FALSE,,,,,,,,,,"Ø",,"Ø","Ø",,,,,,,"d on h",,"Ø","Ø",,"H",,,,,,,,"Ø",,,"H",,,,,,"Ø","Ø",,,,,,,,,,,,,,,,,,"Ø",,"Ø","Ø",,,,,,,"FloatingorClitic",,"Ø","Ø",,"H",,,,,,,,"Ø",,,"H",,,,,
149,"2","2",,,,,,,,,"Ø",,,,,,,,,"2",,"D","D",,,,"H",,,,,"2","2",,,,,,,,,,"2",,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"H+D","H+D",,,,,,,,,TRUE,"Ø",,,,,,,,,"H+D",,"D","D",,,"H",,,,,,"H+D","H+D",,,,,,,,,,"H+D",,,,,,,,,"2","2",,,,,,,,,"Ø",,,,,,,,,"2",,"D","D",,,,"H",,,,,"2","2",,,,,,,,,,"2",,,,,,,,
150,"H","H",,,,,,,,,"D",,,,,,,,,"2",,"H","H",,,,,,,,,"H","H",,,,,,,,,,"2",,,,,,,,,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,"H","H",,,,,,,,,TRUE,"D",,,,,,,,,"H+d",,"H","H",,,,,,,,,"H","H",,,,,,,,,,"H+d",,,,,,,,,"H","H",,,,,,,,,"D",,,,,,,,,"H",,"H","H",,,,,,,,,"H","H",,,,,,,,,,"H",,,,,,,,
154,"2","2",,,,,,,,,,,,"2",,,,,,"2",,"Ø","Ø",,,,,,,,"H","2","2",,,,,,"D",,,,"2",,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,"H+D","H+D",,,,,,,,,TRUE,,,,"H+D",,,,,,"H+D",,"Ø","Ø",,,,,,,,"H","H+D","H+D",,,,,,"D",,,,"H+D",,,,,,,,,"2","2",,,,,,,,,,,,"2",,,,,,"2",,"Ø","Ø",,,,,,,,"H","2","2",,,,,,"D",,,,"2",,,,,,,,
156,"H","H",,,,,,,,,"Ø",,,,,,,,,"H",,"H","H",,,,,,,,,"H","H",,,,,,,,,,"H",,,,,,,,,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,"H","H",,,,,,,,,TRUE,"Ø",,,,,,,,,"H",,"H","H",,,,,,,,,"H","H",,,,,,,,,,"H",,,,,,,,,"H","H",,,,,,,,,"Ø",,,,,,,,,"H",,"H","H",,,,,,,,,"H","H",,,,,,,,,,"H",,,,,,,,
157,"Ø","Ø",,,,"H",,,,,"Ø",,,"Ø",,,,,,"Ø",,"Ø","Ø",,,,,,,,,"Ø","Ø",,,"H",,,,,,,"Ø",,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Ø","Ø",,,,"H",,,,,FALSE,"Ø",,,"Ø",,,,,,"Ø",,"Ø","Ø",,,,,,,,,"Ø","Ø",,,"H",,,,,,,"Ø",,,,,,,,,"Ø","Ø",,,,"H",,,,,"Ø",,,"Ø",,,,,,"Ø",,"Ø","Ø",,,,,,,,,"Ø","Ø",,,"H",,,,,,,"Ø",,,,,,,,
159,"H","H",,,,,,,,,"2",,,,,,,,,"H",,"H","H",,,,,,,,,"H","H",,,,,,,,,,"H",,,,,,,,,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,"H","H",,,,,,,,,TRUE,"H+D",,,,,,,,,"h",,"H","H",,,,,,,,,"H","H",,,,,,,,,,"h",,,,,,,,,"H","H",,,,,,,,,"2",,,,,,,,,"H",,"H","H",,,,,,,,,"H","H",,,,,,,,,,"H",,,,,,,,
162,"D","D",,,,,,,,,,,,"D",,,,,,"D",,"D","D",,,,,,,,,"D","D",,,,,,,,,,"D",,,,,,,,,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,"D","D",,,,,,,,,FALSE,,,,"D",,,,,,"D",,"D","D",,,,,,,,,"D","D",,,,,,,,,,"D",,,,,,,,,"D","D",,,,,,,,,,,,"D",,,,,,"D",,"D","D",,,,,,,,,"D","D",,,,,,,,,,"D",,,,,,,,
163,"D","D",,,"Ø",,,,,,"D",,,"D",,,,,,"Ø",,"D","D",,,,,,,,,"D","D",,"Ø",,,,,,,,"Ø",,,,,,,,,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,"D","D",,,"Ø",,,,,,FALSE,"DD",,,"D",,,,,,"Ø",,"D","D",,,,,,,,,"D","D",,"Ø",,,,,,,,"Ø",,,,,,,,,"D","D",,,"Ø",,,,,,"D",,,"D",,,,,,"Ø",,"D","D",,,,,,,,,"D","D",,"Ø",,,,,,,,"Ø",,,,,,,,
165,"H","H",,,,,,,,,"D",,,"H",,,,,,"H",,"D","D",,,,,"H",,,,"H","H",,,,,,,,,,"H",,,"Ø",,,,,,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,"H","H",,,,,,,,,TRUE,"D",,,"H",,,,,,"H",,"DD","DD",,,,"H",,,,,"H","H",,,,,,,,,,"H",,,"Ø",,,,,,"H","H",,,,,,,,,"D",,,"H",,,,,,"H",,"D","D",,,,,"H",,,,"H","H",,,,,,,,,,"H",,,"Ø",,,,,
167,"2","2",,,,,,,,,"D",,,,,,,,,"2",,"2","2",,,,,,,,,"2","2",,,,,,,,,,"2",,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"H+D","H+D",,,,,,,,,TRUE,"D",,,,,,,,,"h+D",,"H+D","H+D",,,,,,,,,"H+D","H+D",,,,,,,,,,"h+D",,,,,,,,,"2","2",,,,,,,,,"D",,,,,,,,,"D",,"2","2",,,,,,,,,"2","2",,,,,,,,,,"D",,,,,,,,
168,"2","2",,,,,,,,,,,,,,,,,,"D",,"D","D",,,,,,,"H",,"2","2",,,,,,,,,,"D",,,,,,,,,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"H+D","H+D",,,,,,,,,TRUE,,,,,,,,,,"D",,"D","D",,,,,,,"H",,"H+D","H+D",,,,,,,,,,"D",,,,,,,,,"2","2",,,,,,,,,,,,,,,,,,"D",,"D","D",,,,,,,"H",,"2","2",,,,,,,,,,"D",,,,,,,,
169,"2","2",,,,,,"2",,,,,,"D",,,,,,"D",,,,,,,,,,,,"2","2",,,,,,"D",,"2",,"D",,,,,,"2",,"2",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,,TRUE,TRUE,TRUE,TRUE,"H+D","H+D",,,,,,"H+D",,,TRUE,,,,"D",,,,,,"D",,,,,,,,,,,,"H+D","H+D",,,,,,"D",,"h+D",,"D",,,,,,"h+D",,"H+D","2","2",,,,,,"2",,,,,,"D",,,,,,"D",,,,,,,,,,,,"2","2",,,,,,"D",,"D",,"D",,,,,,"D",,"2"
170,"2","2",,,,,,,,,,,,,,,,,,"F",,"D","D",,,,,,,"Ø",,"2","2",,,,,,,,,,"F",,,,,,,,,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"F+d","F+d",,,,,,,,,TRUE,,,,,,,,,,"F",,"D","D",,,,,,,"Ø",,"F+d","F+d",,,,,,,,,,"F",,,,,,,,,"FloatingorClitic","FloatingorClitic",,,,,,,,,,,,,,,,,,"FloatingorClitic",,"D","D",,,,,,,"Ø",,"FloatingorClitic","FloatingorClitic",,,,,,,,,,"FloatingorClitic",,,,,,,,
171,"Ø","Ø",,,,,,,,,"Ø",,,,,,,,,"D",,"D","D",,,,,,,,,"Ø","Ø",,,,,,"D",,,,"D",,,,,,,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Ø","Ø",,,,,,,,,FALSE,"Ø",,,,,,,,,"d",,"d","d",,,,,,,,,"Ø","Ø",,,,,,"d",,,,"d",,,,,,,,,"Ø","Ø",,,,,,,,,"Ø",,,,,,,,,"D",,"D","D",,,,,,,,,"Ø","Ø",,,,,,"D",,,,"D",,,,,,,,
173,"2","2",,,,,,,,,"D",,,"D",,,,,,"2",,"2","2",,,,"H",,,,,"2","2",,,,,,,,,,"2",,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"H+D","H+D",,,,,,,,,TRUE,"D",,,"D",,,,,,"H+D",,"H+D","H+D",,,"H",,,,,,"H+D","H+D",,,,,,,,,,"H+D",,,,,,,,,"2","2",,,,,,,,,"D",,,"D",,,,,,"2",,"2","2",,,,"H",,,,,"2","2",,,,,,,,,,"2",,,,,,,,
175,"Ø","Ø",,,,,,,,,,,,"D",,,,,,"D",,"D","D",,,,,,,"D",,"Ø","Ø",,,,,,,,,,"D",,,,,,,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Ø","Ø",,,,,,,,,FALSE,,,,"D",,,,,,"D",,"DD","DD",,,,,,,"D",,"Ø","Ø",,,,,,,,,,"D",,,,,,,,,"Ø","Ø",,,,,,,,,,,,"D",,,,,,"D",,"D","D",,,,,,,"D",,"Ø","Ø",,,,,,,,,,"D",,,,,,,,
176,"H","H",,,,,,,,,"Ø",,,"D",,,,,,"2",,"H","H",,,,,,,,,"H","H",,,,,,,,,"2",,,,,,,,,,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,"H","H",,,,,,,,,TRUE,"Ø",,,"D",,,,,,"H+d",,"H","H",,,,,,,,,"H","H",,,,,,,,,"H+d",,,,,,,,,,"H","H",,,,,,,,,"Ø",,,"D",,,,,,"H",,"H","H",,,,,,,,,"H","H",,,,,,,,,"H",,,,,,,,,
