"LID","LocusMicrorelations.binned6","LocusMicrorelationDefaultStatus","LocusMicrorelations","LocusMicrorelationsRelation.binned5","LocusMicrorelationCategoryCondition","LocusMicrorelations.binned5","LocusMicrorelationsRelation"
416,"D","default","D","POSS","#ANY#","D","POSS-default"
416,"D","default","D","S","#ANY#","D","S-default"
416,"D","default","D","P","#ANY#","D","U-default"
416,"F","conditioned","F","S","#ANY#","FloatingorClitic","S-default"
416,"F","conditioned","F","P","#ANY#","FloatingorClitic","U-default"
418,"D","default","D","A","#ANY#","D","A-default"
418,"D","default","D","P","#ANY#","D","B-default"
418,"D","default","D","POSS","#ANY#","D","POSS-default"
418,"D","default","D","S","#ANY#","D","S-default"
418,"D","default","D","ATTR","#ANY#","D","ATTR-default"
418,"D","default","D","P","#ANY#","D","U-default"
419,"D","conditioned","D","P","N-anim","D","U-default"
419,"Ø","default","Ø","P","N-inanim","Ø","U-default"
419,"Ø","default","Ø","A","#ANY#","Ø","A-default"
419,"D","conditioned","D","POSS","#ANY#","D","POSS-default"
419,"D","default","D","P","#ANY#","D","B-default"
419,"H","default","H","POSS","#ANY#","H","POSS-default"
419,"Ø","default","Ø","S","#ANY#","Ø","S-default"
420,"H","default","H","A","#ANY#","H","A-default"
420,"D","default","D","POSS","#ANY#","D","POSS-default"
420,"H","default","H","P","#ANY#","H","U-default"
420,"H","default","H","S","#ANY#","H","S-default"
420,"H","default","H","P","#ANY#","H","T-default"
421,"2","default","H+D","P","N","2","U-default"
421,"Ø","default","Ø","S","N","Ø","S-default"
421,"Ø","default","Ø","A","N","Ø","A-default"
421,"H","default","H","POSS","N","H","POSS-default"
421,"D","conditioned","D","S","Pro","D","S-default"
421,"D","conditioned","D","P","Pro","D","U-default"
421,"D","conditioned","D","A","Pro","D","A-default"
421,"D","conditioned","D","POSS","Pro","D","POSS-default"
421,"D","default","D","P","#ANY#","D","B-default"
422,"H","default","H","A","#ANY#","H","A-default"
422,,"default",,"P","#ANY#",,"B-default"
422,"H","default","H","POSS","#ANY#","H","POSS-default"
422,"H","default","H","S","#ANY#","H","S-default"
422,"H","default","H","P","#ANY#","H","U-default"
423,"2","default","H+D","A","#ANY#","2","A-default"
423,"Ø","default","Ø","POSS","#ANY#","Ø","POSS-default"
423,"D","default","D","P","#ANY#","D","B-default"
423,"H","conditioned","H","POSS","#ANY#","H","POSS-default"
423,"2","default","H+D","S","#ANY#","2","S-default"
423,"D","default","D","P","#ANY#","D","U-default"
428,"2","conditioned","H+d","P","SAP","H","U-default"
428,"H","default","H","A","#ANY#","H","A-default"
428,"H","default","H","S","#ANY#","H","S-default"
428,,"default",,"P","#ANY#",,"B-default"
428,"H","default","H","POSS","#ANY#","H","POSS-default"
428,"H","default","H","P","#ANY#","H","U-default"
428,,"default",,"ATTR","#ANY#",,"ATTR-default"
429,"H","default","H","A","#ANY#","H","A-default"
429,"2","conditioned","H+D","A","#ANY#","2","A-default"
429,"2","default","H+D","P","#ANY#","2","B-default"
429,"D","conditioned","D","POSS","#ANY#","D","POSS-default"
429,"H","default","H","POSS","#ANY#","H","POSS-default"
429,"2","default","H+D","P","#ANY#","2","U-default"
429,"H","default","H","S","#ANY#","H","S-default"
429,"2","conditioned","H+D","S","#ANY#","2","S-default"
432,"2","default","H+D","A","#ANY#","2","A-default"
432,"H","default","H","POSS","#ANY#","H","POSS-default"
432,"F","conditioned","F","POSS","#ANY#","FloatingorClitic","POSS-default"
432,"H","default","H","S","#ANY#","H","S-default"
432,"H","default","H","P","#ANY#","H","U-default"
433,"H","default","H","POSS","N","H","POSS-default"
433,"D on H","conditioned","D on H","POSS","Pro","FloatingorClitic","POSS-default"
433,"Ø","default","Ø","A","#ANY#","Ø","A-default"
433,"H","default","H","S","#ANY#","H","S-default"
433,"H","default","H","ATTR","#ANY#","H","ATTR-default"
433,"H","default","HH","P","#ANY#","H","U-default"
438,"H","conditioned","H","POSS","N-inal","H","POSS-default"
438,"H","default","H","A","#ANY#","H","A-default"
438,"D","default","D","P","#ANY#","D","B-default"
438,"H","default","H","S","#ANY#","H","S-default"
438,"D","default","D","POSS","#ANY#","D","POSS-default"
438,,"default","P","P","#ANY#",,"U-default"
442,"2","conditioned","H+D","POSS","Pro","2","POSS-default"
442,"2","default","H+D","A","#ANY#","2","A-default"
442,"D","default","D","POSS","#ANY#","D","POSS-default"
442,"2","default","H+D","P","#ANY#","2","U-default"
442,"2","default","H+D","S","#ANY#","2","S-default"
443,"D","default","d","A","#ANY#","D","A-default"
443,"D","default","D","P","#ANY#","D","B-default"
443,"D","default","d","POSS","#ANY#","D","POSS-default"
443,"Ø","default","Ø","ATTR","#ANY#","Ø","ATTR-default"
443,"D","default","d","S","#ANY#","D","S-default"
443,"D","default","d","P","#ANY#","D","U-default"
454,"H","default","H","A","#ANY#","H","A-default"
454,"D","default","D","P","#ANY#","D","B-default"
454,,"default","H/D/DH","POSS","#ANY#","2","POSS-default"
454,"2","default","h+d","P","#ANY#","2","U-default"
454,"H","default","H","S","#ANY#","H","S-default"
454,"Ø","default","Ø","ATTR","#ANY#","Ø","ATTR-default"
455,"D","default","D","POSS","N","D","POSS-default"
455,"H","conditioned","H","POSS","Pro","H","POSS-default"
455,"2","default","H+D","A","#ANY#","2","A-default"
455,"2","default","H+D","S","#ANY#","2","S-default"
455,"2","default","H+D","P","#ANY#","2","U-default"
456,"H","conditioned","H","POSS","Pro","H","POSS-default"
456,"2","default","H+D","A","#ANY#","2","A-default"
456,"D","default","D","P","#ANY#","D","B-default"
456,"H","default","H","POSS","#ANY#","H","POSS-default"
456,"D","conditioned","D","P","#ANY#","D","U-default"
456,"2","default","H+D","S","#ANY#","2","S-default"
456,"2","default","H+D","P","#ANY#","2","U-default"
456,"H","default","H","ATTR","#ANY#","H","ATTR-default"
460,"H","default","H","A","#ANY#","H","A-default"
460,"D on H","default","D on H","P","#ANY#","FloatingorClitic","B-default"
460,"H","default","H","POSS","#ANY#","H","POSS-default"
460,"H","default","H","S","#ANY#","H","S-default"
460,"H","default","H","P","#ANY#","H","U-default"
460,"Ø","default","Ø","ATTR","#ANY#","Ø","ATTR-default"
461,"H","default","H","A","#ANY#","H","A-default"
461,"H","default","H","POSS","#ANY#","H","POSS-default"
461,"H","default","H","P","#ANY#","H","U-default"
461,"H","default","H","S","#ANY#","H","S-default"
463,"D","default","d","A","#ANY#","D","A-default"
463,"D","default","d","P","#ANY#","D","B-default"
463,"D","default","d","POSS","#ANY#","D","POSS-default"
463,"D","default","d","S","#ANY#","D","S-default"
463,"Ø","default","Ø","ATTR","#ANY#","Ø","ATTR-default"
463,"D","default","d","P","#ANY#","D","T-default"
463,"D","default","d","P","#ANY#","D","U-default"
464,"2","default","H+D","A","#ANY#","2","A-default"
464,"2","default","h+D","POSS","#ANY#","D","POSS-default"
464,"2","default","H+D","S","#ANY#","2","S-default"
464,"2","default","h+D","P","#ANY#","D","U-default"
464,"D","default","D","ATTR","#ANY#","D","ATTR-default"
465,"2","default","H+D","A","#ANY#","2","A-default"
465,"H","default","H","POSS","#ANY#","H","POSS-default"
465,"2","default","H+D","S","#ANY#","2","S-default"
465,"2","default","H+D","P","#ANY#","2","U-default"
465,"Ø","default","Ø","ATTR","#ANY#","Ø","ATTR-default"
466,"H","default","h","A","#ANY#","H","A-default"
466,"D","default","D","P","#ANY#","D","B-default"
466,"H","default","h","S","#ANY#","H","S-default"
466,"D","default","D","POSS","#ANY#","D","POSS-default"
466,"Ø","default","Ø","P","#ANY#","Ø","U-default"
466,"Ø","default","Ø","ATTR","#ANY#","Ø","ATTR-default"
469,"2","default","h+D","A","#ANY#","D","A-default"
469,"2","default","h+D","P","#ANY#","D","B-default"
469,"D","default","d","POSS","#ANY#","D","POSS-default"
469,"2","default","h+D","P","#ANY#","D","U-default"
469,"Ø","default","Ø","ATTR","#ANY#","Ø","ATTR-default"
469,"2","default","h+D","S","#ANY#","D","S-default"
481,"2","default","H+D","A","#ANY#","2","A-default"
481,"2","default","H+D","P","#ANY#","2","B-default"
481,"2","default","H+D","S","#ANY#","2","S-default"
481,"D","default","D","POSS","#ANY#","D","POSS-default"
481,"2","default","H+D","P","#ANY#","2","U-default"
491,"H","conditioned","H","POSS","Pro","H","POSS-default"
491,"D","conditioned","D","P","Pro","D","U-default"
491,"D","conditioned","D","P","Pro","D","B-default"
491,"F","default","f","POSS","N-proper&kin","FloatingorClitic","POSS-default"
491,"H","default","H+F","A","#ANY#","H","A-default"
491,"D","default","d","P","#ANY#","D","B-default"
491,"H","default","H+F","S","#ANY#","H","S-default"
491,"D","default","d","P","#ANY#","D","U-default"
491,"Ø","default","Ø","ATTR","#ANY#","Ø","ATTR-default"
492,"2","default","H+D","A","#ANY#","2","A-default"
492,"2","default","H+D","P","#ANY#","2","B-default"
492,"2","default","H+D","POSS","#ANY#","2","POSS-default"
492,"2","default","H+D","S","#ANY#","2","S-default"
492,"2","default","H+D","P","#ANY#","2","U-default"
492,"D","default","D","ATTR","#ANY#","D","ATTR-default"
493,"H","default","H","A","#ANY#","H","A-default"
493,"D","default","D","P","#ANY#","D","B-default"
493,"H","default","H","POSS","#ANY#","H","POSS-default"
493,"Ø","conditioned","Ø","POSS","#ANY#","Ø","POSS-default"
493,"H","default","H","S","#ANY#","H","S-default"
493,"2","default","H+D","P","#ANY#","2","U-default"
493,"D","default","D","ATTR","#ANY#","D","ATTR-default"
494,"Ø","default","Ø","A","#ANY#","Ø","A-default"
494,"Ø","default","Ø","POSS","#ANY#","Ø","POSS-default"
494,"Ø","default","Ø","S","#ANY#","Ø","S-default"
494,"Ø","default","Ø","P","#ANY#","Ø","U-default"
494,"Ø","default","Ø","ATTR","#ANY#","Ø","ATTR-default"
495,"H","default","H","A","#ANY#","H","A-default"
495,"D","default","D","P","#ANY#","D","B-default"
495,"D","default","D","POSS","#ANY#","D","POSS-default"
495,"H","default","H","S","#ANY#","H","S-default"
495,,"default","P","P","#ANY#",,"U-default"
495,"D","default","D","ATTR","#ANY#","D","ATTR-default"
496,"Ø","default","Ø","A","#ANY#","Ø","A-default"
496,"Ø","default","Ø","P","#ANY#","Ø","B-default"
496,"Ø","default","Ø","S","#ANY#","Ø","S-default"
496,"Ø","default","Ø","POSS","#ANY#","Ø","POSS-default"
496,"Ø","default","Ø","P","#ANY#","Ø","U-default"
496,"Ø","default","Ø","ATTR","#ANY#","Ø","ATTR-default"
497,"Ø","default","Ø","A","#ANY#","Ø","A-default"
497,"H","default","H","POSS","#ANY#","H","POSS-default"
497,"Ø","default","Ø","S","#ANY#","Ø","S-default"
497,"D","default","D","ATTR","#ANY#","D","ATTR-default"
497,"Ø","default","Ø","P","#ANY#","Ø","U-default"
497,"Ø","conditioned","Ø","ATTR","#ANY#","Ø","ATTR-default"
498,"H","default","H","A","#ANY#","H","A-default"
498,"H","default","H","P","#ANY#","H","B-default"
498,"H","default","H","POSS","#ANY#","H","POSS-default"
498,"H","default","H","S","#ANY#","H","S-default"
498,"H","default","H","P","#ANY#","H","U-default"
498,"Ø","default","Ø","ATTR","#ANY#","Ø","ATTR-default"
499,"H","default","H","A","#ANY#","H","A-default"
499,"H","default","H","P","#ANY#","H","B-default"
499,"D","default","DD","POSS","#ANY#","D","POSS-default"
499,"H","default","H","P","#ANY#","H","U-default"
499,"H","default","H","S","#ANY#","H","S-default"
500,"Ø","default","Ø","A","#ANY#","Ø","A-default"
500,"D","default","d","POSS","#ANY#","D","POSS-default"
500,"Ø","default","Ø","S","#ANY#","Ø","S-default"
500,"Ø","default","Ø","P","#ANY#","Ø","U-default"
501,"D","default","d","A","#ANY#","D","A-default"
501,"D","default","D","POSS","#ANY#","D","POSS-default"
501,"D","default","d","S","#ANY#","D","S-default"
501,"D","default","d","P","#ANY#","D","U-default"
501,"D","default","D","ATTR","#ANY#","D","ATTR-default"
502,"2","default","H+D","A","#ANY#","2","A-default"
502,"2","default","H+d","POSS","#ANY#","H","POSS-default"
502,"2","default","H+D","S","#ANY#","2","S-default"
502,"D","default","d","P","#ANY#","D","U-default"
502,"Ø","default","Ø","ATTR","#ANY#","Ø","ATTR-default"
503,"2","default","h+d","A","#ANY#","2","A-default"
503,"D","default","d","P","#ANY#","D","B-default"
503,"2","default","h+D","POSS","#ANY#","D","POSS-default"
503,"D","default","d","P","#ANY#","D","T-default"
503,"2","default","hh+d","S","#ANY#","2","S-default"
503,"D","default","D","ATTR","#ANY#","D","ATTR-default"
503,"2","default","h+d","P","#ANY#","2","U-default"
504,"D","default","d","S","Pro","D","S-default"
504,"D","default","d","P","Pro","D","U-default"
504,"D","default","d","P","Pro","D","T-default"
504,"D","default","d","P","Pro","D","B-default"
504,"D","default","d","A","Pro","D","A-default"
504,"D","default","D","POSS","#ANY#","D","POSS-default"
504,"D","default","d","ATTR","#ANY#","D","ATTR-default"
505,"H","default","H","P","#ANY#","H","B-default"
505,"H","default","H","A","#ANY#","H","A-default"
505,"H","default","H","POSS","#ANY#","H","POSS-default"
505,"H","default","H","S","#ANY#","H","S-default"
505,"Ø","default","Ø","P","#ANY#","Ø","T-default"
505,"Ø","default","Ø","ATTR","#ANY#","Ø","ATTR-default"
505,"H","default","H","P","#ANY#","H","U-default"
511,"H","conditioned","H","A","SAP","H","A-default"
511,"H","conditioned","H","S","SAP","H","S-default"
511,"H","conditioned","H","P","SAP","H","U-default"
511,"2","default","H+D","A","#ANY#","2","A-default"
511,"D","default","D","P","#ANY#","D","B-default"
511,"2","default","H+D","POSS","#ANY#","2","POSS-default"
511,"2","default","H+D","S","#ANY#","2","S-default"
511,"2","default","H+D","P","#ANY#","2","U-default"
512,"H","default","H","A","#ANY#","H","A-default"
512,"D","default","D","P","#ANY#","D","B-default"
512,"H","default","H","S","#ANY#","H","S-default"
512,"H","default","h","POSS","#ANY#","H","POSS-default"
512,"H","default","H","P","#ANY#","H","U-default"
514,"2","default","H+D","A","#ANY#","2","A-default"
514,"D","default","D","P","#ANY#","D","B-default"
514,"2","default","H+D","POSS","#ANY#","2","POSS-default"
514,"2","default","H+D","S","#ANY#","2","S-default"
514,"2","default","H+D","P","#ANY#","2","U-default"
514,"Ø","default","Ø","ATTR","#ANY#","Ø","ATTR-default"
515,"Ø","default","Ø","POSS","N","Ø","POSS-default"
515,,"conditioned","H/D","POSS","Pro","2","POSS-default"
515,"H","default","H","S","Pro","H","S-default"
515,"H","default","H","A","Pro","H","A-default"
515,"D","conditioned","D","POSS","N_or_Pro","D","POSS-default"
515,"Ø","conditioned","Ø","A","N_or_Pro","Ø","A-default"
515,"Ø","conditioned","Ø","S","N_or_Pro","Ø","S-default"
515,"D on H","default","d on h","P","#ANY#","FloatingorClitic","U-default"
518,"2","default","H+D","A","#ANY#","2","A-default"
518,"D","default","D","P","#ANY#","D","B-default"
518,"D","default","D","POSS","#ANY#","D","POSS-default"
518,"D","default","D","P","#ANY#","D","U-default"
518,"2","default","H+D","S","#ANY#","2","S-default"
518,"D","default","D","P","#ANY#","D","T-default"
518,"D","default","D","ATTR","#ANY#","D","ATTR-default"
519,"Ø","default","Ø","P","N","Ø","U-default"
519,"D","conditioned","D","P","Pro","D","U-default"
519,"D","default","D","A","#ANY#","D","A-default"
519,"Ø","default","Ø","P","#ANY#","Ø","B-default"
519,"Ø","default","Ø","S","#ANY#","Ø","S-default"
519,"Ø","default","Ø","ATTR","#ANY#","Ø","ATTR-default"
525,"H","default","H","A","#ANY#","H","A-default"
525,"H","default","H","P","#ANY#","H","B-default"
525,"Ø","default","Ø","POSS","#ANY#","Ø","POSS-default"
525,"H","conditioned","H","POSS","#ANY#","H","POSS-default"
525,"H","default","H","S","#ANY#","H","S-default"
525,"H","default","H","P","#ANY#","H","U-default"
526,"D","default","D","A","#ANY#","D","A-default"
526,"Ø","default","Ø","POSS","#ANY#","Ø","POSS-default"
526,"D","default","D","P","#ANY#","D","B-default"
526,"D","default","D","S","#ANY#","D","S-default"
526,"D","default","D","P","#ANY#","D","U-default"
526,"Ø","default","Ø","ATTR","#ANY#","Ø","ATTR-default"
527,"2","default","H+D","A","#ANY#","2","A-default"
527,"D","default","D","P","#ANY#","D","B-default"
527,"2","default","H+D","POSS","#ANY#","2","POSS-default"
527,"2","default","H+D","S","#ANY#","2","S-default"
527,"D","default","D","P","#ANY#","D","U-default"
527,"D","default","D","ATTR","#ANY#","D","ATTR-default"
528,"D","default","D","A","#ANY#","D","A-default"
528,"D","default","D","POSS","#ANY#","D","POSS-default"
528,"D","default","D","P","#ANY#","D","B-default"
528,"D","default","D","S","#ANY#","D","S-default"
528,"Ø","default","Ø","ATTR","#ANY#","Ø","ATTR-default"
528,"D","default","D","P","#ANY#","D","U-default"
530,"D","default","D","A","#ANY#","D","A-default"
530,"D","default","D","P","#ANY#","D","B-default"
530,"2","default","H+D","S","#ANY#","2","S-default"
530,"D","default","D","POSS","#ANY#","D","POSS-default"
530,"D","conditioned","D","S","#ANY#","D","S-default"
530,"2","default","H+D","P","#ANY#","2","U-default"
530,"D","conditioned","D","P","#ANY#","D","U-default"
530,"D","default","D","ATTR","#ANY#","D","ATTR-default"
532,"2","default","H+d","A","#ANY#","H","A-default"
532,"2","default","H+D","P","#ANY#","2","B-default"
532,"H","conditioned","H","P","#ANY#","H","B-default"
532,"F","conditioned","F","POSS","#ANY#","FloatingorClitic","POSS-default"
532,"D","default","D","POSS","#ANY#","D","POSS-default"
532,"H","default","H","S","#ANY#","H","S-default"
532,"H","conditioned","H","P","#ANY#","H","U-default"
532,"Ø","default","Ø","P","#ANY#","Ø","U-default"
532,"Ø","default","Ø","ATTR","#ANY#","Ø","ATTR-default"
533,"2","conditioned","H+D","P","1PERS","2","U-default"
533,"2","default","H+D","A","#ANY#","2","A-default"
533,"D","default","D","P","#ANY#","D","B-default"
533,"D","default","D","POSS","#ANY#","D","POSS-default"
533,"2","default","H+D","S","#ANY#","2","S-default"
533,"D","default","D","P","#ANY#","D","U-default"
533,"Ø","default","Ø","ATTR","#ANY#","Ø","ATTR-default"
535,"D","default","D","P","#ANY#","D","B-default"
535,"2","default","H+D","A","#ANY#","2","A-default"
535,"2","default","H+D","S","#ANY#","2","S-default"
535,"D","default","D","POSS","#ANY#","D","POSS-default"
535,"D","default","D","P","#ANY#","D","U-default"
535,"Ø","default","Ø","ATTR","#ANY#","Ø","ATTR-default"
540,"D","default","D","P","#ANY#","D","B-default"
540,"H","default","H","A","#ANY#","H","A-default"
540,"D","default","D","POSS","#ANY#","D","POSS-default"
540,"D","default","D","P","#ANY#","D","U-default"
540,"H","default","H","S","#ANY#","H","S-default"
540,"D","default","D","ATTR","#ANY#","D","ATTR-default"
550,"H","default","H","A","#ANY#","H","A-default"
550,"D","default","D","P","#ANY#","D","B-default"
550,"H","default","H","POSS","#ANY#","H","POSS-default"
550,"H","default","H","S","#ANY#","H","S-default"
550,"H","default","H","P","#ANY#","H","U-default"
550,"D","default","D","ATTR","#ANY#","D","ATTR-default"
553,"H","default","H","A","#ANY#","H","A-default"
553,"H","default","h","P","#ANY#","H","B-default"
553,"D","default","D","POSS","#ANY#","D","POSS-default"
553,"H","default","H","S","#ANY#","H","S-default"
553,"D on H","default","d on h","P","#ANY#","FloatingorClitic","T-default"
553,"D","default","D","ATTR","#ANY#","D","ATTR-default"
553,"H","default","h","P","#ANY#","H","U-default"
555,"H","default","H","A","#ANY#","H","A-default"
555,"H","default","H","POSS","#ANY#","H","POSS-default"
555,"H","default","H","S","#ANY#","H","S-default"
555,"H","default","H","P","#ANY#","H","U-default"
558,"2","default","H+D","A","#ANY#","2","A-default"
558,"2","default","H+D","P","#ANY#","2","B-default"
558,"D","default","D","POSS","#ANY#","D","POSS-default"
558,"2","default","H+D","S","#ANY#","2","S-default"
558,"2","default","H+D","P","#ANY#","2","U-default"
564,"D","default","d","A","#ANY#","D","A-default"
564,"D","default","D","POSS","#ANY#","D","POSS-default"
564,"Ø","default","Ø","ATTR","#ANY#","Ø","ATTR-default"
564,"2","default","h+d","S","#ANY#","2","S-default"
564,"2","default","h+d","P","#ANY#","2","U-default"
566,"D","conditioned","D","POSS","N","D","POSS-default"
566,"H","conditioned","H","P","Pro","H","U-default"
566,"H","conditioned","H","A","Pro","H","A-default"
566,"2","conditioned","F+d","P","Pro","FloatingorClitic","B-default"
566,"2","default","H+D","A","#ANY#","2","A-default"
566,"Ø","default","Ø","POSS","#ANY#","Ø","POSS-default"
566,,"default","H/D","P","#ANY#","2","B-default"
566,"H","conditioned","H","POSS","#ANY#","H","POSS-default"
566,"Ø","default","Ø","S","#ANY#","Ø","S-default"
566,"H","conditioned","H","S","#ANY#","H","S-default"
566,"D","default","d","P","#ANY#","D","U-default"
567,"2","default","h+D","A","#ANY#","D","A-default"
567,"D","default","D","P","#ANY#","D","B-default"
567,"D","default","D","POSS","#ANY#","D","POSS-default"
567,"D","default","D","P","#ANY#","D","U-default"
567,"2","default","h+D","S","#ANY#","D","S-default"
568,"D","default","D","A","#ANY#","D","A-default"
568,"D","default","D","P","#ANY#","D","B-default"
568,"D","default","D","POSS","#ANY#","D","POSS-default"
568,"D","default","D","S","#ANY#","D","S-default"
568,"D","default","D","P","#ANY#","D","U-default"
568,,"default",,"ATTR","#ANY#",,"ATTR-default"
569,"2","default","H+d","A","#ANY#","H","A-default"
569,"D","default","Dd","POSS","#ANY#","D","POSS-default"
569,"2","default","H+d","S","#ANY#","H","S-default"
569,"D","default","d","ATTR","#ANY#","D","ATTR-default"
569,"2","default","h+d","P","#ANY#","2","U-default"
571,"D on H","conditioned","D on H","P","Pro","FloatingorClitic","U-default"
571,"D on H","conditioned","D on H","P","Pro","FloatingorClitic","B-default"
571,"D","conditioned","D","POSS","N-inal","D","POSS-default"
571,"2","default","H+D","A","#ANY#","2","A-default"
571,"D","default","D","P","#ANY#","D","B-default"
571,"2","default","H+D","S","#ANY#","2","S-default"
571,"D","default","D","POSS","#ANY#","D","POSS-default"
571,"D on H","conditioned","D on H","POSS","#ANY#","FloatingorClitic","POSS-default"
571,"D","default","D","P","#ANY#","D","U-default"
576,"H","default","H","A","#ANY#","H","A-default"
576,"D","default","D","P","#ANY#","D","B-default"
576,"H","default","H","POSS","#ANY#","H","POSS-default"
576,"H","default","H","S","#ANY#","H","S-default"
576,"H","default","H","P","#ANY#","H","U-default"
576,"H","default","H’","ATTR","#ANY#","H","ATTR-default"
577,"H","default","H","A","#ANY#","H","A-default"
577,"H","default","H","P","#ANY#","H","B-default"
577,"H","default","HH","POSS","#ANY#","H","POSS-default"
577,"H","default","H","S","#ANY#","H","S-default"
577,,"default",,"ATTR","#ANY#",,"ATTR-default"
577,"H","default","H","P","#ANY#","H","U-default"
577,"D","conditioned","D","ATTR","#ANY#","D","ATTR-default"
580,"D","default","D","A","#ANY#","D","A-default"
580,"D","default","D","P","#ANY#","D","B-default"
580,"D","default","D","S","#ANY#","D","S-default"
580,"D","default","D","POSS","#ANY#","D","POSS-default"
580,"Ø","conditioned","Ø","POSS","#ANY#","Ø","POSS-default"
580,"D","default","D","P","#ANY#","D","U-default"
581,"H","default","H","A","#ANY#","H","A-default"
581,"Ø","conditioned","Ø","P","#ANY#","Ø","U-default"
581,"D","default","DD","POSS","#ANY#","D","POSS-default"
581,"H","default","H","S","#ANY#","H","S-default"
581,"D","default","D","ATTR","#ANY#","D","ATTR-default"
581,"H","default","H","P","#ANY#","H","U-default"
583,"H","conditioned","H","POSS","N","H","POSS-default"
583,"D on H","conditioned","D on H","POSS","Pro","FloatingorClitic","POSS-default"
583,"D","default","D","POSS","N_or_Pro","D","POSS-default"
583,"H","default","H","A","#ANY#","H","A-default"
583,"H","default","H","S","#ANY#","H","S-default"
583,"D on H","default","D on H","P","#ANY#","FloatingorClitic","U-default"
583,"D","default","D","ATTR","#ANY#","D","ATTR-default"
595,"2","default","H+D","A","#ANY#","2","A-default"
595,"D","default","D","POSS","#ANY#","D","POSS-default"
595,"H","conditioned","h","POSS","#ANY#","H","POSS-default"
595,"2","default","H+D","S","#ANY#","2","S-default"
595,"D","default","D","P","#ANY#","D","U-default"
599,"Ø","default","Ø","POSS","N","Ø","POSS-default"
599,"H","conditioned","H","POSS","Pro","H","POSS-default"
599,"H","conditioned","H","A","#ANY#","H","A-default"
599,"2","default","H+D","A","#ANY#","2","A-default"
599,"H","default","H","S","#ANY#","H","S-default"
599,"H","conditioned","H","P","#ANY#","H","U-default"
599,"2","default","H+D","P","#ANY#","2","U-default"
606,"D","conditioned","D","P","Pro","D","B-default"
606,"D","conditioned","D","P","Pro","D","U-default"
606,"D","conditioned","D","A","Pro","D","A-default"
606,"D","conditioned","D","S","Pro","D","S-default"
606,"Ø","conditioned","Ø","POSS","N-inal","Ø","POSS-default"
606,"D","default","D","POSS","#ANY#","D","POSS-default"
608,"2","default","H+D","A","#ANY#","2","A-default"
608,"D","default","D","P","#ANY#","D","B-default"
608,"2","default","H+D","POSS","#ANY#","2","POSS-default"
608,"D","default","D","P","#ANY#","D","U-default"
608,"2","default","H+D","S","#ANY#","2","S-default"
608,"Ø","default","Ø","ATTR","#ANY#","Ø","ATTR-default"
629,"D","default","d","P","N-anim","D","U-default"
629,"D","default","D","A","#ANY#","D","A-default"
629,"D","default","D","S","#ANY#","D","S-default"
632,"D","default","D","A","#ANY#","D","A-default"
632,"2","default","H+D","POSS","#ANY#","2","POSS-default"
632,"2","default","H+D","P","#ANY#","2","U-default"
632,"2","default","H+D","S","#ANY#","2","S-default"
634,"2","default","H+D","A","#ANY#","2","A-default"
634,"D","default","D","P","#ANY#","D","B-default"
634,"D","default","D","POSS","#ANY#","D","POSS-default"
634,"2","default","H+D","S","#ANY#","2","S-default"
634,"Ø","default","Ø","ATTR","#ANY#","Ø","ATTR-default"
634,"D","default","D","P","#ANY#","D","U-default"
635,"D","default","D","POSS","N","D","POSS-default"
635,,"conditioned","H/D/DH","POSS","Pro","2","POSS-default"
635,"H","default","H","A","#ANY#","H","A-default"
635,"D","default","D","P","#ANY#","D","B-default"
635,"H","default","H","S","#ANY#","H","S-default"
635,"H","default","H","P","#ANY#","H","U-default"
635,"D","conditioned","D","ATTR","#ANY#","D","ATTR-default"
635,"Ø","default","Ø","ATTR","#ANY#","Ø","ATTR-default"
642,"D","default","D","P","N","D","B-default"
642,"Ø","default","Ø","P","N","Ø","U-default"
642,"Ø","default","Ø","POSS","N","Ø","POSS-default"
642,"D on H","conditioned","D on H","P","Pro","FloatingorClitic","B-default"
642,"H","conditioned","H","POSS","Pro","H","POSS-default"
642,"D","conditioned","D","POSS","Pro","D","POSS-default"
642,"D on H","conditioned","D on H","P","Pro","FloatingorClitic","U-default"
642,"H","default","H","A","#ANY#","H","A-default"
642,"H","default","H","S","#ANY#","H","S-default"
643,,"default","P","A","#ANY#",,"A-default"
643,,"default","P","S","#ANY#",,"S-default"
643,"D","default","D","POSS","#ANY#","D","POSS-default"
643,"D","default","D","ATTR","#ANY#","D","ATTR-default"
643,,"default","P","P","#ANY#",,"U-default"
644,"2","default","H+D","A","#ANY#","2","A-default"
644,"H","conditioned","H","A","#ANY#","H","A-default"
644,"2","default","H+D","POSS","#ANY#","2","POSS-default"
644,"D","default","D","P","#ANY#","D","B-default"
644,"H","conditioned","H","POSS","#ANY#","H","POSS-default"
644,"H","default","H","S","#ANY#","H","S-default"
644,"D","default","D","P","#ANY#","D","U-default"
644,"H","conditioned","H","P","#ANY#","H","U-default"
645,"H","conditioned","H","POSS","N-inal","H","POSS-default"
645,"H","default","H","A","#ANY#","H","A-default"
645,"H","default","H","S","#ANY#","H","S-default"
645,"D","default","D","P","#ANY#","D","B-default"
645,"H","default","H","POSS","#ANY#","H","POSS-default"
645,"Ø","default","Ø","P","#ANY#","Ø","U-default"
646,"Ø","conditioned","Ø","POSS","Pro","Ø","POSS-default"
646,"2","default","H+D","A","#ANY#","2","A-default"
