"LID","LocusMicrorelations.binned6","LocusMicrorelationDefaultStatus","LocusMicrorelations","LocusMicrorelationsRelation.binned5","LocusMicrorelationCategoryCondition","LocusMicrorelations.binned5","LocusMicrorelationsRelation"
343,"D","conditioned","D","POSS","#ANY#","D","POSS-default"
343,"H","default","H","S","#ANY#","H","S-default"
343,"H","default","H","P","#ANY#","H","U-default"
343,"Ø","default","Ø","ATTR","#ANY#","Ø","ATTR-default"
345,"H","default","H","A","#ANY#","H","A-default"
345,"H","conditioned","H","POSS","#ANY#","H","POSS-default"
345,"D","default","D","P","#ANY#","D","B-default"
345,"Ø","default","Ø","POSS","#ANY#","Ø","POSS-default"
345,"H","default","H","S","#ANY#","H","S-default"
345,"Ø","default","Ø","ATTR","#ANY#","Ø","ATTR-default"
345,"Ø","default","Ø","P","#ANY#","Ø","U-default"
347,"H","default","H","S","N","H","S-default"
347,"H","default","H","A","N","H","A-default"
347,"Ø","default","Ø","P","N","Ø","U-default"
347,"Ø","default","Ø","POSS","N","Ø","POSS-default"
347,"2","conditioned","H+D","S","Pro","2","S-default"
347,"2","conditioned","H+D","P","Pro","2","U-default"
347,"H","conditioned","H","POSS","Pro","H","POSS-default"
347,"2","conditioned","H+D","A","Pro","2","A-default"
348,"2","default","h+D","A","#ANY#","D","A-default"
348,"Ø","conditioned","Ø","POSS","#ANY#","Ø","POSS-default"
348,"D","default","D","POSS","#ANY#","D","POSS-default"
348,"Ø","default","Ø","S","#ANY#","Ø","S-default"
348,"H","default","h","P","#ANY#","H","U-default"
348,"Ø","default","Ø","ATTR","#ANY#","Ø","ATTR-default"
350,"H","default","H","A","#ANY#","H","A-default"
350,"2","default","H+D","P","#ANY#","2","B-default"
350,"D","conditioned","D","POSS","#ANY#","D","POSS-default"
350,"Ø","default","Ø","POSS","#ANY#","Ø","POSS-default"
350,"2","conditioned","H+D","P","#ANY#","2","U-default"
350,"H","default","H","S","#ANY#","H","S-default"
350,"H","default","H","P","#ANY#","H","U-default"
350,"Ø","default","Ø","ATTR","#ANY#","Ø","ATTR-default"
352,"2","default","H+D","A","#ANY#","2","A-default"
352,"2","default","H+D","POSS","#ANY#","2","POSS-default"
352,"2","default","H+D","S","#ANY#","2","S-default"
352,"2","default","H+D","P","#ANY#","2","U-default"
354,"H","default","hh","POSS","N-inal","H","POSS-default"
354,"D on H","conditioned","h+d on h","POSS","N-alien","FloatingorClitic","POSS-default"
354,"H","default","H","A","#ANY#","H","A-default"
354,"H","default","H","S","#ANY#","H","S-default"
354,"H","default","H","P","#ANY#","H","U-default"
354,"Ø","default","Ø","ATTR","#ANY#","Ø","ATTR-default"
356,"D","default","D","P","#ANY#","D","B-default"
356,"2","default","H+D","A","#ANY#","2","A-default"
356,"2","default","H+D","POSS","#ANY#","2","POSS-default"
356,"2","default","H+D","S","#ANY#","2","S-default"
356,"D","default","D","ATTR","#ANY#","D","ATTR-default"
356,"2","default","H+D","P","#ANY#","2","U-default"
357,"H","default","H","POSS","N","H","POSS-default"
357,"D","conditioned","D","POSS","Pro","D","POSS-default"
357,"2","default","H+D","A","#ANY#","2","A-default"
357,,"default",,"P","#ANY#",,"B-default"
357,"2","default","H+D","S","#ANY#","2","S-default"
357,"2","default","H+D","P","#ANY#","2","U-default"
357,"Ø","default","Ø","ATTR","#ANY#","Ø","ATTR-default"
358,"H","default","H","A","#ANY#","H","A-default"
358,"D","default","D","P","#ANY#","D","B-default"
358,"D","default","D","POSS","#ANY#","D","POSS-default"
358,"H","default","H","S","#ANY#","H","S-default"
358,"Ø","default","Ø","P","#ANY#","Ø","U-default"
358,"Ø","default","Ø","ATTR","#ANY#","Ø","ATTR-default"
359,"H","default","H","A","#ANY#","H","A-default"
359,"H","default","H","POSS","#ANY#","H","POSS-default"
359,"H","default","H","S","#ANY#","H","S-default"
359,"Ø","default","Ø","P","#ANY#","Ø","U-default"
359,"D","default","D","ATTR","#ANY#","D","ATTR-default"
361,"H","default","H","A","#ANY#","H","A-default"
361,"H","default","H","S","#ANY#","H","S-default"
361,"D","default","DD","POSS","#ANY#","D","POSS-default"
361,"H","default","H","P","#ANY#","H","T-default"
361,"Ø","conditioned","Ø","P","#ANY#","Ø","U-default"
361,"H","default","H","P","#ANY#","H","U-default"
361,"D","default","D","ATTR","#ANY#","D","ATTR-default"
362,"2","default","H+D","A","#ANY#","2","A-default"
362,"2","default","H+D","#ANY#","#ANY#","2","I-default"
362,"2","default","H+D","P","#ANY#","2","B-ben"
362,"2","default","H+D","P","#ANY#","2","B-rec"
362,"2","default","H+D","P","#ANY#","2","G-default"
362,"2","default","H+D","#ANY#","#ANY#","2","locative"
362,"2","default","H+D","S","#ANY#","2","S-default"
362,"F","default","F","POSS","#ANY#","FloatingorClitic","POSS-default"
362,"D","conditioned","D","POSS","#ANY#","D","POSS-default"
362,"2","default","H+D","P","#ANY#","2","U-default"
362,"F","default","F","ATTR","#ANY#","FloatingorClitic","ATTR-default"
363,"H","default","H","A","#ANY#","H","A-default"
363,"H","default","H","POSS","#ANY#","H","POSS-default"
363,"H","default","H","S","#ANY#","H","S-default"
363,"H","default","H","P","#ANY#","H","U-default"
364,"H","default","H","A","#ANY#","H","A-default"
364,"H","default","H","S","#ANY#","H","S-default"
364,"H","default","H","POSS","#ANY#","H","POSS-default"
364,"Ø","default","Ø","ATTR","#ANY#","Ø","ATTR-default"
364,"H","default","H","P","#ANY#","H","U-default"
365,"D","default","D","P","#ANY#","D","B-default"
365,"2","default","H+D","A","#ANY#","2","A-default"
365,"H","conditioned","H","P","#ANY#","H","B-default"
365,"F","conditioned","F","P","#ANY#","FloatingorClitic","B-default"
365,"D","default","D","POSS","#ANY#","D","POSS-default"
365,"2","default","H+D","S","#ANY#","2","S-default"
365,"F","conditioned","F","P","#ANY#","FloatingorClitic","U-default"
365,"D","default","D","P","#ANY#","D","U-default"
