"LID","VInflClassification.Presence","VInflEvidential.Presence","VInflInter_clausal.Presence","VInflNP_related.Presence","VInflNumber.Presence","VInflOperators.Presence","VInflPerson.Presence","VInflPragmatic.Presence","VInflPragmatics.Presence","VInflRole.Presence","VInflTAM.Presence","VInflValence.Presence"
500,,,,,,TRUE,,,,,TRUE,
501,,TRUE,,,,TRUE,,,,,TRUE,
502,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
503,,,,,TRUE,,,,,,TRUE,TRUE
504,,,,,,TRUE,,,,,TRUE,TRUE
505,,,TRUE,,TRUE,,,,,,TRUE,TRUE
511,,,,,,,,,,,TRUE,TRUE
512,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
514,,,,,TRUE,TRUE,,,,,TRUE,TRUE
515,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
518,,,,,,TRUE,,,,,TRUE,
525,,,,,TRUE,,,,,,TRUE,
526,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
527,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
528,,,,,TRUE,TRUE,,,,,TRUE,
530,,,,,TRUE,TRUE,TRUE,,,,TRUE,
533,,,,,,TRUE,,,,,TRUE,
535,,,,,,,,,,,TRUE,
540,,,,,,TRUE,,,,,TRUE,
545,,,,,,TRUE,,TRUE,TRUE,,TRUE,
549,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
550,,,,,,,,TRUE,,,TRUE,
551,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
553,,,TRUE,,,TRUE,,,,,TRUE,TRUE
558,,,,,,TRUE,,,,,TRUE,TRUE
564,,TRUE,,,TRUE,TRUE,,,,,TRUE,TRUE
567,,TRUE,,,TRUE,TRUE,,,,,TRUE,
568,,,,,TRUE,,,,,,TRUE,
569,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
571,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
576,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
577,,TRUE,,,TRUE,,,,,,TRUE,
580,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
581,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
582,,,,,,,,TRUE,,,TRUE,TRUE
583,,,,,,,,,,,TRUE,TRUE
606,,,,,,TRUE,,,,,TRUE,TRUE
608,,,,,,TRUE,,,,,TRUE,
612,,,,,TRUE,TRUE,,,,,TRUE,TRUE
619,,,,,,,,,,,TRUE,TRUE
620,,,,,,,,TRUE,,,TRUE,TRUE
629,,,,,,TRUE,,,,,TRUE,
632,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
633,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
634,,,,,,TRUE,,,,,TRUE,
635,,,,,TRUE,,,,,,TRUE,TRUE
641,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
642,,,,,,TRUE,,,,,TRUE,TRUE
643,,,,,TRUE,TRUE,,,,,TRUE,
645,,,,,,,,,,,TRUE,TRUE
646,,,,,TRUE,TRUE,,,,,TRUE,
648,,,,,,TRUE,,,,,TRUE,
654,,,,TRUE,,,,,,,TRUE,
655,,,,,TRUE,,,TRUE,,,TRUE,TRUE
658,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
662,,TRUE,,,,,,,,,TRUE,TRUE
663,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
668,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
669,,,,,,,,,,,TRUE,
674,,,,,,,,,,,,TRUE
675,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
677,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
678,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
679,,,,,,TRUE,,,,,TRUE,TRUE
680,,TRUE,,,,,,,TRUE,,TRUE,TRUE
681,,,,,,,,,TRUE,,TRUE,TRUE
683,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
685,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
686,,,,,TRUE,TRUE,,TRUE,,,TRUE,
687,,,,,,,,,,,TRUE,TRUE
692,,,,,TRUE,,,TRUE,,,TRUE,
693,TRUE,,,,,,,,,,TRUE,
699,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
700,,,,,,TRUE,,,,,TRUE,TRUE
722,,TRUE,,,,TRUE,,TRUE,,,TRUE,
725,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
780,,,,,TRUE,TRUE,,,,,TRUE,TRUE
790,,,,,,,,,,,TRUE,TRUE
844,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
885,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
917,,TRUE,,,TRUE,TRUE,,,,,TRUE,TRUE
942,,,,,TRUE,TRUE,,,,,TRUE,
1067,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
1108,,,,,TRUE,,,TRUE,,,TRUE,TRUE
1140,,,,,,,,,,,TRUE,TRUE
1363,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
1364,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
1385,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
1531,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
1542,,TRUE,,,,TRUE,,,,,TRUE,
1623,,,,,TRUE,,,,,TRUE,TRUE,TRUE
1772,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
1807,,TRUE,,,TRUE,,,,,,TRUE,TRUE
1816,,,,,,TRUE,,,,,TRUE,TRUE
1840,,TRUE,,,,TRUE,,,,,TRUE,
1890,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
1954,,TRUE,TRUE,TRUE,,TRUE,,,,,TRUE,
2024,,,,,,,,,,,TRUE,TRUE
2050,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
2120,,,,,,TRUE,,,,,TRUE,TRUE
2172,,TRUE,,,,TRUE,,,TRUE,,TRUE,TRUE
2330,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
2360,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
2388,,,,,,TRUE,,,,,TRUE,
2393,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
2412,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
2447,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
2456,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
2471,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
2508,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
2513,,,TRUE,,,TRUE,,,,,TRUE,TRUE
2514,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
2564,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
2572,,TRUE,,,TRUE,,,,,,TRUE,TRUE
2577,,TRUE,,,,TRUE,,,,,TRUE,TRUE
2672,,,,,,,,,,,TRUE,
2726,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
2779,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
2828,,,,,,TRUE,,,,,TRUE,
2831,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
2832,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
2833,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
2854,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
2855,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
2856,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
2900,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
2949,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
2951,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
2984,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
3101,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
3143,,,,,,,,TRUE,,,TRUE,TRUE
3229,,,,,,,,,,,TRUE,TRUE
3240,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
3243,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
