LID,Glottocode,Language,ISO639_3,LanguageAlternativeNames,Stock,StockAlternativeName,MacroQuasiStock,QuasiStock,MajorBranch,SubBranch,SubSubBranch,LowestSubBranch,Genesis,Longitude,Latitude,LocalRegion,IsNearProtoHomeland,Modality,Subsistence,OriginContinent,Continent,Area,Macrocontinent
732,etru1241,Etruscan,ett,Etruscan,Etruscan,,,,,,,,,11,43.42,,TRUE,,,Eurasia,W and SW Eurasia,Europe,Eurasia
733,west2205,Tasmanian,xtz,Tasmanian,Tasmanian,,,,,,,,,146.5,-42.17,,TRUE,,,Australia,Australia,S Australia,Pacific
734,dale1238,Dalska,qer,"Älvdalska, Elfdalska, Dalmål, Dalecarlian,Dalska",Indo-European,,,Indo-Uralic,Germanic,North Germanic,,,,14.07,61.22,,,,,Eurasia,W and SW Eurasia,Europe,Eurasia
735,raji1240,Raji,rji,"Rajibar,Raji",Sino-Tibetan,,,,Raji,,,,,81.16,28.44,Himalaya,,,not hg,Eurasia,S/SE Asia,Indic,Eurasia
736,taki1248,Takia,tbc,Takia,Austronesian,,,,Malayo-Polynesian,Oceanic,Western Oceanic linkage,North New Guinea linkage,,146,-4.67,,,,,Eurasia,NG and Oceania,N Coast New Guinea,Pacific
737,sali1295,Saliba,sbe,Saliba,Austronesian,,,,Malayo-Polynesian,Oceanic,Western Oceanic linkage,Papuan Tip,,150.72,-10.58,,,,,Eurasia,NG and Oceania,S New Guinea,Pacific
738,even1260,Even,eve,"Even, Lamut",Tungusic,,,Altaic,Northern Tungusic,Northeastern Tungusic,,,,151.18,59.37,,,,hg,Eurasia,N-C Asia,Inner Asia,Eurasia
739,kora1292,Korana,kqz,"Koranna,Korana, !ora",Kwadi-Khoe,,,,Khoekhoe,,,,,20.5,-29.5,,,,,Africa,Africa,S Africa,Africa
740,kiku1240,Kikuyu,kik,"Gikuyu, Gekoyo, Kikuyu",Benue-Congo,,Niger-Kordofanian,Niger-Congo,Bantoid,Bantu (narrow),,,,36.75,-0.75,,,,,Africa,Africa,S Africa,Africa
741,rund1242,Rundi,run,"Kirundi, Urundi, Rundi",Benue-Congo,,Niger-Kordofanian,Niger-Congo,Bantoid,Bantu (narrow),,,,30,-3.5,,,,,Africa,Africa,S Africa,Africa
742,moro1285,Moro,mor,"Dhimorong,Moro",Kordofanian,,Niger-Kordofanian,,,,,,,30.17,11,,,,,Africa,Africa,African Savannah,Africa
743,tira1254,Tiro,tic,"Tira, Thiro, Lithiro, Tiro",Kordofanian,,Niger-Kordofanian,,,,,,,30.41,10.68,,,,,Africa,Africa,African Savannah,Africa
