LID,Glottocode,Language,ISO639_3,LanguageAlternativeNames,Stock,StockAlternativeName,MacroQuasiStock,QuasiStock,MajorBranch,SubBranch,SubSubBranch,LowestSubBranch,Genesis,Longitude,Latitude,LocalRegion,IsNearProtoHomeland,Modality,Subsistence,OriginContinent,Continent,Area,Macrocontinent
566,seme1247,Semelai,sza,Semelai,Austroasiatic,,,,Southern Mon-Khmer,Aslian,Semelaic,,,103,3,,,,,Eurasia,S/SE Asia,Southeast Asia,Eurasia
567,ship1254,Shipibo-Konibo,shp,Shipibo-Konibo,Pano-Tacanan,,,,Panoan,,,,,-75,-7.5,,TRUE,,hg,South America,S America,NE South America,Americas
568,sout2982,Pomo (Southeastern),pom,Pomo (South),Pomoan,Pomo,,,,,,,,-122.8,38.5,,,,hg,North America,W N America,California,Americas
569,stan1288,Spanish,spa,Spanish,Indo-European,,,Indo-Uralic,Italic-Celtic,Italic,,,,-4,40,,,,not hg,Eurasia,W and SW Eurasia,Europe,Eurasia
570,east2440,Taba,mky,"Makian (East),Taba, Makian Timur, Makian Dalam",Austronesian,,,,Malayo-Polynesian,South Halmahera-Western New Guinea (SHWNG),,,,127.3,0,,,,,Eurasia,NG and Oceania,Oceania,Pacific
571,cent2194,Tamazight (Ayt Ndhir),tzm,"Berber (Middle Atlas),Tamazight (Ayt Ndhir)",Berber,,,Afroasiatic,,,,Berber,,5,30,,TRUE,,not hg,Africa,Africa,N Africa,Africa
572,tete1251,Nahuatl (Tetelcingo),nhg,"Tetelcingo Nahuatl,Tetelcingo Aztec",Uto-Aztecan,,,,Southern Uto-Aztecan,Aztecan,,,,-99,19.67,,,,,North America,C America,Mesoamerica,Americas
573,unaa1239,Una,mtg,Una,Mek,,Trans New Guinea,,Eastern Mek,,,,,140,-4.67,,,,,Pacific,NG and Oceania,Interior New Guinea,Pacific
574,urub1250,Urubú-Kaapor,urb,Uruba-Kaapor,Tupian,,,,Tupi-Guaraní,,,,,-46.5,-2.33,,,,,South America,S America,NE South America,Americas
575,wamb1258,Wambaya,wmb,Wambaya,Mirndi,,,,Barkly (Eastern Mirndi),,,,,135.75,-18.67,,,,hg,Australia,Australia,N Australia,Pacific
576,wari1268,Wari,pav,"Pakaásnovos, Wari’, Wari, Oro Wari",Chapakuran,"Chapacuran, Chapacura-Wanham, Txapakuran",,,,,,,,-65,-11.33,,TRUE,,,South America,S America,NE South America,Americas
577,wich1260,Wichita,wic,Wichita,Caddoan,,,,,,,,,-97.33,33.33,,TRUE,,not hg,North America,E N America,Basin and Plains,Americas
578,muru1274,Witoto,huu,"Huitoto, Witoto",Witotoan,Huitotoan,,"Boran-Huitotoan, Boran-Witotoan",,,,,,-71.78,-2.15,,,,,South America,S America,NE South America,Americas
579,kung1261,!Xu,knw,!Xu,Ju,Northern Khoisan,,,,,,,,19,-18,,,,,Africa,Africa,S Africa,Africa
580,yidi1250,Yidiny,yii,Yidiny,Pama-Nyungan,,,Macro-Pama-Nyungan,Yidinyic,,,,,145.75,-17,,,,hg,Australia,Australia,N Australia,Pacific
581,zulu1248,Zulu,zul,Zulu,Benue-Congo,,Niger-Kordofanian,Niger-Congo,Bantoid,Bantu (narrow),,,,30,-30,,,,,Africa,Africa,S Africa,Africa
582,abip1241,Abipon,axb,Abipon,Guaicuruan,"Waikuruan, Waykuruan, Guaycuruan",,,,,,,,-61,-29,,,,hg,South America,S America,SE South America,Americas
583,hebr1245,Hebrew (Modern),heb,"Hebrew (Modern), Ivrit",Semitic,,,Afroasiatic,West Semitic,Central (West Semitic),South-Central Semitic,Canaanitic,,34.83,31.5,,,,,Africa,W and SW Eurasia,Greater Mesopotamia,Eurasia
585,fiji1243,Fijian,fij,Fijian,Austronesian,,,,Malayo-Polynesian,Oceanic,Central Pacific,,,178,-17.83,,,,,Eurasia,NG and Oceania,Oceania,Pacific
595,nort2699,Kolami,kfb,Kolami,Dravidian,,,,Central Dravidian,,,,,78.5,20,,,,,Eurasia,S/SE Asia,Indic,Eurasia
599,chay1248,Chayahuita,cbt,Chayahuita,Cahuapanan,,,,,,,,,-77,-5.5,,TRUE,,not hg,South America,S America,NE South America,Americas
600,pemo1248,Pemon,aoc,Pemon,Cariban,Carib,,,,,,,,-62,5.33,,,,,South America,S America,NE South America,Americas
603,acol1236,Acholi,ach,Acholi,Nilotic,,Core Nilo-Saharan,Eastern Sudanic,Western Nilotic,Lwo,Southern Lwo,,,32.67,3,,,,,Africa,Africa,S Africa,Africa
604,efik1245,Efik,efi,Efik,Benue-Congo,,Niger-Kordofanian,Niger-Congo,Cross River,,,,,8.5,4.92,,,,,Africa,Africa,African Savannah,Africa
605,sout2784,Ngbandi,nbw,Ngbandi,Adamawa-Ubangi,,Niger-Kordofanian,Niger-Congo,,,,,,22,3.75,,,,,Africa,Africa,S Africa,Africa
606,naro1249,Nharo,nhr,Nharo,Kwadi-Khoe,Central Khoisan,,,,,,,,33,-24,,,,hg,Africa,Africa,S Africa,Africa
608,mari1278,Mari,chm,"Mari, Cheremis",Uralic,,,Indo-Uralic,Finno-Ugric,Finno-Permian,Finno-Volgaic,Maric,,48,56.6,,TRUE,,,Eurasia,N-C Asia,Inner Asia,Eurasia
609,port1283,Portuguese,por,Portuguese,Indo-European,,,Indo-Uralic,Italic-Celtic,Italic,,,,-8,39,,,,,Eurasia,W and SW Eurasia,Europe,Eurasia
610,homs1234,Armenian (Western),hyw,Armenian (Western),Indo-European,,,Indo-Uralic,Greek-Armenian,Armenian,,,,43.5,38.5,,,,,Eurasia,W and SW Eurasia,Greater Mesopotamia,Eurasia
611,uigh1240,Uighur,uig,"Uyghur, Yugur, UYGUR, UIGUR, UIGHUIR, UIGUIR, WEIWUER, WIGA, Uighur",Turkic,,,Altaic,Common Turkic,Karluk (Southeastern Turkic),Uyghur,,,98,43.6,,,,,Eurasia,N-C Asia,Inner Asia,Eurasia
612,cent2128,Yup’ik (Siberian),ess,"Yupik (Siberian),Yup’ik (Siberian), Yup'ik (Central Siberian), Chaplinskii",Eskimo-Aleut,,,,Eskimoan,,,,,172,64,,TRUE,,hg,North America,N-C Asia,N Coast Asia,Eurasia
613,stan1306,Malay,zsm,Malay,Austronesian,,,,Malayo-Polynesian,Western Malayo-Polynesian non-clade,Malayan / Malayic,,,102,3,,,,,Eurasia,S/SE Asia,Southeast Asia,Eurasia
614,cent1989,Cambodian,khm,"Central Khmer,Cambodian, Khmer",Austroasiatic,,,,Eastern Mon-Khmer,Khmeric,,,,105,12.5,,,,,Eurasia,S/SE Asia,Southeast Asia,Eurasia
616,coco1261,Cocopa,coc,Cocopa,Yuman,Yuman-Cochimí,,,,,,,,-115,32.33,,,,hg,North America,C America,Mesoamerica,Americas
618,alab1237,Alabama,akz,Alabama,Muskogean,,,,,,,,,-87.42,32.33,,,,,North America,E N America,E North America,Americas
619,huas1242,Huastec,hus,"Huasteco, Wasteko, Huastec, Tének, Teenek",Mayan,,,,Huastecan,,,,,-99.33,22.08,,,,,North America,C America,Mesoamerica,Americas
620,arao1248,Araona,aro,Araona,Pano-Tacanan,,,,Tacanan,,,,,-67.75,-12.33,,,,hg,South America,S America,NE South America,Americas
623,mash1270,Piro,pie,Mashco,Arawakan,,,,Apurina-Piro-Iñapari,,,,,-70.8,-11.47,,,,,South America,S America,NE South America,Americas
624,cusc1236,Quechua (Cuzco),quz,Cuzco Quechua,Quechuan,,,Quechumaran (Andean),,,,,,-71,-14.5,,,,not hg,South America,S America,Andean,Americas
625,anga1288,Naga (Angami),njm,Angami Naga,Sino-Tibetan,,,,Angami-Pochuri Group,,,,,94.5,25.67,,,,,Eurasia,S/SE Asia,Southeast Asia,Eurasia
626,kinn1249,Kinnauri,kfk,"Kanauri (Lower),Kinnauri",Sino-Tibetan,,,,West Himalayish,,,,,78,31.5,Himalaya,,,,Eurasia,S/SE Asia,Indic,Eurasia
627,tibe1272,Rangpas,bod,"Rangpas, Rang-Pas",Sino-Tibetan,,,,West Himalayish,Greater Kinnauri,,,,79.5,30.6,Himalaya,,,,Eurasia,S/SE Asia,Indic,Eurasia
628,byan1241,Byangsi,bee,Byangsi,Sino-Tibetan,,,,West Himalayish,,,,,80.5,30.17,Himalaya,,,,Eurasia,S/SE Asia,Indic,Eurasia
629,chan1310,Chantyal,chx,Chantyal,Sino-Tibetan,,,,Bodic,Tamangic (TGTM),,,,83.42,28.58,Himalaya,,,,Eurasia,S/SE Asia,Indic,Eurasia
630,lhom1239,Lhomi,lhm,Lhomi,Sino-Tibetan,,,,Bodic,Tibetan,Central Tibetan (U-Tsang),,,87.42,27.67,Himalaya,,,,Eurasia,S/SE Asia,Indic,Eurasia
631,balt1258,Balti,bft,Balti,Sino-Tibetan,,,,Bodic,Tibetan,Western Archaic Tibetan,,,76.2,35,Himalaya,,,,Eurasia,S/SE Asia,Indic,Eurasia
632,wayu1241,Hayu,vay,Hayu,Sino-Tibetan,,,,Kiranti,Western Kiranti,Northwestern Kiranti,,,86,27.25,Himalaya,,,,Eurasia,S/SE Asia,Indic,Eurasia
633,kash1277,Kashmiri,kas,Kashmiri,Indo-European,,,Indo-Uralic,Indo-Iranian,Indo-Aryan,Dardic (Northwestern Indo-Aryan),,,76,34,Himalaya,,,,Eurasia,S/SE Asia,Indic,Eurasia
634,saur1249,Malto,kmb,Malto,Dravidian,,,,North Dravidian,,,,,87.5,24.5,,,,,Eurasia,S/SE Asia,Indic,Eurasia
635,sant1410,Santali,sat,Santali,Austroasiatic,,,,Munda,Northern Munda,Kherwarian,,,87,24.5,,,,,Eurasia,S/SE Asia,Indic,Eurasia
636,shin1264,Shina (Eastern),scl,Shina (Eastern),Indo-European,,,Indo-Uralic,Indo-Iranian,Indo-Aryan,Dardic (Northwestern Indo-Aryan),,,75.5,35.2,Himalaya,,,,Eurasia,S/SE Asia,Indic,Eurasia
637,sout2734,Yamphu,ybi,"Yamphu, Yamphe, Yamphu Kha, Yamphu Rai",Sino-Tibetan,,,,Kiranti,Central-Eastern Kiranti,Greater Eastern Kiranti,Upper Arun,,87.3,27.5,Himalaya,,,,Eurasia,S/SE Asia,Indic,Eurasia
638,assa1263,Assamese,asm,Assamese,Indo-European,,,Indo-Uralic,Indo-Iranian,Indo-Aryan,Eastern Indo-Aryan,,,93,26.5,,,,,Eurasia,S/SE Asia,Indic,Eurasia
639,beng1280,Bangla,ben,"Bangla, Bengali",Indo-European,,,Indo-Uralic,Indo-Iranian,Indo-Aryan,Eastern Indo-Aryan,Bangla,,88.5,23,,,,,Eurasia,S/SE Asia,Indic,Eurasia
640,newa1246,Newar (Kathmandu),new,Newar (Kathmandu),Sino-Tibetan,,,,Newaric,,,,,85.5,27.67,Himalaya,,,,Eurasia,S/SE Asia,Indic,Eurasia
641,oriy1255,Oriya,ory,"Oriya, Odia",Indo-European,,,Indo-Uralic,Indo-Iranian,Indo-Aryan,Eastern Indo-Aryan,Oriya,,85,21,,,,,Eurasia,S/SE Asia,Indic,Eurasia
642,egyp1253,Arabic (Egyptian),arz,Egyptian Arabic,Semitic,,,Afroasiatic,West Semitic,Central (West Semitic),South-Central Semitic,Arabic,,31,30,,,,not hg,Africa,Africa,N Africa,Africa
643,sout2778,Kisi,kss,Kisi (Southern),South Atlantic,,Niger-Kordofanian,Macro-Niger-Congo,,,,,,-10.1,8.5,,TRUE,,not hg,Africa,Africa,African Savannah,Africa
644,kari1255,Kiriri (Kipea),kzw,"Kipea, Kariri, Cariri, Kipea Kiriri",Kariri,Karirian,,Macro-Je,,,,,,-37,-10,,TRUE,,,South America,S America,NE South America,Americas
645,hata1243,Hatam,had,Hatam,Hatam,,,,,,,,,134,-1,,TRUE,,,Pacific,NG and Oceania,N Coast New Guinea,Pacific
646,xokl1240,Xokleng,xok,Xokleng,Macro-Ge,,,,Ge,Southern Ge,,,,-50,-24.5,,,,,South America,S America,SE South America,Americas
648,boro1282,Bororo,bor,Eastern Bororo,Macro-Ge,,,,Bororo,,,,,-50,-13,,TRUE,,hg,South America,S America,NE South America,Americas
649,jeri1242,Jeli,jek,"Jeri,Jeli",Mande,,Niger-Kordofanian,Macro-Niger-Congo,West Mande,,,,,-5.67,9.5,,TRUE,,,Africa,Africa,African Savannah,Africa
650,dogo1299,Dogon,NA,Dogon,Dogon,,Niger-Kordofanian,Macro-Niger-Congo,,,,,,-3.5,14.33,,,,not hg,Africa,Africa,African Savannah,Africa
651,anii1246,//Ani,hnh,"/Anda,//Ani",Kwadi-Khoe,,,,Kalahari,,,,,21.92,-18.92,,TRUE,,hg,Africa,Africa,S Africa,Africa
652,kxoe1243,Khoe,xuu,"Kxoe, Xû, Khoe",Kwadi-Khoe,,,,Kalahari,,,,,22.5,-17.5,,,,hg,Africa,Africa,S Africa,Africa
653,xooo1239,!Xõo,nmn,!Xõo,!Ui-Taa,,,,Taa,,,,,26,-30,,TRUE,,hg,Africa,Africa,S Africa,Africa
654,nisg1240,Nisgha,ncg,Nisgha,Tsimshianic,,,,,,,,,-130,55,,TRUE,,hg,North America,W N America,Alaska-Oregon,Americas
655,gunw1252,Mayali,gup,Mayali,Gunwingguan,,,Macro-Pama-Nyungan,,,,,,133.75,-12.5,,TRUE,,hg,Australia,Australia,N Australia,Pacific
656,koro1312,Korowai,khe,Korowai,Macro-Ok,,,,Awyu-Dumut,,,,,140,-5.25,,,,,Pacific,NG and Oceania,S New Guinea,Pacific
658,yany1243,Yanyuwa,jao,Yanyuwa,Pama-Nyungan,,,Macro-Pama-Nyungan,Warluwarric,,,,,137.17,-16.42,,TRUE,,hg,Australia,Australia,N Australia,Pacific
659,kala1377,Kala Lagaw La,mwp,"Kala Lagaw La, Kalaw Lagaw Ya",Pama-Nyungan,,,Macro-Pama-Nyungan,Kala Lagaw La,,,,,142.12,-10.12,,,,hg,Australia,Australia,N Australia,Pacific
660,band1339,Bandjalang,bdy,Bandjalang,Pama-Nyungan,,,Macro-Pama-Nyungan,Bandjalangic,,,,,153,-28.75,,,,hg,Australia,Australia,S Australia,Pacific
661,djee1236,Ndjebbana,djj,"Gunabidji, Djeebbana, Ndjebbana",Gunabidjian,,,Maningrida (Arnhem Land Family),,,,,,134.12,-12.17,,,,hg,Australia,Australia,N Australia,Pacific
662,apat1240,Apatani,apt,Apatani,Sino-Tibetan,,,,Tani,Western Tani,,,,93.75,27.5,Himalaya,,,,Eurasia,S/SE Asia,Indic,Eurasia
663,drun1238,Drung,duu,"Dulong, Drung, Derung",Sino-Tibetan,,,,Nungish,,,,,103,25.5,,,,hg,Eurasia,S/SE Asia,Southeast Asia,Eurasia
664,west2420,Kham,kjl,"Kham, Kham-Magar, Takale, Takale Kham, Western Parbate",Sino-Tibetan,,,,Remnant Himalayish,,,,,82.75,28.5,Himalaya,,,,Eurasia,S/SE Asia,Indic,Eurasia
665,yana1271,Yana,ynn,Yana,Yana,,,,,,,,,-122,40.5,,,,hg,North America,W N America,California,Americas
666,coah1252,Coahuiltec,xcw,"Coahuilteco,Coahuiltec",Coahuiltec,,,,,,,,,-100,28,,TRUE,,not hg,North America,C America,Mesoamerica,Americas
667,thul1246,Thulung (Mukli),tdh,Thulung Rai,Sino-Tibetan,,,,Kiranti,Midwestern Kiranti,,,,86.67,27.43,Himalaya,,,,Eurasia,S/SE Asia,Indic,Eurasia
668,yecu1235,Totonac (Misantla),tlc,Totonac (Misantla),Totonac-Tepehuan,,,,,,,,,-96.92,19.92,,TRUE,,not hg,North America,C America,Mesoamerica,Americas
669,gras1249,Koiari,kbk,"Koiari (Grass),Koiari",Koiarian,,Trans New Guinea,Southeast Papuan,Koiaric,,,,,147.33,-9.5,,,,not hg,Pacific,NG and Oceania,S New Guinea,Pacific
670,turk1303,Khalaj,klj,"Khalaj, Chaladsch",Turkic,,,Altaic,Common Turkic,Oghuz,Arghu,,,50,35,,,,,Eurasia,W and SW Eurasia,Greater Mesopotamia,Eurasia
672,jing1260,Jingpho,kac,"Jinghpo, Jingphaw",Sino-Tibetan,,,,Brahmaputran (Sal),Kachinic,,,,98.33,28,,,,,Eurasia,S/SE Asia,Indic,Eurasia
673,enap1235,Panare,pbh,Panare,Cariban,Carib,,,,,,,,-66,6.5,,,,,South America,S America,NE South America,Americas
674,limb1266,Limbu,lif,Limbu,Sino-Tibetan,,,,Kiranti,Central-Eastern Kiranti,Greater Eastern Kiranti,Yakkha-Limbu,,87.75,27.17,Himalaya,,,,Eurasia,S/SE Asia,Indic,Eurasia
675,kaba1278,Circassian (East),kbd,"Kabardian,Circassian (East)",West Caucasian,,,,Circassian,,,Circassian,,43.3,43.3,Caucasus,,,,Eurasia,W and SW Eurasia,Greater Mesopotamia,Eurasia
676,khor1267,Kurmanjî,kur,"Kurmanjî, Northern Kurdish, Kurmancî, Kirmancî, Kermancî, Kurdi, Kurdî",Indo-European,,,Indo-Uralic,Indo-Iranian,Iranian,Northwest Iranian,Kurdish,,42,38,,,,,Eurasia,W and SW Eurasia,Greater Mesopotamia,Eurasia
677,swed1254,Swedish,swe,Swedish,Indo-European,,,Indo-Uralic,Germanic,North Germanic,,,,15,60,,,,,Eurasia,W and SW Eurasia,Europe,Eurasia
678,bulg1262,Bulgarian,bul,Bulgarian,Indo-European,,,Indo-Uralic,Balto-Slavic,Slavic,South Slavic,,,25,42.5,,,,,Eurasia,W and SW Eurasia,Europe,Eurasia
679,udmu1245,Udmurt,udm,Udmurt,Uralic,,,Indo-Uralic,Finno-Ugric,Finno-Permian,Permian,,,52.5,57.5,,,,,Eurasia,N-C Asia,Inner Asia,Eurasia
680,mans1258,Mansi,mns,Mansi,Uralic,,,Indo-Uralic,Finno-Ugric,Ugric,Ob-Ugric,,,62,62,,,,hg,Eurasia,N-C Asia,Inner Asia,Eurasia
681,khan1273,Khanty,kca,"Ostyak, Khanty",Uralic,,,Indo-Uralic,Finno-Ugric,Ugric,Ob-Ugric,Khanty,,65,65,,,,hg,Eurasia,N-C Asia,Inner Asia,Eurasia
682,yuca1254,Yucatec,yua,Yucatec,Mayan,,,,Yucatecan,,,,,-89,20,,,,,North America,C America,Mesoamerica,Americas
683,roma1327,Romanian,ron,Romanian,Indo-European,,,Indo-Uralic,Italic-Celtic,Italic,,,,25,46,,,,,Eurasia,W and SW Eurasia,Europe,Eurasia
685,klam1254,Klamath,kla,Klamath,Plateau Penutian,,,California-Plateau Penutian,Klamath-Sahaptian,,,,,-121.5,42.5,,,,hg,North America,W N America,Basin and Plains,Americas
686,daha1245,Dahalo,dal,Dahalo,Cushitic,,,Afroasiatic,Southern Cushitic,,,,,40.5,-2.33,,,,hg,Africa,Africa,S Africa,Africa
687,hopi1249,Hopi,hop,Hopi,Uto-Aztecan,,,,Northern Uto-Aztecan,,,,,-110,36,,,,,North America,W N America,Basin and Plains,Americas
688,cora1260,Cora,crn,Cora,Uto-Aztecan,,,,Southern Uto-Aztecan,Sonoran,,,,-104.83,22.17,,,,,North America,C America,Mesoamerica,Americas
689,lowl1265,Rarámuri,tac,"Rarámuri, Tarahumara, Choguitá Rarámuri",Uto-Aztecan,,,,Southern Uto-Aztecan,,,Tarahumaran,,-107.2922,27.4489,,,,,North America,C America,Mesoamerica,Americas
690,mana1288,Manange,nmm,"Manange, Manangba, Manang, Manangbhot, Manangbolt, Manange, Manangi, Nyeshang, Nyishang",Sino-Tibetan,,,,Bodic,Tamangic (TGTM),,,,84.01,28.4,Himalaya,,,,Eurasia,S/SE Asia,Indic,Eurasia
691,tibe1272,Tibetan (Lhasa),bod,Tibetan (Lhasa),Sino-Tibetan,,,,Bodic,Tibetan,Central Tibetan (U-Tsang),,,91.1,29.65,,,,,Eurasia,N-C Asia,Inner Asia,Eurasia
692,nucl1327,Limilngan,lmc,Limilngan,Limilngan,,,,,,,,,131.92,-12.5,,,,hg,Australia,Australia,N Australia,Pacific
693,jama1261,Jarawara,jaa,Jarawara,Arawan,Arauan,,,,,,,,-65.5,-7.5,,,,not hg,South America,S America,NE South America,Americas
694,mesk1242,Fox,sac,Fox,Algic,,,,Algonquian,,,,,-83,43,,,,hg,North America,E N America,E North America,Americas
695,cham1318,Chamicuro,ccc,Chamicuro,Arawakan,Maipurean,,,,,,,,-75.48,-5.23,,,,,South America,S America,NE South America,Americas
696,wayu1243,Wayuu,guc,"Goajiro,Wayuu (Goajiro Arawak)",Arawakan,,,,Caribbean,,,,,-72,12,,,,,South America,S America,NE South America,Americas
697,huau1238,Mazateco (Huautla),mau,"Mazatec (Huautla), Huautla Mazateco",Otomanguean,,,,Popolocan,,,,,-96.83,18.25,,,,,North America,C America,Mesoamerica,Americas
699,sans1269,Sanskrit,san,Sanskrit,Indo-European,,,Indo-Uralic,Indo-Iranian,Indo-Aryan,Sanskrit,,,77,25,,,,,Eurasia,S/SE Asia,Indic,Eurasia
700,nort2671,Saami (North),sme,North Saami,Uralic,,,Indo-Uralic,Finno-Ugric,Finno-Permian,Finno-Volgaic,Finno-Saamic,,24,69,,,,not hg,Eurasia,N-C Asia,Inner Asia,Eurasia
701,sout2674,Saami (South),sma,South Saami,Uralic,,,Indo-Uralic,Finno-Ugric,Finno-Permian,Finno-Volgaic,Finno-Saamic,,11.24,62.35,,,,not hg,Eurasia,W and SW Eurasia,Europe,Eurasia
702,lule1254,Saami (Lule),smj,Lule Saami,Uralic,,,Indo-Uralic,Finno-Ugric,Finno-Permian,Finno-Volgaic,Finno-Saamic,,16.04,68.03,,,,not hg,Eurasia,W and SW Eurasia,Europe,Eurasia
703,pite1240,Saami (Pite),sje,Pite Saami,Uralic,,,Indo-Uralic,Finno-Ugric,Finno-Permian,Finno-Volgaic,Finno-Saamic,,17.54,66.03,,,,not hg,Eurasia,W and SW Eurasia,Europe,Eurasia
704,umes1235,Saami (Ume),sju,Ume Saami,Uralic,,,Indo-Uralic,Finno-Ugric,Finno-Permian,Finno-Volgaic,Finno-Saamic,,17.3,65.32,,,,not hg,Eurasia,W and SW Eurasia,Europe,Eurasia
705,skol1241,Saami (Skolt),sms,Skolt Saami,Uralic,,,Indo-Uralic,Finno-Ugric,Finno-Permian,Finno-Volgaic,Finno-Saamic,,29.04,69.38,,,,not hg,Eurasia,N-C Asia,Inner Asia,Eurasia
706,inar1241,Saami (Inari),smn,"Enare Saami,Inari Saami",Uralic,,,Indo-Uralic,Finno-Ugric,Finno-Permian,Finno-Volgaic,Finno-Saamic,,27.01,68.54,,,,not hg,Eurasia,N-C Asia,Inner Asia,Eurasia
707,ters1235,Saami (Ter),sjt,Ter Saami,Uralic,,,Indo-Uralic,Finno-Ugric,Finno-Permian,Finno-Volgaic,Finno-Saamic,,39.39,67.14,,,,not hg,Eurasia,N-C Asia,Inner Asia,Eurasia
708,akka1237,Saami (Akkala),sia,Akkala Saami,Uralic,,,Indo-Uralic,Finno-Ugric,Finno-Permian,Finno-Volgaic,Finno-Saamic,,32.45,67.3,,,,not hg,Eurasia,N-C Asia,Inner Asia,Eurasia
709,kild1236,Saami (Kildin),sjd,Kildin Saami,Uralic,,,Indo-Uralic,Finno-Ugric,Finno-Permian,Finno-Volgaic,Finno-Saamic,,37,67,,,,not hg,Eurasia,N-C Asia,Inner Asia,Eurasia
710,faro1244,Faroese,fao,Faroese,Indo-European,,,Indo-Uralic,Germanic,North Germanic,,,,-7,62,,,,,Eurasia,W and SW Eurasia,Europe,Eurasia
711,norw1259,Norwegian (Bokmål),nob,"Norwegian (Bokmål), Norwegian",Indo-European,,,Indo-Uralic,Germanic,North Germanic,,,,10.45,59.55,,,,,Eurasia,W and SW Eurasia,Europe,Eurasia
712,norw1258,Norwegian (Nynorsk),nno,Norwegian (Nynorsk),Indo-European,,,Indo-Uralic,Germanic,North Germanic,,,,6.06,62.09,,,,,Eurasia,W and SW Eurasia,Europe,Eurasia
713,fore1265,Enets (Forest),enf,"Yenisei Samoyed, Enets (Forest)",Uralic,,,Indo-Uralic,Samoyedic,Northern Samoyedic,,,,86.5,67.5,,,,split,Eurasia,N-C Asia,Inner Asia,Eurasia
714,west2805,Shetland Norn,nrn,Shetland Norn,Indo-European,,,Indo-Uralic,Germanic,North Germanic,,,,-1.09,60.09,,,,,Eurasia,W and SW Eurasia,Europe,Eurasia
715,scot1245,Scottish Gaelic,gla,Scottish Gaelic,Indo-European,,,Indo-Uralic,Italic-Celtic,Celtic,,,,-4,57,,,,,Eurasia,W and SW Eurasia,Europe,Eurasia
716,fore1274,Nenets (Forest),yrk,Forest Nenets,Uralic,,,Indo-Uralic,Samoyedic,Northern Samoyedic,,,,65.31,57.09,,,,hg,Eurasia,N-C Asia,Inner Asia,Eurasia
717,komi1269,Komi (Permyak),koi,Komi (Permyak),Uralic,,,Indo-Uralic,Finno-Ugric,Finno-Permian,Permian,,,54.5,59.5,,,,,Eurasia,N-C Asia,Inner Asia,Eurasia
718,nort2954,Paiute (Northern),pao,Northern Paiute,Uto-Aztecan,,,,Northern Uto-Aztecan,Numic,,,,-118,42,,,,hg,North America,W N America,Basin and Plains,Americas
719,kara1462,Tofa (Karagas),kim,Tofa (Karagas),Turkic,,,Altaic,Common Turkic,Northern Turkish,Siberian,,,98,53.75,,TRUE,,hg,Eurasia,N-C Asia,Inner Asia,Eurasia
720,kyer1238,Tibetan (Kyirong),kgy,"Kyerung,Tibetan (Kyirong)",Sino-Tibetan,,,,Bodic,Tibetan,Central Tibetan (U-Tsang),,,85.16,28.28,Himalaya,,,,Eurasia,S/SE Asia,Indic,Eurasia
722,nort2722,Qiang (Northern),cng,Qiang,Sino-Tibetan,,,,Qiangic,,,,,102.67,32,,,,,Eurasia,S/SE Asia,Southeast Asia,Eurasia
723,kham1282,Tibetan (Dege),khg,Tibetan (Dege),Sino-Tibetan,,,,Bodic,Tibetan,Eastern Kham Tibetan,,,98.4,31.5,,,,,Eurasia,N-C Asia,Inner Asia,Eurasia
724,east2347,Tamang (Eastern),taj,Tamang,Sino-Tibetan,,,,Bodic,Tamangic (TGTM),,,,85.25,28,Himalaya,,,,Eurasia,S/SE Asia,Indic,Eurasia
725,ital1282,Italian,ita,"Italiano,Italian",Indo-European,,,Indo-Uralic,Italic-Celtic,Italic,,,,12,43,,,,,Eurasia,W and SW Eurasia,Europe,Eurasia
726,stan1289,Catalan (Standard),cat,"Català, Bacavès, Catalonian, Catalan, Central Catalan",Indo-European,,,Indo-Uralic,Italic-Celtic,Italic,,,,2,41.75,,,,,Eurasia,W and SW Eurasia,Europe,Eurasia
727,camp1261,Sardinian,srd,Sardinian,Indo-European,,,Indo-Uralic,Italic-Celtic,Italic,,,,9,40,,,,,Eurasia,W and SW Eurasia,Europe,Eurasia
728,kaik1246,Kaike,kzq,Kaike,Sino-Tibetan,,,,Bodic,Tamangic (TGTM),,,,83.05,29.1,Himalaya,,,,Eurasia,S/SE Asia,Indic,Eurasia
729,east2352,Magar,mgp,Magar,Sino-Tibetan,,,,Remnant Himalayish,,,,,83.59,28.83,Himalaya,,,,Eurasia,S/SE Asia,Indic,Eurasia
730,thak1245,Thakali,ths,Thakali,Sino-Tibetan,,,,Bodic,Tamangic (TGTM),,,,83.75,29,Himalaya,,,,Eurasia,S/SE Asia,Indic,Eurasia
